gemini_query,gemini_positive matches,gemini_llm only matches,gemini_gt only matches,gemini_correct task inferences,gemini_missed task inferences,gemini_correct goal classifications,gemini_missing goal classifications,gemini_positive matches count,gemini_llm only matches count,gemini_gt only matches count,gemini_correct task inferences count,gemini_missed task inferences count
is there a correlation between wind speed and air pressure,[],['correlation'],['correlate'],[],[],False,False,0,1,1,0,0
is there a correlation between the duration of the storm and wind speed,[],['correlation'],['correlate'],[],[],False,False,0,1,1,0,0
where have all hurricanes been recorded on the globe where are they more common,[],"['plot', 'distribution']","['characterize distribution', 'filter']",[],[],True,False,0,2,2,0,0
what lat/long locations are most likely to experience hurricanes,[],['correlation'],"['characterize distribution', 'filter']",[],[],True,False,0,1,2,0,0
what are lengths/timings of hurricane seasons in different regions of the world,[],['correlation'],"['compute derived value', 'compare']",[],[],True,False,0,1,2,0,0
what is the average storm length,[],['find average'],['compute derived value'],[],[],True,False,0,1,1,0,0
what is the average time that it takes to go from depression to storm,[],['find extremum'],['compute derived value'],[],[],False,False,0,1,1,0,0
"what is the relationship, if any, between wind and pressure",['correlation'],[],[],[],[],False,False,1,0,0,0,0
how does wind change over the course of each hurricane,['trend'],[],['filter'],[],[],False,False,1,0,1,0,0
average tropical storm diameter,[],['find average'],"['compute derived value', 'filter']",[],[],False,False,0,1,2,0,0
what is the relationship between storm day and hu_diameter,[],['correlation'],['dependency'],[],[],False,False,0,1,1,0,0
are there any repeat names of storms,[],['find extremum'],['summarize'],[],[],True,False,0,1,1,0,0
what month has the strongest hurricanes,[],['find extreme'],"['find extremum', 'filter']",[],[],True,False,0,1,2,0,0
how has wind speed changed over time,['trend'],[],[],['trend'],['trend'],True,False,1,0,0,1,1
what is the maximum pressure of a certain hurricane,[],['find extreme'],"['find extremum', 'summarize', 'filter']",[],[],False,False,0,1,3,0,0
relationship between position and the strength of the hurricane,[],['correlation'],"['dependency', 'filter']",[],[],False,False,0,1,2,0,0
average time for each hurricane status,[],['average'],"['compute derived value', 'compare']",[],[],False,False,0,1,2,0,0
which hurricane lasted the longest,[],['find extremum'],"['compare', 'filter']",[],[],True,False,0,1,2,0,0
can you tell me the sales distribution of type 4046 in 2015,[],"['retrieve value', 'compare']","['distribution', 'filter']",[],[],False,False,0,2,2,0,0
what are the groups of regions according to three types of avocados sales ratio,[],"['comparison', 'relationship']",['cluster'],[],[],True,False,0,2,1,0,0
"using the three types of avocado's sales ratio, provide the groups of regions",,,,,,,,,,,,
provide the distribution of the sales in 2015 of type 4046,['distribution'],[],['filter'],['distribution'],['distribution'],False,False,1,0,1,1,1
the oldest user was born in what year,[],['retrieve value'],['find extremum'],[],[],False,False,0,1,1,0,0
indicate all the travels taking more than 1000 minutes,[],['retrieve value'],['characterize distribution'],[],[],True,False,0,1,1,0,0
"show me a list of the tripe that take longer than 1,000 minutes",[],['find extreme'],['retrieve value'],[],[],True,False,0,1,1,0,0
tell me the distribution of travel times between wells st & elm st and lake shore dr & ohio st,[],['distribution'],['characterize distribution'],[],[],False,False,0,1,1,0,0
do you know of any trip that would take longer than 1000 minutes,[],['find extremum'],['characterize distribution'],[],[],True,False,0,1,1,0,0
show me a list of neighborhoods with the number of male births from least to most,[],['sort'],['retrieve value'],[],[],False,False,0,1,1,0,0
show me the distribution of births across all districts in 2017,['distribution'],[],['filter'],[],[],False,False,1,0,1,0,0
let me know if there are groups of neighborhoods with similar birth gender ratios,[],['comparison'],"['compares', 'culstering']",[],[],False,False,0,1,2,0,0
retrieve the neighborhood with more than 100 female births in ciutat vella in 2013,[],['find extremum'],"['retrieve value', 'filter']",[],[],True,False,0,1,2,0,0
which neighborhood in ciutat vella has more than 100 females born in the year 2013,[],['find extremum'],"['retrieve value', 'filter']",[],[],False,False,0,1,2,0,0
"barcelona's districts, please list each",[],['list'],"['retrieve value', 'filter']",[],[],True,False,0,1,2,0,0
what is the distribution of all births in all districts between 2013 and 2017,['distribution'],[],['filter'],[],[],True,False,1,0,1,0,0
what neighborhood had 56 boys born in 2017,[],['find extremum'],"['retrieve value', 'filter']",[],[],True,False,0,1,2,0,0
is there a correlation between acceleration and horsepower,['correlation'],[],[],[],[],True,False,1,0,0,0,0
how many heavy cars are in the dataset,[],['retrieve value'],['compute derived value'],[],[],True,False,0,1,1,0,0
are there any american 5 cylinder cars,[],['retrieve value'],['filter'],[],[],True,False,0,1,1,0,0
how does displacement relate to fuel economy for cars from europe v usa,[],['correlation'],"['dependency', 'filter']",[],[],False,False,0,1,2,0,0
which cylinder cars have the highest fuel economy,[],['find extreme'],['dependency'],[],[],False,False,0,1,1,0,0
which countries have the most cars in this dataset,[],['retrieve value'],"['compare', 'find extremum']",[],[],True,False,0,1,2,0,0
which countries have the highest acceleration for cars of different cylinders,[],"['retrieve value', 'comparison', 'find extreme']",['compare'],[],[],True,False,0,3,1,0,0
how do the horsepowers of the cars from different regions change with years,[],['relationship'],['trend'],[],[],True,False,0,1,1,0,0
the distribution of the number of cylinders of cars based on different origins,['distribution'],[],['compare'],[],[],False,False,1,0,1,0,0
what is the correlation between displacement and mpg of cars with different origins,['correlation'],[],[],[],[],True,False,1,0,0,0,0
count the number of cars based on their origins,[],['count'],['compare'],[],[],True,False,0,1,1,0,0
what is the correlation between horsepower and acceleration,['correlation'],[],[],[],[],False,False,1,0,0,0,0
is there a correlation between cars' horsepower and acceleration,['correlation'],[],[],[],[],False,False,1,0,0,0,0
"how does displacement relate to mpg for individual models, partitioned by country",[],['correlation'],['dependency'],[],[],True,False,0,1,1,0,0
"how does weight relate to acceleration for car models, small multiples by origin",[],"['relationship', 'comparison']",['dependency'],[],[],True,False,0,2,1,0,0
how does horsepower relate to acceleration for individual car models,[],['relationship'],['correlation'],[],[],True,False,0,1,1,0,0
"compare the number of models in usa, japan and europe",[],['comparison'],"['compare', 'filter']",[],[],True,False,0,1,2,0,0
does higher horsepower mean lower acceleration,['correlation'],[],[],[],[],False,False,1,0,0,0,0
how many cylinders do cars manufactured in different countries have,[],['retrieve value'],['compare'],[],[],True,False,0,1,1,0,0
compare car cylinder count against acceleration across countries,[],['relationship'],['compare'],[],[],False,False,0,1,1,0,0
how many cars do each country manufacture,[],['count'],['characterize distribution'],[],[],False,False,0,1,1,0,0
what's the mileage for cars based on the number of cylinders present,[],['correlation'],['characterize distribution'],[],[],False,False,0,1,1,0,0
does higher cylinder count mean mean lower mileage,['correlation'],[],[],['correlation'],['correlation'],True,False,1,0,0,1,1
how does mileage relate to cylinder count,[],['relationship'],['dependency'],[],[],True,False,0,1,1,0,0
what is the average mpg for different cylinders,[],['comparison'],['characterize distribution'],[],[],True,False,0,1,1,0,0
what is the relation between horsepower and acceleration,['correlation'],[],[],[],[],True,False,1,0,0,0,0
how weight varies each year,[],['trend'],['characterize distribution'],[],[],False,False,0,1,1,0,0
how is acceleration related to horsepower,[],['relationship'],['correlation'],[],[],False,False,0,1,1,0,0
how has horsepower changed over time by country,['trend'],['correlation'],['characterize distribution'],['trend'],['trend'],True,False,1,1,1,1,1
have cars gotten lighter over time,['trend'],[],[],['trend'],['trend'],True,False,1,0,0,1,1
how many models are proudced by each country,[],['retrieve value'],['characterize distribution'],[],[],True,False,0,1,1,0,0
what is the average weight of cars over time,['trend'],[],[],['trend'],['trend'],True,False,1,0,0,1,1
what is the distribution of weight across all cars,[],['distribution'],['characterize distribution'],[],[],True,False,0,1,1,0,0
how much do various cars weigh,[],['retrieve value'],['characterize distribution'],[],[],True,False,0,1,1,0,0
what is the range of weights for all cars,[],['find extreme'],['determine range'],[],[],True,False,0,1,1,0,0
where do the cars originate from,[],['retrieve value'],['characterize distribution'],[],[],False,False,0,1,1,0,0
how has avg (horsepower) evolved over time | segregate it by the car origin,['trend'],['comparison'],['comparisoon'],['trend'],['trend'],True,False,1,1,1,1,1
compare avg (acceleration) with cylinders | segregate the cylinders by their origin,[],"['comparison', 'correlation']",['compare'],[],[],False,False,0,2,1,0,0
how does avg (weight) evolve over the years,[],['correlation'],['trend'],[],[],True,False,0,1,1,0,0
how does the acceleration of cars from different countries vary by the number of cylinders,[],['relationship'],['compare'],[],[],True,False,0,1,1,0,0
how does acceleration vary by weight for cars from different regions,[],['relationship'],['dependency'],[],[],True,False,0,1,1,0,0
what is the average mpg for cars with different cylinders,[],['comparison'],['dependency'],[],[],True,False,0,1,1,0,0
how does mpg vary by the number of cylinders in a car,[],['relationship'],['characterize distribution'],[],[],False,False,0,1,1,0,0
how does acceleration change with horsepower,[],['relationship'],['correlation'],[],[],False,False,0,1,1,0,0
how does acceleration behave compared to horsepower,[],['relationship'],['correlation'],[],[],False,False,0,1,1,0,0
how many cars are from each region,[],['count'],['characterize distribution'],[],[],False,False,0,1,1,0,0
"how does mpg compare to displacement, broken out by region",['compare'],[],[],[],[],False,False,1,0,0,0,0
"for each region, how does a car's mpg vary with displacement",[],['relationship'],['compare'],[],[],False,False,0,1,1,0,0
how has horsepower changed over time in each region,['trend'],['comparison'],['compare'],['trend'],['trend'],False,False,1,1,1,1,1
what is the breakdown of cars by the number of cylinders in each region,[],"['distribution', 'comparison']",['characterize distribution'],[],[],True,False,0,2,1,0,0
how many cars have various numbers of cylinders in each region,[],['retrieve value'],['compute derived value'],[],[],False,False,0,1,1,0,0
what is the average weight of cars by model year,[],['summarize'],['characterize distribution'],[],[],True,False,0,1,1,0,0
how has the average weight of cars changed over the years,['trend'],[],[],[],[],True,False,1,0,0,0,0
how can the population of ashley be illustrated to show distribution across five years,['distribution'],[],['filter'],[],[],True,False,1,0,1,0,0
"how likely is it that, if i was born in 2000, i was born in a county with no less than 20,000 people",[],['find likelihood'],"['dependency', 'filter']",[],[],False,False,0,1,2,0,0
give me the average population rating for ashley in the year 2000,['summarize'],[],[],['summarize'],['summarize'],True,False,1,0,0,1,1
identify the county that has the least population each year,['find extremum'],[],[],['find extremum'],['find extremum'],True,False,1,0,0,1,1
what is the average population in 2000,[],['find average'],['summarize'],[],[],True,False,0,1,1,0,0
is there a regional concentration trend in gdp development,[],"['find trend', 'find pattern']",['trend'],[],[],True,False,0,2,1,0,0
how are gdp and mteu correlated,['correlation'],[],[],[],[],False,False,1,0,0,0,0
is there an outlier within the value distribution of albinism that causes the result to be skewed,[],['find extremum'],['find anomalies'],[],[],False,False,0,1,1,0,0
"find all the types of genetic diseases with greater than 1,000 patients",[],['find extremum'],['retrieve value'],[],[],True,False,0,1,1,0,0
tell me the maximum and minimum number of patients with autism across all regions,[],['find extreme'],['find extremum'],[],[],False,False,0,1,1,0,0
what is the spatial and temporal correlation of albinism,['correlation'],[],[],[],[],False,False,1,0,0,0,0
does this data represent outliers in the number of patients,[],['find outlier'],['find anomalies'],[],[],True,False,0,1,1,0,0
take out the regions with a number of patients larger than 500,[],['filter'],['compute derived value'],[],[],True,False,0,1,1,0,0
"looking at the number of people in all regions with a visual impairment, what is the median",[],['find extremum'],['characterize distribution'],[],[],True,False,0,1,1,0,0
does the value distribution of albinism look skewed,[],"['retrieve value', 'trend']",['characterize distribution'],[],[],True,False,0,2,1,0,0
is there an obvious clustering,[],['find pattern'],['cluster'],[],[],True,False,0,1,1,0,0
kindly rate the regions on the basis of the number of patients,[],['compare'],"['sort', 'summarize']",[],[],False,False,0,1,2,0,0
give me the movie that received the most nominations,[],['retrieve value'],['find extremum'],[],[],True,False,0,1,1,0,0
"out of the winners for best performance by an actor in a motion picture- musical or comedy from 2003 to 2020, the most abnormal age belongs to which actor",[],"['find extremum', 'retrieve value']",[''],[],[],False,False,0,2,1,0,0
can you organize the results of the table by sorting the list according to the age of the stars,,,,,,,,,,,,
can you list all the results in the table about the movie ' about  ',[],['retrieve value'],['filter'],[],[],True,False,0,1,1,0,0
what was the gender of all actors among all the final winners in the 60th ceremony,,,,,,,,,,,,
tell me who won the best performance by an actor in a motion picture- drama award at the 60th ceremony,[],['find extremum'],"['retrieve value', 'filter']",[],[],True,False,0,1,2,0,0
can you list all the results in the table about the movie ' about schmidt ',[],['retrieve value'],['filter'],[],[],True,False,0,1,1,0,0
i would like to review the dispersement of the amount of nominations,[],['distribution'],['characterize distribution'],[],[],False,False,0,1,1,0,0
"in the 60th ceremony, the award for best performance by an actor in a motion picture was won by whom",['retrieve value'],[],['filter'],['retrieve value'],['retrieve value'],True,False,1,0,1,1,1
which actor was nominated for the most awards,[],['find extreme'],['retrieve value'],[],[],True,False,0,1,1,0,0
can the actors nationality impact the outcome,,,,,,,,,,,,
what was the number of candidates that were nominated for best performance by an actor in a motion picture-drama at he 60th ceremony,[],['count'],"['retrieve value', 'filter']",[],[],True,False,0,1,2,0,0
what is the total number of movies released in the year 1998,[],['find extreme'],"['summarize', 'filter']",[],[],True,False,0,1,2,0,0
can you tell me what movie won best original score in a motion picture in 1997,['retrieve value'],[],['filter'],[],[],True,False,1,0,1,0,0
what is the correlation between the nomination and the age of a star,['correlation'],[],[],[],[],True,False,1,0,0,0,0
tell me the distribution for the book ratings,[],['distribution'],['characterize distribution'],[],[],False,False,0,1,1,0,0
can you rearrange the table by book rating in descending order,['sort'],[],[],[],[],False,False,1,0,0,0,0
what books have low ratings that seem suspect,[],['retrieve value'],['filter'],[],[],True,False,0,1,1,0,0
tell me the book ratings distribution,[],['distribution'],['characterize distribution'],[],[],False,False,0,1,1,0,0
which author has worked with dark horse comics most frequently,[],"['retrieve value', 'find extreme']","['find extremum', 'filter']",[],[],True,False,0,2,2,0,0
please go and get all of the books written in english,[],['retrieve value'],['filter'],[],[],True,False,0,1,1,0,0
are there outliers in the book ratings,[],['find extremum'],['find anomalies'],[],[],False,False,0,1,1,0,0
"of fiction books, which are written in english",[],['filter'],['retrieve value'],[],[],False,False,0,1,1,0,0
please review this dataset and tell me which authors it includes,['retrieve value'],[],[],['retrieve value'],['retrieve value'],True,False,1,0,0,1,1
how many books have been released by dark horse comics,[],['retrieve value'],['filter'],[],[],False,False,0,1,1,0,0
what is the most expensive book and who published it,['find extremum'],[],[],['find extremum'],['find extremum'],False,False,1,0,0,1,1
show a list of similarly rated books,[],['retrieve value'],['similarity'],[],[],False,False,0,1,1,0,0
produce a list of book titles published during the current year,[],['list'],['retrieve value'],[],[],True,False,0,1,1,0,0
dark horse comic has how many books,[],['retrieve value'],[],['retrieve value'],['retrieve value'],True,False,0,1,0,1,1
what is the total number of categories,[],['retrieve value'],['summarize'],[],[],True,False,0,1,1,0,0
can you tell me the total number of categories,[],['retrieve value'],['summarize'],[],[],True,False,0,1,1,0,0
what's the size of ' kids paint free- drawing fun ',['retrieve value'],[],['filter'],[],[],True,False,1,0,1,0,0
does a app exist that is much different than the others,[],['comparison'],['find anomalies'],[],[],True,False,0,1,1,0,0
what is the total amount of genres,['summarize'],['retrieve value'],[],[],[],False,False,1,1,0,0,0
what is the title of the biggest app,[],['find extreme'],['find extremum'],[],[],True,False,0,1,1,0,0
what apps have a perfect rating and a lot of reviews,[],"['find extremum', 'comparison']",['filter'],[],[],False,False,0,2,1,0,0
see if you can locate the most recent gaming app,['find extremum'],['retrieve value'],['filter'],[],[],True,False,1,1,1,0,0
tell me free or paid apps have a higher mean rating,[],['comparison'],['filter'],[],[],True,False,0,1,1,0,0
which genres are included in the dataset,[],['retrieve value'],['summarize'],[],[],False,False,0,1,1,0,0
which apps have support for versions of android lower than 40,[],['find extreme'],"['retrieve value', 'filter']",[],[],True,False,0,1,2,0,0
describe shape of the distribution for the number of installations,[],['distribution'],['characterize distribution'],[],[],True,False,0,1,1,0,0
show me the app that costs the most,[],['retrieve value'],['find extremum'],[],[],True,False,0,1,1,0,0
is there a relationship between the android version of an app and its installations,[],['correlation'],['dependency'],[],[],False,False,0,1,1,0,0
show me the most recent version of androids ' discover color ',[],['retrieve value'],['find extremum'],[],[],True,False,0,1,1,0,0
"when taking different android versions into account, does that have any impact on installation",[],['correlation'],['dependency'],[],[],True,False,0,1,1,0,0
give me a list of all the free business apps that have received rating that were higher than a 45,[],"['filter', 'find extreme']",['retrieve value'],[],[],True,False,0,2,1,0,0
can you tell me the attribute 'rating ' be affected 'installation,[],['correlation'],['characterize distribution'],[],[],False,False,0,1,1,0,0
what's the price distribution in beauty apps,[],['distribution'],"['characterize distribution', 'filter']",[],[],False,False,0,1,2,0,0
"which app has a rating that doesn 't follow a trend between installations, rating and number of reviews",[],['find exception'],['find anomalies'],[],[],True,False,0,1,1,0,0
what is the app with the most abnormal pattern,[],['find extremum'],['find anomalies'],[],[],True,False,0,1,1,0,0
are there an unusually high number of reviews for any of the apps,[],['find extremum'],['find anomalies'],[],[],True,False,0,1,1,0,0
what is the distribution of the number based on shape of installations,[],['distribution'],['characterize distribution'],[],[],False,False,0,1,1,0,0
is there an effect on price caused by the app's genre,[],['relationship'],['dependency'],[],[],True,False,0,1,1,0,0
is there a correlation between apps with more installations and higher ratings,['correlation'],[],[],[],[],False,False,1,0,0,0,0
"tell me the most pricey apps by release date, recent to oldest",[],"['retrieve value', 'find extremum', 'trend']",['sort'],[],[],False,False,0,3,1,0,0
find out any app that is distinctive from the rest,[],['find extremum'],['find anomalies'],[],[],True,False,0,1,1,0,0
list the top 10 gaming apps sorted from highest to lowest installations,['sort'],['retrieve value'],['filter'],[],[],False,False,1,1,1,0,0
can you tell me the price distribution of all the beauty apps,[],['distribution'],"['characterize distribution', 'filter']",[],[],False,False,0,1,2,0,0
name any apps that can support any version of android lower than 40,['retrieve value'],[],['filter'],['retrieve value'],['retrieve value'],False,False,1,0,1,1,1
what differences are there among the students who acquired more than 270 points between 2010-2019,[],['comparison'],"['compare', 'filter']",[],[],True,False,0,1,2,0,0
tell me all of the categories of grade types,[],['retrieve value'],['summarize'],[],[],False,False,0,1,1,0,0
use the midterm exam and final exam as the 2nd and 1st keywords respectively in order to assign a rank to every one of the students,[],['rank'],['sort'],[],[],True,False,0,1,1,0,0
what did the majority of students receive as a grade,[],['retrieve value'],['characterize distribution'],[],[],True,False,0,1,1,0,0
use the final exam as the first keyword and midterm exam as the second keyword to rank all the students,[],['rank'],['sort'],[],[],False,False,0,1,1,0,0
"show me the scope, among all the students, of the cw2 score",[],['retrieve value'],['characterize distribution'],[],[],False,False,0,1,1,0,0
"in cw1, how many students achieved the feat of 100%, or full marks",[],['count'],['filter'],[],[],True,False,0,1,1,0,0
rank the grades from highest to lowest according to the average score,[],['rank'],['sort'],[],[],True,False,0,1,1,0,0
can you tell me the median score of the cw1 class,[],['retrieve value'],['compute derived value'],[],[],True,False,0,1,1,0,0
do you know the median score of all students in cw1,[],['retrieve value'],['compute derived value'],[],[],True,False,0,1,1,0,0
how many students received an a,[],['retrieve value'],['filter'],[],[],False,False,0,1,1,0,0
select all cw1 scores not less than 80%,[],['retrieve value'],['filter'],[],[],False,False,0,1,1,0,0
arrange the students by grade and furnish me with a list,[],['rank'],['sort'],[],[],True,False,0,1,1,0,0
was the same midterm exam given to velma paul and glynis caine,[],['compare'],['retrieve value'],[],[],True,False,0,1,1,0,0
what is the relationship between level of education and crime rate,[],['relationship'],['dependency'],[],[],True,False,0,1,1,0,0
are there any visible trends in violent crime rates over the time period,['trend'],[],[],[],[],True,False,1,0,0,0,0
what is the most frequent place of violent crime,[],['find extreme'],['characterize distribution'],[],[],False,False,0,1,1,0,0
are there any correlations between crime types and geographic location,['correlation'],[],[],[],[],True,False,1,0,0,0,0
what is the distribution for non-violent crimes based on age,[],['distribution'],['characterize distribution'],[],[],True,False,0,1,1,0,0
are there any correlations in violent or non-violent crimes based on congressional district and year,['correlation'],[],[],[],[],True,False,1,0,0,0,0
is there a somewhat even distribution between the year and congressional district,[],['relationship'],['characterize distribution'],[],[],True,False,0,1,1,0,0
what city has the highest crime rate,[],['find extremum'],['compare'],[],[],False,False,0,1,1,0,0
what’s the frequency of gun violence incidents with multiple victims,[],['count'],['characterize distribution'],[],[],False,False,0,1,1,0,0
how many gun violence incidents are there each year,[],['find extremum'],['characterize distribution'],[],[],True,False,0,1,1,0,0
are there any significant correlations between any 2 variables in the dataset,['correlation'],[],[],[],[],False,False,1,0,0,0,0
how many incidents of gun violence result in death (ie what proportion are fatal vs non-fatal),[],['find proportion'],['summarize'],[],[],False,False,0,1,1,0,0
what鈥檚 the frequency of gun violence incidents with multiple victims,[],['count'],['characterize distribution'],[],[],False,False,0,1,1,0,0
are males or females more likely to die of gun violence,[],['comparison'],['compare'],[],[],False,False,0,1,1,0,0
is one sex more likely to perpetrate gun violence,[],['comparison'],['compare'],[],[],False,False,0,1,1,0,0
is more gun violence committed with stolen guns or non stolen guns,[],['comparison'],['compare'],[],[],False,False,0,1,1,0,0
how have homicide rates increased over time,['trend'],[],['filter'],[],[],False,False,1,0,1,0,0
what type of gun violence has seen the most growth over the years,[],['find extremum'],"['compare', 'trend']",[],[],False,False,0,1,2,0,0
are most gun death because of suicide,[],['comparison'],"['compare', 'filter']",[],[],False,False,0,1,2,0,0
did most gun violence happen inside home,[],['find extreme'],"['compare', 'filter']",[],[],False,False,0,1,2,0,0
what is the correlation between education levels and suicide rates,['correlation'],[],['filter'],[],[],False,False,1,0,1,0,0
which state/year has the most gun deaths,[],"['retrieve value', 'find extreme']",['compare'],[],[],False,False,0,2,1,0,0
"according to population, what is the rank of each of region",[],['ranking'],['sort'],[],[],False,False,0,1,1,0,0
what is the number of hospitals located in manyara,[],['retrieve value'],['filter'],[],[],True,False,0,1,1,0,0
which 10 regions have the most health centers,['find extreme'],[],[],['find extreme'],['find extreme'],True,False,1,0,0,1,1
look up regions that names start with the letter a,[],['retrieve value'],['filter'],[],[],True,False,0,1,1,0,0
make a list of the number of total hfs in descending order,['sort'],[],[],[],[],False,False,1,0,0,0,0
what is the average count of hospitals,[],['summarize'],['characterize distribution'],[],[],True,False,0,1,1,0,0
what is the number of clinics that are in mara,[],['retrieve value'],"['filter', 'filter']",[],[],False,False,0,1,2,0,0
what's the distribution of the entire hfs,[],['distribution'],['characterize distribution'],[],[],True,False,0,1,1,0,0
which region has the lowest population ratio of hf,[],['find extreme'],['find extremum'],[],[],False,False,0,1,1,0,0
enter the regions from this table,[],['list'],['retrieve value'],[],[],True,False,0,1,1,0,0
look for the region that has the most people living in it,[],['find extreme'],['find extremum'],[],[],True,False,0,1,1,0,0
remove any regions with a population ratio of hf lower than 15,,,,,,,,,,,,
the population range needs to be discovered,[],['retrieve value'],['determine range'],[],[],True,False,0,1,1,0,0
do any regions have their population ratio over 20 hf,[],['find extremum'],['filter'],[],[],True,False,0,1,1,0,0
"when the score difference is more than 5, please list the extreme matches to this",[],['find extreme'],"['filter', 'find extremum']",[],[],False,False,0,1,2,0,0
please indicate the friendly tournament matches in which the home team beat the away team,['filter'],['retrieve value'],[],['filter'],['filter'],False,False,1,1,0,1,1
tell me all the tournament matches that the home team won against the away team,[],['comparison'],['filter'],[],[],False,False,0,1,1,0,0
which group of nations won the most games,[],['retrieve value'],['compare'],[],[],False,False,0,1,1,0,0
"based on the number of matches, can you tell me what the distribution of cities is",[],"['retrieve value', 'distribution']",['characterize distribution'],[],[],False,False,0,2,1,0,0
what group of nations of have the most games,[],['retrieve value'],['find extremum'],[],[],True,False,0,1,1,0,0
what countries have won a similar number of games,[],['comparison'],['cluster'],[],[],True,False,0,1,1,0,0
do you know which videos have more than 100 tags,[],['retrieve value'],['filter'],[],[],False,False,0,1,1,0,0
"in the videos by ' eminemvevo ', what are the average number of comments made",['summarize'],['retrieve value'],[],['summarize'],['summarize'],True,False,1,1,0,1,1
filter all the videos published before yesterday,['filter'],[],[],[],[],False,False,1,0,0,0,0
which videos are missing thumbnail links,[],['retrieve value'],['filter'],[],[],True,False,0,1,1,0,0
' plush- bad unboxing fan mail ' belongs to which specific channel,[],[],"['retrieve value', 'filter']",[],[],False,False,0,0,2,0,0
which video has the most tags,['find extremum'],[],[],['find extremum'],['find extremum'],True,False,1,0,0,1,1
"give me a list of videos, ordered by the number of likes, that are on the channel ' eminemvevo '",[],"['retrieve value', 'sort']",[],['sort'],['sort'],True,False,0,2,0,1,1
