gpt_query,gpt_positive matches,gpt_llm only matches,gpt_gt only matches,gpt_correct task inferences,gpt_missed task inferences,gpt_correct goal classifications,gpt_missing goal classifications,gpt_positive matches count,gpt_llm only matches count,gpt_gt only matches count,gpt_correct task inferences count,gpt_missed task inferences count
what is the correlation between horsepower and acceleration,['correlation'],[],[],[],[],TRUE,FALSE,1,0,0,0,0
is there a correlation between cars' horsepower and acceleration,['correlation'],[],[],[],[],TRUE,FALSE,1,0,0,0,0
"how does displacement relate to mpg for individual models, partitioned by country",[],['relationship'],['dependency'],[],[],FALSE,FALSE,0,1,1,0,0
"how does weight relate to acceleration for car models, small multiples by origin",[],['relationship'],['dependency'],[],[],FALSE,FALSE,0,1,1,0,0
how does horsepower relate to acceleration for individual car models,['correlation'],[],[],[],[],TRUE,FALSE,1,0,0,0,0
"compare the number of models in usa, japan and europe",[],['comparison'],"['compare', 'filter']",[],[],TRUE,FALSE,0,1,2,0,0
does higher horsepower mean lower acceleration,['correlation'],[],[],['correlation'],['correlation'],TRUE,FALSE,1,0,0,1,1
how many cylinders do cars manufactured in different countries have,[],['distribution'],['compare'],[],[],TRUE,FALSE,0,1,1,0,0
compare car cylinder count against acceleration across countries,[],['comparison'],['compare'],[],[],FALSE,FALSE,0,1,1,0,0
how many cars do each country manufacture,[],['count'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
what's the mileage for cars based on the number of cylinders present,[],['comparison'],['characterize distribution'],[],[],TRUE,FALSE,0,1,1,0,0
does higher cylinder count mean mean lower mileage,['correlation'],[],[],['correlation'],['correlation'],FALSE,FALSE,1,0,0,1,1
how does mileage relate to cylinder count,[],['correlation'],['dependency'],[],[],FALSE,FALSE,0,1,1,0,0
what is the average mpg for different cylinders,[],['summarize'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
what is the relation between horsepower and acceleration,['correlation'],[],[],[],[],FALSE,FALSE,1,0,0,0,0
how weight varies each year,[],['trend'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
how is acceleration related to horsepower,['correlation'],[],[],[],[],FALSE,FALSE,1,0,0,0,0
how has horsepower changed over time by country,['trend'],[],['characterize distribution'],['trend'],['trend'],FALSE,FALSE,1,0,1,1,1
have cars gotten lighter over time,['trend'],[],[],['trend'],['trend'],FALSE,FALSE,1,0,0,1,1
how many models are proudced by each country,[],['count'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
what is the average weight of cars over time,['trend'],[],[],['trend'],['trend'],FALSE,FALSE,1,0,0,1,1
what is the distribution of weight across all cars,[],['distribution'],['characterize distribution'],[],[],TRUE,FALSE,0,1,1,0,0
how much do various cars weigh,[],['retrieve value'],['characterize distribution'],[],[],TRUE,FALSE,0,1,1,0,0
what is the range of weights for all cars,[],['range'],['determine range'],[],[],FALSE,FALSE,0,1,1,0,0
where do the cars originate from,[],['retrieve value'],['characterize distribution'],[],[],TRUE,FALSE,0,1,1,0,0
how has avg (horsepower) evolved over time | segregate it by the car origin,['trend'],['grouping'],['comparisoon'],[],[],FALSE,FALSE,1,1,1,0,0
compare avg (acceleration) with cylinders | segregate the cylinders by their origin,[],"['comparison', 'aggregation']",['compare'],[],[],FALSE,FALSE,0,2,1,0,0
how does avg (weight) evolve over the years,['trend'],[],[],['trend'],['trend'],FALSE,FALSE,1,0,0,1,1
how does the acceleration of cars from different countries vary by the number of cylinders,[],['comparison'],['compare'],[],[],TRUE,FALSE,0,1,1,0,0
how does acceleration vary by weight for cars from different regions,[],['relationship'],['dependency'],[],[],TRUE,FALSE,0,1,1,0,0
what is the average mpg for cars with different cylinders,[],['summarize'],['dependency'],[],[],FALSE,FALSE,0,1,1,0,0
how does mpg vary by the number of cylinders in a car,[],['relationship'],['characterize distribution'],[],[],TRUE,FALSE,0,1,1,0,0
how does acceleration change with horsepower,[],['relationship'],['correlation'],[],[],FALSE,FALSE,0,1,1,0,0
how does acceleration behave compared to horsepower,[],['relationship'],['correlation'],[],[],FALSE,FALSE,0,1,1,0,0
how many cars are from each region,[],['count'],['characterize distribution'],[],[],TRUE,FALSE,0,1,1,0,0
"how does mpg compare to displacement, broken out by region",[],['comparison'],['compare'],[],[],TRUE,FALSE,0,1,1,0,0
"for each region, how does a car's mpg vary with displacement",[],['relationship'],['compare'],[],[],TRUE,FALSE,0,1,1,0,0
how has horsepower changed over time in each region,['trend'],[],['compare'],['trend'],['trend'],TRUE,FALSE,1,0,1,1,1
what is the breakdown of cars by the number of cylinders in each region,[],"['categorization', 'distribution']",['characterize distribution'],[],[],FALSE,FALSE,0,2,1,0,0
how many cars have various numbers of cylinders in each region,[],['count'],['compute derived value'],[],[],FALSE,FALSE,0,1,1,0,0
what is the average weight of cars by model year,[],['summarize'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
how has the average weight of cars changed over the years,['trend'],[],[],['trend'],['trend'],FALSE,FALSE,1,0,0,1,1
how can the population of ashley be illustrated to show distribution across five years,['distribution'],[],['filter'],[],[],TRUE,FALSE,1,0,1,0,0
"how likely is it that, if i was born in 2000, i was born in a county with no less than 20,000 people",[],['proportion'],"['dependency', 'filter']",[],[],TRUE,FALSE,0,1,2,0,0
give me the average population rating for ashley in the year 2000,[],['average calculation'],['summarize'],[],[],FALSE,FALSE,0,1,1,0,0
identify the county that has the least population each year,['find extremum'],[],[],[],[],FALSE,FALSE,1,0,0,0,0
what is the average population in 2000,[],['average calculation'],['summarize'],[],[],TRUE,FALSE,0,1,1,0,0
is there a regional concentration trend in gdp development,[],"['trend', 'distribution']",[],[],[],TRUE,FALSE,0,2,0,0,0
how are gdp and mteu correlated,['correlation'],[],[],[],[],FALSE,FALSE,1,0,0,0,0
is there an outlier within the value distribution of albinism that causes the result to be skewed,[],['identify outliers'],['find anomalies'],[],[],TRUE,FALSE,0,1,1,0,0
"find all the types of genetic diseases with greater than 1,000 patients",[],['filter'],['retrieve value'],[],[],FALSE,FALSE,0,1,1,0,0
tell me the maximum and minimum number of patients with autism across all regions,[],['find extremum'],[],[],[],FALSE,FALSE,0,1,0,0,0
what is the spatial and temporal correlation of albinism,['correlation'],[],[],[],[],FALSE,FALSE,1,0,0,0,0
does this data represent outliers in the number of patients,[],['identify outliers'],['find anomalies'],[],[],TRUE,FALSE,0,1,1,0,0
take out the regions with a number of patients larger than 500,[],['filter'],['compute derived value'],[],[],TRUE,FALSE,0,1,1,0,0
"looking at the number of people in all regions with a visual impairment, what is the median",[],['retrieve value'],['characterize distribution'],[],[],TRUE,FALSE,0,1,1,0,0
does the value distribution of albinism look skewed,[],['distribution'],['characterize distribution'],[],[],TRUE,FALSE,0,1,1,0,0
is there an obvious clustering,[],['clustering'],['cluster'],[],[],TRUE,FALSE,0,1,1,0,0
kindly rate the regions on the basis of the number of patients,[],['ranking'],"['sort', 'summarize']",[],[],TRUE,FALSE,0,1,2,0,0
give me the movie that received the most nominations,['find extremum'],[],[],['find extremum'],['find extremum'],FALSE,FALSE,1,0,0,1,1
"out of the winners for best performance by an actor in a motion picture- musical or comedy from 2003 to 2020, the most abnormal age belongs to which actor",[],"['filter', 'find extremum']",[''],[],[],FALSE,FALSE,0,2,1,0,0
can you organize the results of the table by sorting the list according to the age of the stars,['sort'],[],[],[],[],TRUE,FALSE,1,0,0,0,0
can you list all the results in the table about the movie ' about  ',[],['retrieve value'],['filter'],[],[],TRUE,FALSE,0,1,1,0,0
what was the gender of all actors among all the final winners in the 60th ceremony,[],['retrieve value'],"['characterize distribution', 'filter']",[],[],FALSE,FALSE,0,1,2,0,0
tell me who won the best performance by an actor in a motion picture- drama award at the 60th ceremony,['retrieve value'],[],['filter'],['retrieve value'],['retrieve value'],TRUE,FALSE,1,0,1,1,1
can you list all the results in the table about the movie ' about schmidt ',[],['retrieve value'],['filter'],[],[],TRUE,FALSE,0,1,1,0,0
i would like to review the dispersement of the amount of nominations,[],['distribution'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
"in the 60th ceremony, the award for best performance by an actor in a motion picture was won by whom",['retrieve value'],[],['filter'],['retrieve value'],['retrieve value'],TRUE,FALSE,1,0,1,1,1
which actor was nominated for the most awards,['retrieve value'],['find extremum'],[],['retrieve value'],['retrieve value'],FALSE,FALSE,1,1,0,1,1
can the actors nationality impact the outcome,[],['correlation'],['dependency'],[],[],TRUE,FALSE,0,1,1,0,0
what was the number of candidates that were nominated for best performance by an actor in a motion picture-drama at he 60th ceremony,[],['count'],"['retrieve value', 'filter']",[],[],TRUE,FALSE,0,1,2,0,0
what is the total number of movies released in the year 1998,[],['count'],"['summarize', 'filter']",[],[],TRUE,FALSE,0,1,2,0,0
can you tell me what movie won best original score in a motion picture in 1997,['retrieve value'],[],['filter'],['retrieve value'],['retrieve value'],TRUE,FALSE,1,0,1,1,1
what is the correlation between the nomination and the age of a star,['correlation'],[],[],[],[],FALSE,FALSE,1,0,0,0,0
tell me the distribution for the book ratings,[],['distribution'],['characterize distribution'],[],[],TRUE,FALSE,0,1,1,0,0
can you rearrange the table by book rating in descending order,['sort'],[],[],[],[],TRUE,FALSE,1,0,0,0,0
what books have low ratings that seem suspect,['filter'],[],[],['filter'],['filter'],FALSE,FALSE,1,0,0,1,1
tell me the book ratings distribution,[],['distribution'],['characterize distribution'],[],[],TRUE,FALSE,0,1,1,0,0
which author has worked with dark horse comics most frequently,['find extremum'],[],['filter'],['find extremum'],['find extremum'],TRUE,FALSE,1,0,1,1,1
please go and get all of the books written in english,[],['retrieve'],['filter'],[],[],TRUE,FALSE,0,1,1,0,0
are there outliers in the book ratings,[],['identify outliers'],['find anomalies'],[],[],TRUE,FALSE,0,1,1,0,0
"of fiction books, which are written in english",[],['filter'],['retrieve value'],[],[],TRUE,FALSE,0,1,1,0,0
how many books have been released by dark horse comics,[],['count'],['filter'],[],[],FALSE,FALSE,0,1,1,0,0
what is the most expensive book and who published it,['find extremum'],[],[],['find extremum'],['find extremum'],FALSE,FALSE,1,0,0,1,1
show a list of similarly rated books,[],['retrieve value'],['similarity'],[],[],FALSE,FALSE,0,1,1,0,0
produce a list of book titles published during the current year,['retrieve value'],[],[],[],[],TRUE,FALSE,1,0,0,0,0
dark horse comic has how many books,[],['count'],['retrieve value'],[],[],TRUE,FALSE,0,1,1,0,0
what is the total number of categories,[],['count'],['summarize'],[],[],TRUE,FALSE,0,1,1,0,0
can you tell me the total number of categories,[],['count'],['summarize'],[],[],TRUE,FALSE,0,1,1,0,0
what's the size of ' kids paint free- drawing fun ',['retrieve value'],[],['filter'],['retrieve value'],['retrieve value'],TRUE,FALSE,1,0,1,1,1
does a app exist that is much different than the others,[],['outlier detection'],['find anomalies'],[],[],TRUE,FALSE,0,1,1,0,0
what is the total amount of genres,[],['count'],['summarize'],[],[],FALSE,FALSE,0,1,1,0,0
what is the title of the biggest app,[],['retrieve value'],['find extremum'],[],[],TRUE,FALSE,0,1,1,0,0
what apps have a perfect rating and a lot of reviews,['filter'],[],[],[],[],FALSE,FALSE,1,0,0,0,0
see if you can locate the most recent gaming app,[],['retrieve value'],"['find extremum', 'filter']",[],[],TRUE,FALSE,0,1,2,0,0
tell me free or paid apps have a higher mean rating,[],['comparison'],['filter'],[],[],TRUE,FALSE,0,1,1,0,0
which genres are included in the dataset,[],['retrieve value'],['summarize'],[],[],TRUE,FALSE,0,1,1,0,0
which apps have support for versions of android lower than 40,[],['filter'],['retrieve value'],[],[],FALSE,FALSE,0,1,1,0,0
describe shape of the distribution for the number of installations,[],['distribution'],['characterize distribution'],[],[],TRUE,FALSE,0,1,1,0,0
show me the app that costs the most,[],['retrieve value'],['find extremum'],[],[],TRUE,FALSE,0,1,1,0,0
is there a relationship between the android version of an app and its installations,[],['relationship'],['dependency'],[],[],FALSE,FALSE,0,1,1,0,0
show me the most recent version of androids ' discover color ',[],['retrieve value'],['find extremum'],[],[],TRUE,FALSE,0,1,1,0,0
"when taking different android versions into account, does that have any impact on installation",[],['correlation'],['dependency'],[],[],TRUE,FALSE,0,1,1,0,0
give me a list of all the free business apps that have received rating that were higher than a 45,[],['filter'],['retrieve value'],[],[],TRUE,FALSE,0,1,1,0,0
can you tell me the attribute 'rating ' be affected 'installation,[],['correlation'],['characterize distribution'],[],[],TRUE,FALSE,0,1,1,0,0
what's the price distribution in beauty apps,[],['distribution'],"['characterize distribution', 'filter']",[],[],TRUE,FALSE,0,1,2,0,0
"which app has a rating that doesn 't follow a trend between installations, rating and number of reviews",[],['identify outliers'],['find anomalies'],[],[],FALSE,FALSE,0,1,1,0,0
what is the app with the most abnormal pattern,['find anomalies'],[],[],[],[],FALSE,FALSE,1,0,0,0,0
are there an unusually high number of reviews for any of the apps,[],['identify outliers'],['find anomalies'],[],[],TRUE,FALSE,0,1,1,0,0
what is the distribution of the number based on shape of installations,[],['distribution'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
is there an effect on price caused by the app's genre,[],['correlation'],['dependency'],[],[],FALSE,FALSE,0,1,1,0,0
is there a correlation between apps with more installations and higher ratings,['correlation'],[],[],[],[],TRUE,FALSE,1,0,0,0,0
"tell me the most pricey apps by release date, recent to oldest",['sort'],['retrieve value'],[],[],[],FALSE,FALSE,1,1,0,0,0
find out any app that is distinctive from the rest,[],['identify outliers'],['find anomalies'],[],[],TRUE,FALSE,0,1,1,0,0
list the top 10 gaming apps sorted from highest to lowest installations,['sort'],['retrieve value'],['filter'],[],[],FALSE,FALSE,1,1,1,0,0
can you tell me the price distribution of all the beauty apps,[],['distribution'],"['characterize distribution', 'filter']",[],[],TRUE,FALSE,0,1,2,0,0
name any apps that can support any version of android lower than 40,[],['filter'],['retrieve value'],[],[],TRUE,FALSE,0,1,1,0,0
what differences are there among the students who acquired more than 270 points between 2010-2019,[],['comparison'],"['compare', 'filter']",[],[],TRUE,FALSE,0,1,2,0,0
tell me all of the categories of grade types,[],['retrieve value'],['summarize'],[],[],TRUE,FALSE,0,1,1,0,0
use the midterm exam and final exam as the 2nd and 1st keywords respectively in order to assign a rank to every one of the students,[],['ranking'],['sort'],[],[],TRUE,FALSE,0,1,1,0,0
what did the majority of students receive as a grade,[],['distribution'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
use the final exam as the first keyword and midterm exam as the second keyword to rank all the students,[],['ranking'],['sort'],[],[],TRUE,FALSE,0,1,1,0,0
"show me the scope, among all the students, of the cw2 score",[],['distribution'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
"in cw1, how many students achieved the feat of 100%, or full marks",[],['count'],['filter'],[],[],TRUE,FALSE,0,1,1,0,0
rank the grades from highest to lowest according to the average score,[],['ranking'],['sort'],[],[],TRUE,FALSE,0,1,1,0,0
can you tell me the median score of the cw1 class,[],['retrieve value'],['compute derived value'],[],[],TRUE,FALSE,0,1,1,0,0
do you know the median score of all students in cw1,[],['retrieve value'],['compute derived value'],[],[],TRUE,FALSE,0,1,1,0,0
how many students received an a,[],['count'],['filter'],[],[],FALSE,FALSE,0,1,1,0,0
select all cw1 scores not less than 80%,['filter'],[],[],[],[],TRUE,FALSE,1,0,0,0,0
arrange the students by grade and furnish me with a list,['sort'],[],[],[],[],TRUE,FALSE,1,0,0,0,0
what is the distribution of the total points of the students,[],['distribution'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
was the same midterm exam given to velma paul and glynis caine,[],['comparison'],['retrieve value'],[],[],TRUE,FALSE,0,1,1,0,0
what is the relationship between level of education and crime rate,[],['relationship'],['dependency'],[],[],TRUE,FALSE,0,1,1,0,0
are there any visible trends in violent crime rates over the time period,['trend'],[],[],[],[],TRUE,FALSE,1,0,0,0,0
what is the most frequent place of violent crime,[],['find extremum'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
are there any correlations between crime types and geographic location,['correlation'],[],[],[],[],FALSE,FALSE,1,0,0,0,0
what is the distribution for non-violent crimes based on age,[],['distribution'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
are there any correlations in violent or non-violent crimes based on congressional district and year,['correlation'],[],[],[],[],TRUE,FALSE,1,0,0,0,0
is there a somewhat even distribution between the year and congressional district,[],['distribution'],['characterize distribution'],[],[],TRUE,FALSE,0,1,1,0,0
what city has the highest crime rate,[],['find extremum'],['compare'],[],[],FALSE,FALSE,0,1,1,0,0
what’s the frequency of gun violence incidents with multiple victims,[],['count'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
how many gun violence incidents are there each year,[],['count'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
are there any significant correlations between any 2 variables in the dataset,['correlation'],[],[],[],[],FALSE,FALSE,1,0,0,0,0
how many incidents of gun violence result in death (ie what proportion are fatal vs non-fatal),[],['proportion'],['summarize'],[],[],FALSE,FALSE,0,1,1,0,0
what鈥檚 the frequency of gun violence incidents with multiple victims,[],['count'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
are males or females more likely to die of gun violence,[],['comparison'],['compare'],[],[],FALSE,FALSE,0,1,1,0,0
is one sex more likely to perpetrate gun violence,[],['comparison'],['compare'],[],[],FALSE,FALSE,0,1,1,0,0
is more gun violence committed with stolen guns or non stolen guns,[],['comparison'],['compare'],[],[],FALSE,FALSE,0,1,1,0,0
how have homicide rates increased over time,['trend'],[],['filter'],[],[],FALSE,FALSE,1,0,1,0,0
what type of gun violence has seen the most growth over the years,[],"['trend', 'comparison']",['compare'],[],[],FALSE,FALSE,0,2,1,0,0
are most gun death because of suicide,[],['comparison'],"['compare', 'filter']",[],[],FALSE,FALSE,0,1,2,0,0
did most gun violence happen inside home,[],['comparison'],"['compare', 'filter']",[],[],FALSE,FALSE,0,1,2,0,0
what is the correlation between education levels and suicide rates,['correlation'],[],['filter'],[],[],FALSE,FALSE,1,0,1,0,0
which state/year has the most gun deaths,[],['find extremum'],['compare'],[],[],FALSE,FALSE,0,1,1,0,0
"according to population, what is the rank of each of region",[],['ranking'],['sort'],[],[],TRUE,FALSE,0,1,1,0,0
what is the number of hospitals located in manyara,[],['retrieve value'],['filter'],[],[],TRUE,FALSE,0,1,1,0,0
