mixtral_query,mixtral_positive matches,mixtral_llm only matches,mixtral_gt only matches,mixtral_correct task inferences,mixtral_missed task inferences,mixtral_correct goal classifications,mixtral_missing goal classifications,mixtral_positive matches count,mixtral_llm only matches count,mixtral_gt only matches count,mixtral_correct task inferences count,mixtral_missed task inferences count
what storm had the greatest diameter of hurricane strength winds,[],"['retrieval', 'filtering', 'aggregation']","['find extremum', 'filter']",[],[],False,False,0,3,2,0,0
"how many storms occur per year, on average",[],['aggregation'],['compute derived value'],[],[],False,False,0,1,1,0,0
"on average, what is the first date that a tropical cyclone (tropical depression, tropical storm, or hurricane) forms on every year",[],"['aggregation', 'calculate mean']","['compute derived value', 'filter']",[],[],False,False,0,2,2,0,0
is there a correlation between wind speed and air pressure,[],['correlation'],['correlate'],[],[],False,False,0,1,1,0,0
is there a correlation between the duration of the storm and wind speed,[],['correlation'],['correlate'],[],[],False,False,0,1,1,0,0
where have all hurricanes been recorded on the globe where are they more common,[],"['distribution', 'density']","['characterize distribution', 'filter']",[],[],True,False,0,2,2,0,0
what lat/long locations are most likely to experience hurricanes,[],['relationship'],"['characterize distribution', 'filter']",[],[],True,False,0,1,2,0,0
what are lengths/timings of hurricane seasons in different regions of the world,[],"['distribution', 'aggregation']","['compute derived value', 'compare']",[],[],True,False,0,2,2,0,0
what is the average storm length,[],['calculate mean duration'],['compute derived value'],[],[],False,False,0,1,1,0,0
what is the average time that it takes to go from depression to storm,[],['calculate duration'],['compute derived value'],[],[],False,False,0,1,1,0,0
"what is the relationship, if any, between wind and pressure",[],['relationship'],['correlation'],[],[],False,False,0,1,1,0,0
how does wind change over the course of each hurricane,[],['relationship'],"['trend', 'filter']",[],[],False,False,0,1,2,0,0
average tropical storm diameter,[],['average'],"['compute derived value', 'filter']",[],[],True,False,0,1,2,0,0
what is the relationship between storm day and hu_diameter,[],['relationship'],['dependency'],[],[],False,False,0,1,1,0,0
are there any repeat names of storms,[],['existence check'],['summarize'],[],[],True,False,0,1,1,0,0
what month has the strongest hurricanes,[],['aggregation'],"['find extremum', 'filter']",[],[],False,False,0,1,2,0,0
how has wind speed changed over time,['trend'],[],[],[],[],False,False,1,0,0,0,0
what is the maximum pressure of a certain hurricane,[],['find extreme'],"['find extremum', 'summarize', 'filter']",[],[],False,False,0,1,3,0,0
relationship between position and the strength of the hurricane,[],['relationship'],"['dependency', 'filter']",[],[],False,False,0,1,2,0,0
average time for each hurricane status,[],['aggregation'],"['compute derived value', 'compare']",[],[],True,False,0,1,2,0,0
which hurricane lasted the longest,[],['duration calculation'],"['compare', 'filter']",[],[],True,False,0,1,2,0,0
can you tell me the sales distribution of type 4046 in 2015,['distribution'],[],['filter'],[],[],True,False,1,0,1,0,0
what are the groups of regions according to three types of avocados sales ratio,[],"['clustering', 'categorization']",['cluster'],[],[],True,False,0,2,1,0,0
"using the three types of avocado's sales ratio, provide the groups of regions",[],['categorization'],['cluster'],[],[],False,False,0,1,1,0,0
provide the distribution of the sales in 2015 of type 4046,['distribution'],[],['filter'],['distribution'],['distribution'],True,False,1,0,1,1,1
the oldest user was born in what year,['find extremum'],[],[],['find extremum'],['find extremum'],False,False,1,0,0,1,1
indicate all the travels taking more than 1000 minutes,[],"['filter', 'selection']",['characterize distribution'],[],[],True,False,0,2,1,0,0
"show me a list of the tripe that take longer than 1,000 minutes",[],['filter'],['retrieve value'],[],[],True,False,0,1,1,0,0
tell me the distribution of travel times between wells st & elm st and lake shore dr & ohio st,[],['distribution'],['characterize distribution'],[],[],False,False,0,1,1,0,0
show me the relationship between age and travel time,[],['relationship'],['correlation'],[],[],False,False,0,1,1,0,0
do you know of any trip that would take longer than 1000 minutes,[],"['filter', 'compare']",['characterize distribution'],[],[],True,False,0,2,1,0,0
show me a list of neighborhoods with the number of male births from least to most,[],['ranking'],"['retrieve value', 'sort']",[],[],True,False,0,1,2,0,0
show me the distribution of births across all districts in 2017,['distribution'],[],['filter'],[],[],False,False,1,0,1,0,0
let me know if there are groups of neighborhoods with similar birth gender ratios,[],['clustering'],"['compares', 'culstering']",[],[],False,False,0,1,2,0,0
retrieve the neighborhood with more than 100 female births in ciutat vella in 2013,['retrieve value'],['filter'],[],['retrieve value'],['retrieve value'],True,False,1,1,0,1,1
which neighborhood in ciutat vella has more than 100 females born in the year 2013,[],"['filter', 'selection']",['retrieve value'],[],[],False,False,0,2,1,0,0
"barcelona's districts, please list each",[],['list elements'],"['retrieve value', 'filter']",[],[],True,False,0,1,2,0,0
what is the distribution of all births in all districts between 2013 and 2017,['distribution'],[],['filter'],[],[],True,False,1,0,1,0,0
what neighborhood had 56 boys born in 2017,[],['retrieval'],"['retrieve value', 'filter']",[],[],True,False,0,1,2,0,0
is there a correlation between acceleration and horsepower,['correlation'],[],[],[],[],True,False,1,0,0,0,0
how many heavy cars are in the dataset,[],['filter'],['compute derived value'],[],[],True,False,0,1,1,0,0
are there any american 5 cylinder cars,['filter'],[],[],[],[],True,False,1,0,0,0,0
how does displacement relate to fuel economy for cars from europe v usa,[],['relationship'],"['dependency', 'filter']",[],[],False,False,0,1,2,0,0
which cylinder cars have the highest fuel economy,[],['find extreme'],['dependency'],[],[],False,False,0,1,1,0,0
which countries have the most cars in this dataset,[],"['retrieve value', 'aggregation']","['compare', 'find extremum']",[],[],False,False,0,2,2,0,0
which countries have the highest acceleration for cars of different cylinders,['compare'],['correlation'],[],[],[],False,False,1,1,0,0,0
how do the horsepowers of the cars from different regions change with years,[],['correlation'],['trend'],[],[],True,False,0,1,1,0,0
the distribution of the number of cylinders of cars based on different origins,['distribution'],[],['compare'],[],[],False,False,1,0,1,0,0
what is the correlation between displacement and mpg of cars with different origins,['correlation'],[],[],[],[],False,False,1,0,0,0,0
count the number of cars based on their origins,[],['aggregation'],['compare'],[],[],True,False,0,1,1,0,0
what is the correlation between horsepower and acceleration,['correlation'],[],[],[],[],True,False,1,0,0,0,0
is there a correlation between cars' horsepower and acceleration,['correlation'],[],[],[],[],False,False,1,0,0,0,0
"how does displacement relate to mpg for individual models, partitioned by country",[],"['relationship', 'correlation']",['dependency'],[],[],True,False,0,2,1,0,0
"how does weight relate to acceleration for car models, small multiples by origin",[],"['correlation', 'relationship', 'small multiple']",['dependency'],[],[],True,False,0,3,1,0,0
how does horsepower relate to acceleration for individual car models,[],['relationship'],['correlation'],[],[],True,False,0,1,1,0,0
"compare the number of models in usa, japan and europe",['compare'],[],['filter'],[],[],True,False,1,0,1,0,0
does higher horsepower mean lower acceleration,['correlation'],[],[],['correlation'],['correlation'],False,False,1,0,0,1,1
how many cylinders do cars manufactured in different countries have,[],['relationship'],['compare'],[],[],True,False,0,1,1,0,0
compare car cylinder count against acceleration across countries,[],"['correlation', 'relationship']",['compare'],[],[],False,False,0,2,1,0,0
how many cars do each country manufacture,[],['aggregation'],['characterize distribution'],[],[],False,False,0,1,1,0,0
what's the mileage for cars based on the number of cylinders present,[],['relationship'],['characterize distribution'],[],[],False,False,0,1,1,0,0
does higher cylinder count mean mean lower mileage,['correlation'],[],[],['correlation'],['correlation'],True,False,1,0,0,1,1
how does mileage relate to cylinder count,[],['relationship'],['dependency'],[],[],True,False,0,1,1,0,0
what is the average mpg for different cylinders,[],['aggregate'],['characterize distribution'],[],[],False,False,0,1,1,0,0
what is the relation between horsepower and acceleration,['correlation'],[],[],[],[],False,False,1,0,0,0,0
how weight varies each year,[],"['relationship', 'variation over time']",['characterize distribution'],[],[],False,False,0,2,1,0,0
how is acceleration related to horsepower,[],['relationship'],['correlation'],[],[],False,False,0,1,1,0,0
how has horsepower changed over time by country,[],"['correlation', 'relationship']","['trend', 'characterize distribution']",[],[],True,False,0,2,2,0,0
have cars gotten lighter over time,['trend'],['correlation'],[],['trend'],['trend'],True,False,1,1,0,1,1
how many models are proudced by each country,[],['aggregation'],['characterize distribution'],[],[],False,False,0,1,1,0,0
what is the average weight of cars over time,[],['aggregate'],['trend'],[],[],True,False,0,1,1,0,0
what is the distribution of weight across all cars,[],['distribution'],['characterize distribution'],[],[],True,False,0,1,1,0,0
how much do various cars weigh,[],['retrieve value'],['characterize distribution'],[],[],True,False,0,1,1,0,0
what is the range of weights for all cars,[],['range'],['determine range'],[],[],False,False,0,1,1,0,0
where do the cars originate from,[],['retrieval'],['characterize distribution'],[],[],True,False,0,1,1,0,0
how has avg (horsepower) evolved over time | segregate it by the car origin,['trend'],['segregation'],['comparisoon'],[],[],False,False,1,1,1,0,0
compare avg (acceleration) with cylinders | segregate the cylinders by their origin,[],"['correlation', 'segregation']",['compare'],[],[],True,False,0,2,1,0,0
how does avg (weight) evolve over the years,[],['correlation'],['trend'],[],[],True,False,0,1,1,0,0
how does the acceleration of cars from different countries vary by the number of cylinders,[],"['relationship', 'correlation']",['compare'],[],[],True,False,0,2,1,0,0
how does acceleration vary by weight for cars from different regions,[],"['relationship', 'correlation']",['dependency'],[],[],True,False,0,2,1,0,0
what is the average mpg for cars with different cylinders,[],['aggregate'],['dependency'],[],[],False,False,0,1,1,0,0
how does mpg vary by the number of cylinders in a car,[],['correlation'],['characterize distribution'],[],[],False,False,0,1,1,0,0
how does acceleration change with horsepower,['correlation'],[],[],['correlation'],['correlation'],False,False,1,0,0,1,1
how does acceleration behave compared to horsepower,['correlation'],[],[],['correlation'],['correlation'],False,False,1,0,0,1,1
how many cars are from each region,[],['aggregation'],['characterize distribution'],[],[],True,False,0,1,1,0,0
"how does mpg compare to displacement, broken out by region",[],"['relationship', 'breakdown']",['compare'],[],[],False,False,0,2,1,0,0
"for each region, how does a car's mpg vary with displacement",[],['relationship'],['compare'],[],[],False,False,0,1,1,0,0
how has horsepower changed over time in each region,['trend'],[],['compare'],[],[],True,False,1,0,1,0,0
what is the breakdown of cars by the number of cylinders in each region,[],"['breakdown', 'distribution']",['characterize distribution'],[],[],False,False,0,2,1,0,0
how many cars have various numbers of cylinders in each region,[],['distribution'],['compute derived value'],[],[],False,False,0,1,1,0,0
what is the average weight of cars by model year,[],['aggregation'],['characterize distribution'],[],[],False,False,0,1,1,0,0
how has the average weight of cars changed over the years,['trend'],[],[],[],[],False,False,1,0,0,0,0
how can the population of ashley be illustrated to show distribution across five years,['distribution'],[],['filter'],[],[],False,False,1,0,1,0,0
"how likely is it that, if i was born in 2000, i was born in a county with no less than 20,000 people",[],['probability'],"['dependency', 'filter']",[],[],True,False,0,1,2,0,0
give me the average population rating for ashley in the year 2000,[],['average'],['summarize'],[],[],True,False,0,1,1,0,0
identify the county that has the least population each year,[],"['rank', 'find extreme']",['find extremum'],[],[],True,False,0,2,1,0,0
what is the average population in 2000,[],['calculate mean'],['summarize'],[],[],True,False,0,1,1,0,0
is there a regional concentration trend in gdp development,[],"['correlation', 'clustering']",['trend'],[],[],True,False,0,2,1,0,0
how are gdp and mteu correlated,['correlation'],[],[],[],[],False,False,1,0,0,0,0
is there an outlier within the value distribution of albinism that causes the result to be skewed,[],['identify outliers'],['find anomalies'],[],[],False,False,0,1,1,0,0
"find all the types of genetic diseases with greater than 1,000 patients",['retrieve value'],['filter'],[],['retrieve value'],['retrieve value'],False,False,1,1,0,1,1
tell me the maximum and minimum number of patients with autism across all regions,[],['find extreme'],['find extremum'],[],[],False,False,0,1,1,0,0
what is the spatial and temporal correlation of albinism,['correlation'],[],[],[],[],False,False,1,0,0,0,0
does this data represent outliers in the number of patients,[],['identification of anomalies/outliers'],['find anomalies'],[],[],True,False,0,1,1,0,0
take out the regions with a number of patients larger than 500,[],['filter'],['compute derived value'],[],[],True,False,0,1,1,0,0
"looking at the number of people in all regions with a visual impairment, what is the median",[],['calculate statistic'],['characterize distribution'],[],[],True,False,0,1,1,0,0
does the value distribution of albinism look skewed,[],['distribution'],['characterize distribution'],[],[],True,False,0,1,1,0,0
is there an obvious clustering,[],['clustering'],['cluster'],[],[],True,False,0,1,1,0,0
kindly rate the regions on the basis of the number of patients,[],['ranking'],"['sort', 'summarize']",[],[],True,False,0,1,2,0,0
give me the movie that received the most nominations,[],['aggregation'],['find extremum'],[],[],True,False,0,1,1,0,0
"out of the winners for best performance by an actor in a motion picture- musical or comedy from 2003 to 2020, the most abnormal age belongs to which actor",[],['find anomaly'],[''],[],[],False,False,0,1,1,0,0
can you organize the results of the table by sorting the list according to the age of the stars,['sort'],[],[],[],[],True,False,1,0,0,0,0
can you list all the results in the table about the movie ' about  ',[],['retrieve value'],['filter'],[],[],True,False,0,1,1,0,0
what was the gender of all actors among all the final winners in the 60th ceremony,[],"['filter', 'categorization']",['characterize distribution'],[],[],False,False,0,2,1,0,0
tell me who won the best performance by an actor in a motion picture- drama award at the 60th ceremony,[],['retrieval'],"['retrieve value', 'filter']",[],[],True,False,0,1,2,0,0
can you list all the results in the table about the movie ' about schmidt ',[],['retrieve value'],['filter'],[],[],True,False,0,1,1,0,0
i would like to review the dispersement of the amount of nominations,[],['distribution'],['characterize distribution'],[],[],False,False,0,1,1,0,0
"in the 60th ceremony, the award for best performance by an actor in a motion picture was won by whom",['retrieve value'],[],['filter'],['retrieve value'],['retrieve value'],True,False,1,0,1,1,1
which actor was nominated for the most awards,[],['aggregation'],['retrieve value'],[],[],False,False,0,1,1,0,0
can the actors nationality impact the outcome,[],['correlation'],['dependency'],[],[],True,False,0,1,1,0,0
what was the number of candidates that were nominated for best performance by an actor in a motion picture-drama at he 60th ceremony,[],['retrieve count'],"['retrieve value', 'filter']",[],[],True,False,0,1,2,0,0
what is the total number of movies released in the year 1998,[],['aggregate'],"['summarize', 'filter']",[],[],True,False,0,1,2,0,0
can you tell me what movie won best original score in a motion picture in 1997,[],['retrieval'],"['retrieve value', 'filter']",[],[],True,False,0,1,2,0,0
what is the correlation between the nomination and the age of a star,['correlation'],[],[],[],[],True,False,1,0,0,0,0
tell me the distribution for the book ratings,[],['distribution'],['characterize distribution'],[],[],False,False,0,1,1,0,0
can you rearrange the table by book rating in descending order,['sort'],[],[],[],[],True,False,1,0,0,0,0
what books have low ratings that seem suspect,['filter'],['correlation'],[],['filter'],['filter'],True,False,1,1,0,1,1
tell me the book ratings distribution,[],['distribution'],['characterize distribution'],[],[],False,False,0,1,1,0,0
which author has worked with dark horse comics most frequently,[],['frequency'],"['find extremum', 'filter']",[],[],True,False,0,1,2,0,0
please go and get all of the books written in english,['filter'],[],[],[],[],True,False,1,0,0,0,0
are there outliers in the book ratings,[],['identify outlier'],['find anomalies'],[],[],False,False,0,1,1,0,0
"of fiction books, which are written in english",[],['filter'],['retrieve value'],[],[],True,False,0,1,1,0,0
how many books have been released by dark horse comics,[],['retrieval'],['filter'],[],[],False,False,0,1,1,0,0
what is the most expensive book and who published it,[],['find extreme'],['find extremum'],[],[],False,False,0,1,1,0,0
show a list of similarly rated books,[],['retrieval'],['similarity'],[],[],False,False,0,1,1,0,0
produce a list of book titles published during the current year,['retrieve value'],[],[],['retrieve value'],['retrieve value'],True,False,1,0,0,1,1
dark horse comic has how many books,[],['retrieval'],['retrieve value'],[],[],True,False,0,1,1,0,0
what is the total number of categories,[],['aggregation'],['summarize'],[],[],True,False,0,1,1,0,0
what's the size of ' kids paint free- drawing fun ',['retrieve value'],[],['filter'],['retrieve value'],['retrieve value'],True,False,1,0,1,1,1
does a app exist that is much different than the others,[],['outlier detection'],['find anomalies'],[],[],True,False,0,1,1,0,0
what is the total amount of genres,[],['aggregate'],['summarize'],[],[],False,False,0,1,1,0,0
what is the title of the biggest app,[],['retrieval'],['find extremum'],[],[],True,False,0,1,1,0,0
what apps have a perfect rating and a lot of reviews,['filter'],[],[],[],[],False,False,1,0,0,0,0
see if you can locate the most recent gaming app,[],['find latest'],"['find extremum', 'filter']",[],[],True,False,0,1,2,0,0
tell me free or paid apps have a higher mean rating,[],['compare means'],['filter'],[],[],True,False,0,1,1,0,0
which genres are included in the dataset,[],['retrieve list'],['summarize'],[],[],False,False,0,1,1,0,0
which apps have support for versions of android lower than 40,[],['filtering'],"['retrieve value', 'filter']",[],[],False,False,0,1,2,0,0
describe shape of the distribution for the number of installations,[],['distribution description'],['characterize distribution'],[],[],True,False,0,1,1,0,0
show me the app that costs the most,[],['retrieval of max'],"['find extremum', 'retrieve value']",[],[],True,False,0,1,2,0,0
is there a relationship between the android version of an app and its installations,[],['relationship'],['dependency'],[],[],False,False,0,1,1,0,0
show me the most recent version of androids ' discover color ',[],['retrieval'],['find extremum'],[],[],True,False,0,1,1,0,0
"when taking different android versions into account, does that have any impact on installation",[],['correlation'],['dependency'],[],[],True,False,0,1,1,0,0
give me a list of all the free business apps that have received rating that were higher than a 45,[],['filter'],['retrieve value'],[],[],True,False,0,1,1,0,0
can you tell me the attribute 'rating ' be affected 'installation,[],['correlation'],['characterize distribution'],[],[],False,False,0,1,1,0,0
what's the price distribution in beauty apps,[],['distribution'],"['characterize distribution', 'filter']",[],[],False,False,0,1,2,0,0
"which app has a rating that doesn 't follow a trend between installations, rating and number of reviews",[],['relationship'],['find anomalies'],[],[],True,False,0,1,1,0,0
what is the app with the most abnormal pattern,[],['anomaly detection'],['find anomalies'],[],[],True,False,0,1,1,0,0
are there an unusually high number of reviews for any of the apps,[],['identify outliers'],['find anomalies'],[],[],True,False,0,1,1,0,0
what is the distribution of the number based on shape of installations,[],['distribution'],['characterize distribution'],[],[],False,False,0,1,1,0,0
is there an effect on price caused by the app's genre,[],"['correlation', 'relationship']",['dependency'],[],[],True,False,0,2,1,0,0
is there a correlation between apps with more installations and higher ratings,['correlation'],[],[],[],[],False,False,1,0,0,0,0
"tell me the most pricey apps by release date, recent to oldest",['sort'],['rank'],[],['sort'],['sort'],True,False,1,1,0,1,1
find out any app that is distinctive from the rest,[],['outlier detection'],['find anomalies'],[],[],True,False,0,1,1,0,0
list the top 10 gaming apps sorted from highest to lowest installations,[],['ranking'],"['sort', 'filter']",[],[],False,False,0,1,2,0,0
can you tell me the price distribution of all the beauty apps,[],['distribution'],"['characterize distribution', 'filter']",[],[],False,False,0,1,2,0,0
name any apps that can support any version of android lower than 40,[],['filter'],['retrieve value'],[],[],True,False,0,1,1,0,0
what differences are there among the students who acquired more than 270 points between 2010-2019,[],"['filter', 'correlation']",['compare'],[],[],True,False,0,2,1,0,0
tell me all of the categories of grade types,[],['categorization'],['summarize'],[],[],False,False,0,1,1,0,0
use the midterm exam and final exam as the 2nd and 1st keywords respectively in order to assign a rank to every one of the students,[],['ranking'],['sort'],[],[],True,False,0,1,1,0,0
what did the majority of students receive as a grade,[],['distribution'],['characterize distribution'],[],[],False,False,0,1,1,0,0
use the final exam as the first keyword and midterm exam as the second keyword to rank all the students,[],['ranking'],['sort'],[],[],True,False,0,1,1,0,0
"show me the scope, among all the students, of the cw2 score",[],['distribution'],['characterize distribution'],[],[],False,False,0,1,1,0,0
"in cw1, how many students achieved the feat of 100%, or full marks",[],['count'],['filter'],[],[],True,False,0,1,1,0,0
rank the grades from highest to lowest according to the average score,[],['ranking'],['sort'],[],[],True,False,0,1,1,0,0
can you tell me the median score of the cw1 class,[],['calculate statistic'],['compute derived value'],[],[],True,False,0,1,1,0,0
do you know the median score of all students in cw1,[],['calculate statistic'],['compute derived value'],[],[],True,False,0,1,1,0,0
how many students received an a,[],"['retrieve value', 'aggregation']",['filter'],[],[],False,False,0,2,1,0,0
select all cw1 scores not less than 80%,['filter'],[],[],[],[],True,False,1,0,0,0,0
arrange the students by grade and furnish me with a list,['sort'],['ranking'],[],[],[],True,False,1,1,0,0,0
what is the distribution of the total points of the students,[],['distribution'],['characterize distribution'],[],[],False,False,0,1,1,0,0
was the same midterm exam given to velma paul and glynis caine,['retrieve value'],['compare'],[],['retrieve value'],['retrieve value'],True,False,1,1,0,1,1
what is the relationship between level of education and crime rate,[],['correlation'],['dependency'],[],[],False,False,0,1,1,0,0
are there any visible trends in violent crime rates over the time period,['trend'],['time series'],[],[],[],True,False,1,1,0,0,0
what is the most frequent place of violent crime,[],['frequency distribution'],['characterize distribution'],[],[],False,False,0,1,1,0,0
are there any correlations between crime types and geographic location,['correlation'],[],[],[],[],True,False,1,0,0,0,0
what is the distribution for non-violent crimes based on age,[],['distribution'],['characterize distribution'],[],[],True,False,0,1,1,0,0
are there any correlations in violent or non-violent crimes based on congressional district and year,['correlation'],[],[],[],[],True,False,1,0,0,0,0
what city has the highest crime rate,[],['retrieval'],['compare'],[],[],False,False,0,1,1,0,0
what’s the frequency of gun violence incidents with multiple victims,[],"['distribution', 'correlation']",['characterize distribution'],[],[],False,False,0,2,1,0,0
how many gun violence incidents are there each year,[],['aggregate'],['characterize distribution'],[],[],False,False,0,1,1,0,0
are there any significant correlations between any 2 variables in the dataset,['correlation'],[],[],[],[],False,False,1,0,0,0,0
how many incidents of gun violence result in death (ie what proportion are fatal vs non-fatal),[],['aggregation'],['summarize'],[],[],False,False,0,1,1,0,0
what鈥檚 the frequency of gun violence incidents with multiple victims,[],"['distribution', 'correlation']",['characterize distribution'],[],[],False,False,0,2,1,0,0
are males or females more likely to die of gun violence,[],"['relationship', 'comparision']",['compare'],[],[],False,False,0,2,1,0,0
how have homicide rates increased over time,['trend'],['time series'],['filter'],['trend'],['trend'],False,False,1,1,1,1,1
what type of gun violence has seen the most growth over the years,[],['correlation'],"['compare', 'trend']",[],[],False,False,0,1,2,0,0
are most gun death because of suicide,[],['distribution'],"['compare', 'filter']",[],[],False,False,0,1,2,0,0
did most gun violence happen inside home,[],['frequency distribution'],"['compare', 'filter']",[],[],False,False,0,1,2,0,0
what is the correlation between education levels and suicide rates,['correlation'],[],['filter'],[],[],False,False,1,0,1,0,0
which state/year has the most gun deaths,[],['find extremum'],['compare'],[],[],False,False,0,1,1,0,0
"according to population, what is the rank of each of region",[],['ranking'],['sort'],[],[],True,False,0,1,1,0,0
what is the number of hospitals located in manyara,[],['retrieve value'],['filter'],['retrieve value'],['retrieve value'],True,False,0,1,1,1,1
which 10 regions have the most health centers,[],['ranking'],['find extreme'],[],[],True,False,0,1,1,0,0
look up regions that names start with the letter a,[],['retrieval'],['filter'],[],[],True,False,0,1,1,0,0
make a list of the number of total hfs in descending order,[],['ranking'],['sort'],[],[],True,False,0,1,1,0,0
what is the average count of hospitals,[],['calculate mean'],['characterize distribution'],[],[],False,False,0,1,1,0,0
what is the number of clinics that are in mara,[],['retrieval'],"['filter', 'filter']",[],[],False,False,0,1,2,0,0
what's the distribution of the entire hfs,[],['distribution'],['characterize distribution'],[],[],True,False,0,1,1,0,0
which region has the lowest population ratio of hf,['find extremum'],[],[],['find extremum'],['find extremum'],False,False,1,0,0,1,1
enter the regions from this table,[],[],['retrieve value'],[],[],False,False,0,0,1,0,0
look for the region that has the most people living in it,['find extremum'],[],[],[],[],True,False,1,0,0,0,0
remove any regions with a population ratio of hf lower than 15,['filter'],[],[],[],[],True,False,1,0,0,0,0
the population range needs to be discovered,[],"['range', 'discover']",['determine range'],[],[],True,False,0,2,1,0,0
do any regions have their population ratio over 20 hf,['filter'],[],[],[],[],False,False,1,0,0,0,0
"when the score difference is more than 5, please list the extreme matches to this",[],['find extreme'],"['filter', 'find extremum']",[],[],True,False,0,1,2,0,0
please indicate the friendly tournament matches in which the home team beat the away team,['filter'],[],[],['filter'],['filter'],False,False,1,0,0,1,1
tell me all the tournament matches that the home team won against the away team,['filter'],['retrieve instances'],[],['filter'],['filter'],False,False,1,1,0,1,1
which group of nations won the most games,[],"['aggregation', 'ranking']",['compare'],[],[],False,False,0,2,1,0,0
"based on the number of matches, can you tell me what the distribution of cities is",[],['distribution'],['characterize distribution'],[],[],False,False,0,1,1,0,0
what group of nations of have the most games,[],['aggregation'],['find extremum'],[],[],False,False,0,1,1,0,0
what countries have won a similar number of games,[],['compare distribution'],['cluster'],[],[],True,False,0,1,1,0,0
what is the propensity of the number of vehicles in japan and korea from the year 2000 to 2010,[],['correlation'],[''],[],[],False,False,0,1,1,0,0
does life expectancy have any relation with the percentage of smokers,[],['correlation'],['dependency'],[],[],True,False,0,1,1,0,0
is the male to female ratio more imbalanced in the last decade in russia,[],"['compare', 'trend']",[''],[],[],False,False,0,2,1,0,0
is the speed of economic development relative to the population of each country,[],['correlation'],[''],[],[],False,False,0,1,1,0,0
show me the gdp ranking of european countries,[],['ranking'],[''],[],[],False,False,0,1,1,0,0
"to cluster the states in the us, i wish to use middle income",[],['clustering'],['cluster'],[],[],False,False,0,1,1,0,0
do all the countries in africa have a lower average pci than all the countries in europe,[],['comparison'],[''],[],[],False,False,0,1,1,0,0
