mixtral_query,mixtral_positive matches,mixtral_llm only matches,mixtral_gt only matches,mixtral_correct task inferences,mixtral_missed task inferences,mixtral_positive matches count,mixtral_llm only matches count,mixtral_gt only matches count,mixtral_correct task inferences count,mixtral_missed task inferences count
are the o3 value and the pm10 value dependent on each other,[],{'dependency'},['Dependency'],[],[],0,1,1,0,0
"across the monitored region, what is the distribution of records for good air quality",[],"{'determine range', 'characterize distribution'}","['distribution', ' summarize', ' filter', 'distribution', ' summarize', ' filter']",[],[],0,6,6,0,0
what months are hurricanes most common,[],{'retrieve value'},['find extremum'],[],[],0,1,1,0,0
where are storms most common depending on the time of year,[],"{'determine range', 'characterize distribution'}","['compare', 'compare']",[],[],0,2,2,0,0
are there more storms in recent years,[],{'determine range'},['characterize distribution'],[],[],0,1,1,0,0
what does the distribution of the storms look like,['distribution'],set(),[],[],[],1,0,0,0,0
what is the most frequent status over the year,[],{'summarize'},['find extremum'],[],[],0,1,1,0,0
"what is the main factor depending on different status (wind, time, pressure, or etc)",['dependency'],set(),[],['dependency'],['dependency'],1,0,0,1,1
what was the name of the earliest storm,['retrieve value'],set(),[],['retrieve value'],['retrieve value'],1,0,0,1,1
how many hurricanes,['filter'],{'count'},"['compute derived value', ' filter', 'compute derived value']",[],[],1,3,3,0,0
what is the name of the largest storm,[],{'retrieve value'},['find extremum'],[],[],0,1,1,0,0
what storm produced the greatest air pressure,['find extremum'],{'retrieve value'},['find extremum'],['find extremum'],['find extremum'],1,1,1,1,1
how many storms are named caroline,['retrieve value'],set(),[],['retrieve value'],['retrieve value'],1,0,0,1,1
what storm produced the least air pressure,['find extremum'],{'retrieve value'},['find extremum'],['find extremum'],['find extremum'],1,1,1,1,1
what storm had the greatest diameter of tropical storm strength winds,['find extremum'],set(),[],['find extremum'],['find extremum'],1,0,0,1,1
what storm had the greatest diameter of hurricane strength winds,['find extremum'],set(),[],['find extremum'],['find extremum'],1,0,0,1,1
"how many storms occur per year, on average",['compute derived value'],set(),[],[],[],1,0,0,0,0
"on average, what is the first date that a tropical cyclone (tropical depression, tropical storm, or hurricane) forms on every year",[],{'retrieve value'},"['compute derived value', ' filter']",[],[],0,2,2,0,0
is there a correlation between wind speed and air pressure,[],{'correlation'},['correlate'],[],[],0,1,1,0,0
is there a correlation between the duration of the storm and wind speed,[],{'correlation'},['correlate'],[],[],0,1,1,0,0
where have all hurricanes been recorded on the globe where are they more common,['characterize distribution'],"{'determine range', 'retrieve value'}","['characterize distribution', ' filter', 'characterize distribution', ' filter']",['characterize distribution'],['characterize distribution'],1,4,4,1,1
what lat/long locations are most likely to experience hurricanes,['characterize distribution'],set(),[],['characterize distribution'],['characterize distribution'],1,0,0,1,1
what are lengths/timings of hurricane seasons in different regions of the world,[],{'determine range'},"['compute derived value', ' compare']",[],[],0,2,2,0,0
what is the average storm length,['compute derived value'],set(),[],['compute derived value'],['compute derived value'],1,0,0,1,1
what is the average time that it takes to go from depression to storm,[],{'calculate duration'},['compute derived value'],[],[],0,1,1,0,0
"what is the relationship, if any, between wind and pressure",[],{'relationship'},['correlate'],[],[],0,1,1,0,0
how does wind change over the course of each hurricane,['trend'],set(),[],['trend'],['trend'],1,0,0,1,1
average tropical storm diameter,['compute derived value'],set(),[],['compute derived value'],['compute derived value'],1,0,0,1,1
what is the relationship between storm day and hu_diameter,['dependency'],set(),[],[],[],1,0,0,0,0
are there any repeat names of storms,[],{'determine range'},['summarize'],[],[],0,1,1,0,0
what month has the strongest hurricanes,['find extremum'],set(),[],['find extremum'],['find extremum'],1,0,0,1,1
how has wind speed changed over time,['trend'],set(),[],[],[],1,0,0,0,0
what is the maximum pressure of a certain hurricane,['find extremum'],{'retrieve value'},"['find extremum', ' summarize', ' filter']",['find extremum'],['find extremum'],1,3,3,1,1
relationship between position and the strength of the hurricane,[],{'correlation'},"['dependency', ' filter']",[],[],0,2,2,0,0
average time for each hurricane status,['compute derived value'],set(),[],['compute derived value'],['compute derived value'],1,0,0,1,1
which hurricane lasted the longest,[],{'determine range'},"['compare', ' filter']",[],[],0,2,2,0,0
can you tell me the sales distribution of type 4046 in 2015,[],{'retrieve value'},"['distribution', ' filter']",[],[],0,2,2,0,0
what are the groups of regions according to three types of avocados sales ratio,['cluster'],set(),[],['cluster'],['cluster'],1,0,0,1,1
"using the three types of avocado's sales ratio, provide the groups of regions",[],{'compute derived value'},['cluster'],[],[],0,1,1,0,0
provide the distribution of the sales in 2015 of type 4046,[],{'characterize distribution'},"['distribution', ' filter']",[],[],0,2,2,0,0
the oldest user was born in what year,[],{'retrieve value'},['find extremum'],[],[],0,1,1,0,0
indicate all the travels taking more than 1000 minutes,[],{'filter'},['characterize distribution'],[],[],0,1,1,0,0
"show me a list of the tripe that take longer than 1,000 minutes",['retrieve value'],set(),[],[],[],1,0,0,0,0
tell me the distribution of travel times between wells st & elm st and lake shore dr & ohio st,['characterize distribution'],set(),[],[],[],1,0,0,0,0
show me the relationship between age and travel time,[],"{'characterize distribution', 'correlation'}","['correlate', 'correlate']",[],[],0,2,2,0,0
do you know of any trip that would take longer than 1000 minutes,[],{'filter'},['characterize distribution'],[],[],0,1,1,0,0
show me a list of neighborhoods with the number of male births from least to most,"['sort', 'retrieve value']",set(),['retrieve value'],['retrieve value'],['retrieve value'],2,1,1,1,1
show me the distribution of births across all districts in 2017,[],{'characterize distribution'},"['distribution', ' filter']",[],[],0,2,2,0,0
let me know if there are groups of neighborhoods with similar birth gender ratios,[],{'cluster'},"['compares', ' culstering']",[],[],0,2,2,0,0
retrieve the neighborhood with more than 100 female births in ciutat vella in 2013,['retrieve value'],set(),[],[],[],1,0,0,0,0
which neighborhood in ciutat vella has more than 100 females born in the year 2013,"['filter', 'retrieve value']",set(),['retrieve value'],['retrieve value'],['retrieve value'],2,1,1,1,1
"barcelona's districts, please list each",['retrieve value'],set(),[],['retrieve value'],['retrieve value'],1,0,0,1,1
what is the distribution of all births in all districts between 2013 and 2017,[],"{'determine range', 'characterize distribution'}","['distribution', ' filter', 'distribution', ' filter']",[],[],0,4,4,0,0
what neighborhood had 56 boys born in 2017,['retrieve value'],set(),[],['retrieve value'],['retrieve value'],1,0,0,1,1
is there a correlation between acceleration and horsepower,[],{'correlation'},['correlate'],[],[],0,1,1,0,0
how many heavy cars are in the dataset,[],"{'filter', 'count'}","['compute derived value', 'compute derived value']",[],[],0,2,2,0,0
are there any american 5 cylinder cars,['filter'],set(),[],['filter'],['filter'],1,0,0,1,1
how does displacement relate to fuel economy for cars from europe v usa,['dependency'],{'correlation'},"['dependency', ' filter']",[],[],1,2,2,0,0
which cylinder cars have the highest fuel economy,[],"{'retrieve value', 'find extremum'}","['dependency', 'dependency']",[],[],0,2,2,0,0
which countries have the most cars in this dataset,[],{'retrieve value'},"['compare', ' find extremum']",[],[],0,2,2,0,0
which countries have the highest acceleration for cars of different cylinders,['compare'],{'find extremum'},['compare'],['compare'],['compare'],1,1,1,1,1
how do the horsepowers of the cars from different regions change with years,[],{'correlate'},['trend'],[],[],0,1,1,0,0
the distribution of the number of cylinders of cars based on different origins,[],{'characterize distribution'},"['distribution', ' compare']",[],[],0,2,2,0,0
what is the correlation between displacement and mpg of cars with different origins,[],{'correlation'},['correlate'],[],[],0,1,1,0,0
count the number of cars based on their origins,[],{'retrieve value'},['compare'],[],[],0,1,1,0,0
what is the correlation between horsepower and acceleration,[],{'correlation'},['correlate'],[],[],0,1,1,0,0
is there a correlation between cars' horsepower and acceleration,[],{'correlation'},['correlate'],[],[],0,1,1,0,0
"how does displacement relate to mpg for individual models, partitioned by country",[],"{'characterize distribution', 'correlation'}","['dependency', 'dependency']",[],[],0,2,2,0,0
"how does weight relate to acceleration for car models, small multiples by origin",[],"{'compute derived value', 'small multiple plots by origin'}","['dependency', 'dependency']",[],[],0,2,2,0,0
how does horsepower relate to acceleration for individual car models,[],{'relationship'},['correlate'],[],[],0,1,1,0,0
"compare the number of models in usa, japan and europe",['compare'],set(),[],[],[],1,0,0,0,0
does higher horsepower mean lower acceleration,[],{'correlation'},['correlate'],[],[],0,1,1,0,0
how many cylinders do cars manufactured in different countries have,[],{'retrieve value'},['compare'],[],[],0,1,1,0,0
compare car cylinder count against acceleration across countries,['compare'],{'correlate'},['compare'],[],[],1,1,1,0,0
how many cars do each country manufacture,[],{'retrieve value'},['characterize distribution'],[],[],0,1,1,0,0
what's the mileage for cars based on the number of cylinders present,[],{'relationship'},['characterize distribution'],[],[],0,1,1,0,0
does higher cylinder count mean mean lower mileage,[],{'correlation'},['correlate'],[],[],0,1,1,0,0
how does mileage relate to cylinder count,[],{'correlation'},['dependency'],[],[],0,1,1,0,0
what is the average mpg for different cylinders,[],{'compute derived value'},['characterize distribution'],[],[],0,1,1,0,0
what is the relation between horsepower and acceleration,[],{'correlation'},['correlate'],[],[],0,1,1,0,0
how weight varies each year,['characterize distribution'],{'determine range'},['characterize distribution'],['characterize distribution'],['characterize distribution'],1,1,1,1,1
how is acceleration related to horsepower,[],{'correlation'},['correlate'],[],[],0,1,1,0,0
how has horsepower changed over time by country,"['trend', 'characterize distribution']",set(),['trend'],['trend'],['trend'],2,1,1,1,1
have cars gotten lighter over time,[],{'compare'},['trend'],[],[],0,1,1,0,0
how many models are proudced by each country,[],"{'count', 'grouping'}","['Characterize Distribution', 'Characterize Distribution']",[],[],0,2,2,0,0
what is the average weight of cars over time,[],{'compute derived value'},['trend'],[],[],0,1,1,0,0
what is the distribution of weight across all cars,[],{'characterize distribution'},['Characterize Distribution'],[],[],0,1,1,0,0
how much do various cars weigh,[],{'retrieve value'},['Characterize Distribution'],[],[],0,1,1,0,0
what is the range of weights for all cars,[],{'determine range'},['Determine Range'],[],[],0,1,1,0,0
where do the cars originate from,[],{'retrieve value'},['Characterize Distribution'],[],[],0,1,1,0,0
how has avg (horsepower) evolved over time | segregate it by the car origin,[],"{'compute derived value', 'time series', 'grouping'}","['trend', ' compare', 'trend', ' compare', 'trend', ' compare']",[],[],0,6,6,0,0
compare avg (acceleration) with cylinders | segregate the cylinders by their origin,['compare'],{'cluster'},['compare'],[],[],1,1,1,0,0
how does avg (weight) evolve over the years,[],{'compute derived value'},['trend'],[],[],0,1,1,0,0
how does the acceleration of cars from different countries vary by the number of cylinders,[],{'correlate'},['compare'],[],[],0,1,1,0,0
how does acceleration vary by weight for cars from different regions,['dependency'],{'correlation'},['dependency'],['dependency'],['dependency'],1,1,1,1,1
what is the average mpg for cars with different cylinders,[],{'compute derived value'},['dependency'],[],[],0,1,1,0,0
how does mpg vary by the number of cylinders in a car,[],"{'trend', 'compare'}","['Characterize Distribution', 'Characterize Distribution']",[],[],0,2,2,0,0
how does acceleration change with horsepower,[],{'correlation'},['correlate'],[],[],0,1,1,0,0
how does acceleration behave compared to horsepower,[],{'correlation'},['correlate'],[],[],0,1,1,0,0
how many cars are from each region,[],{'retrieve value'},['characterize distribution'],[],[],0,1,1,0,0
"how does mpg compare to displacement, broken out by region",['compare'],{'determine range'},['compare'],[],[],1,1,1,0,0
"for each region, how does a car's mpg vary with displacement",[],"{'characterize distribution', 'correlation'}","['compare', 'compare']",[],[],0,2,2,0,0
how has horsepower changed over time in each region,"['Trend', 'Compare']",set(),['trend'],[],[],2,1,1,0,0
what is the breakdown of cars by the number of cylinders in each region,[],{'count distribution'},['characterize distribution'],[],[],0,1,1,0,0
how many cars have various numbers of cylinders in each region,[],"{'count', 'grouping'}","['compute derived value', 'compute derived value']",[],[],0,2,2,0,0
what is the average weight of cars by model year,['characterize distribution'],{'compute derived value'},['characterize distribution'],['characterize distribution'],['characterize distribution'],1,1,1,1,1
how has the average weight of cars changed over the years,['trend'],{'compute derived value'},['trend'],['trend'],['trend'],1,1,1,1,1
how can the population of ashley be illustrated to show distribution across five years,[],{'characterize distribution'},"['distribution', ' filter']",[],[],0,2,2,0,0
"how likely is it that, if i was born in 2000, i was born in a county with no less than 20,000 people",['filter'],{'count'},"['dependency', ' filter', 'dependency']",[],[],1,3,3,0,0
give me the average population rating for ashley in the year 2000,[],"{'retrieve value', 'filter'}","['summarize', 'summarize']",[],[],0,2,2,0,0
identify the county that has the least population each year,['find extremum'],set(),[],['find extremum'],['find extremum'],1,0,0,1,1
what is the average population in 2000,[],{'compute derived value'},['summarize'],[],[],0,1,1,0,0
is there a regional concentration trend in gdp development,[],{'trend'},['Trend'],[],[],0,1,1,0,0
how are gdp and mteu correlated,[],{'correlation'},['correlate'],[],[],0,1,1,0,0
is there an outlier within the value distribution of albinism that causes the result to be skewed,[],"{'determine range', 'characterize distribution'}","['Find Anomalies', 'Find Anomalies']",[],[],0,2,2,0,0
"find all the types of genetic diseases with greater than 1,000 patients",[],{'filter'},['retrieve value'],[],[],0,1,1,0,0
tell me the maximum and minimum number of patients with autism across all regions,[],"{'retrieve value', 'find extremum'}","[' Find Extremum', ' Find Extremum']",[],[],0,2,2,0,0
what is the spatial and temporal correlation of albinism,[],"{'determine range', 'correlation', 'characterize distribution'}","['correlate', 'correlate', 'correlate']",[],[],0,3,3,0,0
does this data represent outliers in the number of patients,[],{'determine range'},['find anomalies'],[],[],0,1,1,0,0
take out the regions with a number of patients larger than 500,['filter'],set(),['compute derived value'],[],[],1,1,1,0,0
"looking at the number of people in all regions with a visual impairment, what is the median",[],{'calculate statistic'},['characterize distribution'],[],[],0,1,1,0,0
does the value distribution of albinism look skewed,['characterize distribution'],set(),[],['characterize distribution'],['characterize distribution'],1,0,0,1,1
is there an obvious clustering,['cluster'],set(),[],[],[],1,0,0,0,0
kindly rate the regions on the basis of the number of patients,['summarize'],set(),['sort'],[],[],1,1,1,0,0
give me the movie that received the most nominations,[],{'aggregation'},['find extremum'],[],[],0,1,1,0,0
"out of the winners for best performance by an actor in a motion picture- musical or comedy from 2003 to 2020, the most abnormal age belongs to which actor",[],{'find anomaly'},[''],[],[],0,1,1,0,0
can you organize the results of the table by sorting the list according to the age of the stars,['sort'],set(),[],[],[],1,0,0,0,0
can you list all the results in the table about the movie ' about  ',[],"{'summarize', 'retrieve value'}","['filter', 'filter']",[],[],0,2,2,0,0
what was the gender of all actors among all the final winners in the 60th ceremony,[],{'retrieve value'},"['characterize distribution', ' filter']",[],[],0,2,2,0,0
tell me who won the best performance by an actor in a motion picture- drama award at the 60th ceremony,['retrieve value'],set(),[],['retrieve value'],['retrieve value'],1,0,0,1,1
can you list all the results in the table about the movie ' about schmidt ',[],"{'summarize', 'retrieve value'}","['filter', 'filter']",[],[],0,2,2,0,0
i would like to review the dispersement of the amount of nominations,['characterize distribution'],{'determine range'},['characterize distribution'],['characterize distribution'],['characterize distribution'],1,1,1,1,1
"in the 60th ceremony, the award for best performance by an actor in a motion picture was won by whom",['retrieve value'],set(),[],['retrieve value'],['retrieve value'],1,0,0,1,1
which actor was nominated for the most awards,[],{'determine range'},['retrieve value'],[],[],0,1,1,0,0
can the actors nationality impact the outcome,[],{'determine range'},['dependency'],[],[],0,1,1,0,0
what was the number of candidates that were nominated for best performance by an actor in a motion picture-drama at he 60th ceremony,[],{'count'},"['retrieve value', ' filter']",[],[],0,2,2,0,0
what is the total number of movies released in the year 1998,[],{'retrieve value'},"['summarize', ' filter']",[],[],0,2,2,0,0
can you tell me what movie won best original score in a motion picture in 1997,['retrieve value'],set(),[],[],[],1,0,0,0,0
what is the correlation between the nomination and the age of a star,['correlate'],{'retrieve value'},['correlate'],[],[],1,1,1,0,0
tell me the distribution for the book ratings,['distribution'],set(),[],[],[],1,0,0,0,0
can you rearrange the table by book rating in descending order,['sort'],set(),[],[],[],1,0,0,0,0
what books have low ratings that seem suspect,['filter'],set(),[],['filter'],['filter'],1,0,0,1,1
tell me the book ratings distribution,['characterize distribution'],set(),[],[],[],1,0,0,0,0
which author has worked with dark horse comics most frequently,['filter'],set(),['find extremum'],[],[],1,1,1,0,0
please go and get all of the books written in english,[],{'retrieve value'},['filter'],[],[],0,1,1,0,0
are there outliers in the book ratings,[],"{'determine range', 'characterize distribution'}","['Find Anomalies', 'Find Anomalies']",[],[],0,2,2,0,0
"of fiction books, which are written in english",['retrieve value'],set(),[],['retrieve value'],['retrieve value'],1,0,0,1,1
how many books have been released by dark horse comics,[],{'retrieve value'},['filter'],[],[],0,1,1,0,0
what is the most expensive book and who published it,['Find Extremum'],{'Retrieve Value'},['find extremum'],['find extremum'],['find extremum'],1,1,1,1,1
show a list of similarly rated books,[],{'find similarities'},['similarity'],[],[],0,1,1,0,0
produce a list of book titles published during the current year,['retrieve value'],set(),[],['retrieve value'],['retrieve value'],1,0,0,1,1
dark horse comic has how many books,['retrieve value'],set(),[],[],[],1,0,0,0,0
what is the total number of categories,[],{'aggregation'},['summarize'],[],[],0,1,1,0,0
what's the size of ' kids paint free- drawing fun ',['retrieve value'],set(),[],['retrieve value'],['retrieve value'],1,0,0,1,1
does a app exist that is much different than the others,[],"{'determine range', 'cluster'}","['Find Anomalies', 'Find Anomalies']",[],[],0,2,2,0,0
what is the total amount of genres,[],{'determine range'},['summarize'],[],[],0,1,1,0,0
what is the title of the biggest app,[],{'retrieve value'},['find extremum'],[],[],0,1,1,0,0
what apps have a perfect rating and a lot of reviews,['filter'],{'determine range'},['filter'],['filter'],['filter'],1,1,1,1,1
see if you can locate the most recent gaming app,[],"{'retrieve value', 'sort'}","['find extremum', ' filter', 'find extremum', ' filter']",[],[],0,4,4,0,0
tell me free or paid apps have a higher mean rating,[],{'compute derived value'},['filter'],[],[],0,1,1,0,0
which genres are included in the dataset,[],{'retrieve value'},['summarize'],[],[],0,1,1,0,0
which apps have support for versions of android lower than 40,['filter'],set(),['retrieve value'],[],[],1,1,1,0,0
describe shape of the distribution for the number of installations,['characterize distribution'],{'determine range'},['characterize distribution'],[],[],1,1,1,0,0
show me the app that costs the most,['retrieve value'],set(),['find extremum'],[],[],1,1,1,0,0
is there a relationship between the android version of an app and its installations,[],{'correlation'},['dependency'],[],[],0,1,1,0,0
show me the most recent version of androids ' discover color ',[],{'retrieve value'},['find extremum'],[],[],0,1,1,0,0
"when taking different android versions into account, does that have any impact on installation",[],set(),[],[],[],0,0,0,0,0
give me a list of all the free business apps that have received rating that were higher than a 45,['retrieve value'],set(),[],['retrieve value'],['retrieve value'],1,0,0,1,1
can you tell me the attribute 'rating ' be affected 'installation,[],set(),[],[],[],0,0,0,0,0
what's the price distribution in beauty apps,[],{'compute derived value'},"['characterize distribution', ' filter']",[],[],0,2,2,0,0
"which app has a rating that doesn 't follow a trend between installations, rating and number of reviews",[],"{'determine range', 'correlate', 'characterize distribution'}","['find anomalies', 'find anomalies', 'find anomalies']",[],[],0,3,3,0,0
what is the app with the most abnormal pattern,['find anomalies'],set(),[],['find anomalies'],['find anomalies'],1,0,0,1,1
are there an unusually high number of reviews for any of the apps,[],{'determine range'},['find anomalies'],[],[],0,1,1,0,0
what is the distribution of the number based on shape of installations,['characterize distribution'],{'determine range'},['characterize distribution'],[],[],1,1,1,0,0
is there an effect on price caused by the app's genre,[],{'correlation'},['dependency'],[],[],0,1,1,0,0
is there a correlation between apps with more installations and higher ratings,[],{'correlation'},['correlate'],[],[],0,1,1,0,0
"tell me the most pricey apps by release date, recent to oldest",['sort'],{'retrieve value'},['sort'],['sort'],['sort'],1,1,1,1,1
find out any app that is distinctive from the rest,[],"{'determine range', 'characterize distribution'}","['find anomalies', 'find anomalies']",[],[],0,2,2,0,0
list the top 10 gaming apps sorted from highest to lowest installations,['sort'],{'retrieve value'},"['sort', ' filter']",[],[],1,2,2,0,0
can you tell me the price distribution of all the beauty apps,[],{'retrieve value'},"['characterize distribution', ' filter']",[],[],0,2,2,0,0
name any apps that can support any version of android lower than 40,['retrieve value'],set(),[],['retrieve value'],['retrieve value'],1,0,0,1,1
what differences are there among the students who acquired more than 270 points between 2010-2019,['filter'],{'characterize distribution'},"['compare', 'compare', ' filter']",[],[],1,3,3,0,0
tell me all of the categories of grade types,[],{'retrieve value'},['summarize'],[],[],0,1,1,0,0
use the midterm exam and final exam as the 2nd and 1st keywords respectively in order to assign a rank to every one of the students,['sort'],set(),[],[],[],1,0,0,0,0
what did the majority of students receive as a grade,[],{'determine range'},['characterize distribution'],[],[],0,1,1,0,0
use the final exam as the first keyword and midterm exam as the second keyword to rank all the students,['sort'],set(),[],[],[],1,0,0,0,0
"show me the scope, among all the students, of the cw2 score",[],{'retrieve value'},['characterize distribution'],[],[],0,1,1,0,0
"in cw1, how many students achieved the feat of 100%, or full marks",[],{'retrieve value'},['filter'],[],[],0,1,1,0,0
rank the grades from highest to lowest according to the average score,['sort'],set(),[],['sort'],['sort'],1,0,0,1,1
can you tell me the median score of the cw1 class,['compute derived value'],{'retrieve value'},['compute derived value '],[],[],1,1,1,0,0
do you know the median score of all students in cw1,[],{'retrieve value'},['compute derived value '],[],[],0,1,1,0,0
how many students received an a,[],set(),[],[],[],0,0,0,0,0
select all cw1 scores not less than 80%,['filter'],set(),[],[],[],1,0,0,0,0
arrange the students by grade and furnish me with a list,['sort'],set(),[],[],[],1,0,0,0,0
what is the distribution of the total points of the students,['characterize distribution'],set(),[],[],[],1,0,0,0,0
was the same midterm exam given to velma paul and glynis caine,[],{'filter'},['retrieve value'],[],[],0,1,1,0,0
what is the relationship between level of education and crime rate,[],{'correlation'},['dependency'],[],[],0,1,1,0,0
are there any visible trends in violent crime rates over the time period,['trend'],{'determine range'},['trend'],[],[],1,1,1,0,0
what is the most frequent place of violent crime,[],set(),[],[],[],0,0,0,0,0
are there any correlations between crime types and geographic location,[],{'correlation'},['correlate'],[],[],0,1,1,0,0
what is the distribution for non-violent crimes based on age,['characterize distribution'],{'determine range'},['characterize distribution'],[],[],1,1,1,0,0
are there any correlations in violent or non-violent crimes based on congressional district and year,[],"{'retrieve value', 'characterize distribution'}","['correlate', 'correlate']",[],[],0,2,2,0,0
what city has the highest crime rate,[],{'retrieval'},['compare'],[],[],0,1,1,0,0
what’s the frequency of gun violence incidents with multiple victims,['distribution'],{'correlation'},['characterize distribution'],[],[],1,1,1,0,0
how many gun violence incidents are there each year,[],{'aggregate'},['characterize distribution'],[],[],0,1,1,0,0
are there any significant correlations between any 2 variables in the dataset,[],{'correlation'},['correlate'],[],[],0,1,1,0,0
how many incidents of gun violence result in death (ie what proportion are fatal vs non-fatal),[],{'retrieve value'},['summarize'],[],[],0,1,1,0,0
what鈥檚 the frequency of gun violence incidents with multiple victims,['distribution'],{'correlation'},['characterize distribution'],[],[],1,1,1,0,0
are males or females more likely to die of gun violence,[],"{'relationship', 'comparision'}","['compare', 'compare']",[],[],0,2,2,0,0
how have homicide rates increased over time,['trend'],{'time series'},"['trend', ' filter']",['trend'],['trend'],1,2,2,1,1
what type of gun violence has seen the most growth over the years,[],{'correlation'},"['compare', ' trend']",[],[],0,2,2,0,0
are most gun death because of suicide,[],{'distribution'},"['compare', ' filter']",[],[],0,2,2,0,0
did most gun violence happen inside home,[],"{'determine range', 'characterize distribution'}","['compare', ' filter', 'compare', ' filter']",[],[],0,4,4,0,0
what is the correlation between education levels and suicide rates,[],{'correlation'},"['correlate', ' filter']",[],[],0,2,2,0,0
which state/year has the most gun deaths,[],{'find extremum'},['compare'],[],[],0,1,1,0,0
"according to population, what is the rank of each of region",['sort'],set(),[],[],[],1,0,0,0,0
what is the number of hospitals located in manyara,['retrieve value'],set(),[],['retrieve value'],['retrieve value'],1,0,0,1,1
which 10 regions have the most health centers,['find extremum'],"{'retrieve value', 'sort'}","['find extremum', 'find extremum']",['find extremum'],['find extremum'],1,2,2,1,1
look up regions that names start with the letter a,[],{'retrieve value'},['filter'],[],[],0,1,1,0,0
make a list of the number of total hfs in descending order,[],{'retrieve value'},['sort'],[],[],0,1,1,0,0
what is the average count of hospitals,[],{'compute derived value'},['characterize distribution'],[],[],0,1,1,0,0
what is the number of clinics that are in mara,[],{'retrieve value'},"['Filter', ' filter']",[],[],0,2,2,0,0
what's the distribution of the entire hfs,['characterize distribution'],set(),[],[],[],1,0,0,0,0
which region has the lowest population ratio of hf,['find extremum'],{'retrieve value'},['find extremum'],['find extremum'],['find extremum'],1,1,1,1,1
enter the regions from this table,[],set(),[],[],[],0,0,0,0,0
look for the region that has the most people living in it,['find extremum'],{'retrieve value'},['find extremum'],['find extremum'],['find extremum'],1,1,1,1,1
remove any regions with a population ratio of hf lower than 15,[],set(),[],[],[],0,0,0,0,0
the population range needs to be discovered,['range'],{'discover'},['determine range'],[],[],1,1,1,0,0
do any regions have their population ratio over 20 hf,[],{'determine range'},['filter'],[],[],0,1,1,0,0
"when the score difference is more than 5, please list the extreme matches to this",['filter'],set(),[],[],[],1,0,0,0,0
please indicate the friendly tournament matches in which the home team beat the away team,['filter'],{'determine range'},['filter'],['filter'],['filter'],1,1,1,1,1
tell me all the tournament matches that the home team won against the away team,['filter'],set(),[],['filter'],['filter'],1,0,0,1,1
which group of nations won the most games,[],{'summarize'},['compare'],[],[],0,1,1,0,0
"based on the number of matches, can you tell me what the distribution of cities is",['characterize distribution'],set(),[],[],[],1,0,0,0,0
what group of nations of have the most games,['find extremum'],{'grouping'},['find extremum'],['find extremum'],['find extremum'],1,1,1,1,1
what countries have won a similar number of games,['cluster'],set(),[],['cluster'],['cluster'],1,0,0,1,1
what is the propensity of the number of vehicles in japan and korea from the year 2000 to 2010,[],{'compare'},[''],[],[],0,1,1,0,0
does life expectancy have any relation with the percentage of smokers,[],{'correlate'},['dependency'],[],[],0,1,1,0,0
is the male to female ratio more imbalanced in the last decade in russia,[],"{'compare', 'trend'}","['', '']",[],[],0,2,2,0,0
is the speed of economic development relative to the population of each country,[],"{'compute derived value', 'compare'}","['', '']",[],[],0,2,2,0,0
show me the gdp ranking of european countries,[],{'ranking'},[''],[],[],0,1,1,0,0
"to cluster the states in the us, i wish to use middle income",['cluster'],set(),[],[],[],1,0,0,0,0
do all the countries in africa have a lower average pci than all the countries in europe,[],{'compare'},[''],[],[],0,1,1,0,0
