llama_query,llama_positive matches,llama_llm only matches,llama_gt only matches,llama_correct task inferences,llama_missed task inferences,llama_positive matches count,llama_llm only matches count,llama_gt only matches count,llama_correct task inferences count,llama_missed task inferences count
average tropical storm diameter,['Compute Derived Value'],set(),[],['compute derived value'],['compute derived value'],1,0,0,1,1
what is the relationship between storm day and hu_diameter,[],{'correlate'},['dependency'],[],[],0,1,1,0,0
are there any repeat names of storms,[],{'Find Duplicate Values'},['summarize'],[],[],0,1,1,0,0
what month has the strongest hurricanes,['Find Extremum'],{'Characterize Distribution'},"['find extremum', ' filter']",['find extremum'],['find extremum'],1,2,2,1,1
how has wind speed changed over time,['Trend'],set(),[],[],[],1,0,0,0,0
what is the maximum pressure of a certain hurricane,[],{'Find Maximum'},"['find extremum', ' summarize', ' filter']",[],[],0,3,3,0,0
relationship between position and the strength of the hurricane,['Dependency'],{'Correlate'},"['dependency', ' filter']",[],[],1,2,2,0,0
average time for each hurricane status,['compute derived value'],{'summarize'},"['compute derived value', ' compare']",['compute derived value'],['compute derived value'],1,2,2,1,1
which hurricane lasted the longest,[],{'Compute Derived Value'},"['compare', ' filter']",[],[],0,2,2,0,0
can you tell me the sales distribution of type 4046 in 2015,[],{'Characterize Distribution'},"['distribution', ' filter']",[],[],0,2,2,0,0
what are the groups of regions according to three types of avocados sales ratio,['cluster'],set(),[],['cluster'],['cluster'],1,0,0,1,1
"using the three types of avocado's sales ratio, provide the groups of regions",['cluster'],{'summarize'},['cluster'],['cluster'],['cluster'],1,1,1,1,1
provide the distribution of the sales in 2015 of type 4046,[],{'Characterize Distribution'},"['distribution', ' filter']",[],[],0,2,2,0,0
the oldest user was born in what year,[],{'Find Minimum'},['find extremum'],[],[],0,1,1,0,0
indicate all the travels taking more than 1000 minutes,[],{'filter'},['characterize distribution'],[],[],0,1,1,0,0
"show me a list of the tripe that take longer than 1,000 minutes",['retrieve value'],{'filter'},['retrieve value'],['retrieve value'],['retrieve value'],1,1,1,1,1
tell me the distribution of travel times between wells st & elm st and lake shore dr & ohio st,['Characterize Distribution'],set(),[],[],[],1,0,0,0,0
show me the relationship between age and travel time,['correlate'],set(),[],[],[],1,0,0,0,0
do you know of any trip that would take longer than 1000 minutes,[],{'Filter'},['characterize distribution'],[],[],0,1,1,0,0
show me a list of neighborhoods with the number of male births from least to most,"['sort', 'retrieve value']",set(),['retrieve value'],[],[],2,1,1,0,0
show me the distribution of births across all districts in 2017,[],{'Characterize Distribution'},"['distribution', ' filter']",[],[],0,2,2,0,0
let me know if there are groups of neighborhoods with similar birth gender ratios,[],"{'similarity', 'cluster'}","['compares', ' culstering', 'compares', ' culstering']",[],[],0,4,4,0,0
retrieve the neighborhood with more than 100 female births in ciutat vella in 2013,['filter'],"{'find extremum', 'compute derived value'}","['retrieve value', 'retrieve value', ' filter', 'retrieve value', ' filter']",[],[],1,5,5,0,0
which neighborhood in ciutat vella has more than 100 females born in the year 2013,"['Filter', 'Retrieve Value']",set(),['retrieve value'],['retrieve value'],['retrieve value'],2,1,1,1,1
"barcelona's districts, please list each",[],{'Retreive Value'},"['retrieve value', ' filter']",[],[],0,2,2,0,0
what is the distribution of all births in all districts between 2013 and 2017,[],{'Characterize Distribution'},"['distribution', ' filter']",[],[],0,2,2,0,0
what neighborhood had 56 boys born in 2017,"['Filter', 'Retrieve Value']",set(),['retrieve value'],['retrieve value'],['retrieve value'],2,1,1,1,1
is there a correlation between acceleration and horsepower,['correlate'],set(),[],[],[],1,0,0,0,0
how many heavy cars are in the dataset,[],{'Filter'},['compute derived value'],[],[],0,1,1,0,0
are there any american 5 cylinder cars,['Filter'],set(),[],[],[],1,0,0,0,0
how does displacement relate to fuel economy for cars from europe v usa,[],"{'compare', 'correlate'}","['dependency', ' filter', 'dependency', ' filter']",[],[],0,4,4,0,0
which cylinder cars have the highest fuel economy,[],"{'Find Extremum', 'Filter'}","['dependency', 'dependency']",[],[],0,2,2,0,0
which countries have the most cars in this dataset,[],{'summarize'},"['compare', ' find extremum']",[],[],0,2,2,0,0
which countries have the highest acceleration for cars of different cylinders,['compare'],"{'compute derived value', 'sort', 'filter'}","['compare', 'compare', 'compare']",['compare'],['compare'],1,3,3,1,1
how do the horsepowers of the cars from different regions change with years,['Trend'],set(),[],[],[],1,0,0,0,0
the distribution of the number of cylinders of cars based on different origins,[],{'Characterize Distribution'},"['distribution', ' compare']",[],[],0,2,2,0,0
what is the correlation between displacement and mpg of cars with different origins,['correlate'],set(),[],[],[],1,0,0,0,0
count the number of cars based on their origins,[],"{'summarize', ' retrieve value'}","['compare', 'compare']",[],[],0,2,2,0,0
what is the correlation between horsepower and acceleration,['correlate'],set(),[],[],[],1,0,0,0,0
is there a correlation between cars' horsepower and acceleration,['correlate'],set(),[],[],[],1,0,0,0,0
"how does displacement relate to mpg for individual models, partitioned by country",[],{'correlate'},['dependency'],[],[],0,1,1,0,0
"how does weight relate to acceleration for car models, small multiples by origin",['dependency'],{'correlate'},['dependency'],[],[],1,1,1,0,0
how does horsepower relate to acceleration for individual car models,['correlate'],set(),[],[],[],1,0,0,0,0
"compare the number of models in usa, japan and europe",['compare'],set(),[],[],[],1,0,0,0,0
does higher horsepower mean lower acceleration,['correlate'],set(),[],['correlate'],['correlate'],1,0,0,1,1
how many cylinders do cars manufactured in different countries have,[],{'Characterize Distribution'},['compare'],[],[],0,1,1,0,0
compare car cylinder count against acceleration across countries,['compare'],{'correlate'},['compare'],[],[],1,1,1,0,0
how many cars do each country manufacture,[],{'summarize'},['characterize distribution'],[],[],0,1,1,0,0
what's the mileage for cars based on the number of cylinders present,[],{'correlate'},['characterize distribution'],[],[],0,1,1,0,0
does higher cylinder count mean mean lower mileage,['Correlate'],set(),[],['correlate'],['correlate'],1,0,0,1,1
how does mileage relate to cylinder count,[],{'correlate'},['dependency'],[],[],0,1,1,0,0
what is the average mpg for different cylinders,['Characterize Distribution'],{'Compute Derived Value'},['characterize distribution'],['characterize distribution'],['characterize distribution'],1,1,1,1,1
what is the relation between horsepower and acceleration,['correlate'],set(),[],[],[],1,0,0,0,0
how weight varies each year,[],{'Trend'},['characterize distribution'],[],[],0,1,1,0,0
how is acceleration related to horsepower,['correlate'],set(),[],[],[],1,0,0,0,0
how has horsepower changed over time by country,['Trend'],set(),[],[],[],1,0,0,0,0
have cars gotten lighter over time,['Trend'],set(),[],[],[],1,0,0,0,0
how many models are proudced by each country,[],"{'Compute Derived Value', 'Compare', 'Summarize'}","['Characterize Distribution', 'Characterize Distribution', 'Characterize Distribution']",[],[],0,3,3,0,0
what is the average weight of cars over time,['Trend'],{'Compute Derived Value'},['trend'],['trend'],['trend'],1,1,1,1,1
what is the distribution of weight across all cars,[],{'Characterize Distribution'},['Characterize Distribution'],[],[],0,1,1,0,0
how much do various cars weigh,[],{'Retrieval'},['Characterize Distribution'],[],[],0,1,1,0,0
what is the range of weights for all cars,[],{'determine range'},['Determine Range'],[],[],0,1,1,0,0
where do the cars originate from,[],{'Retrieve Value'},['Characterize Distribution'],[],[],0,1,1,0,0
how has avg (horsepower) evolved over time | segregate it by the car origin,['Trend'],{'Summarize'},"['trend', ' compare']",['trend'],['trend'],1,2,2,1,1
compare avg (acceleration) with cylinders | segregate the cylinders by their origin,[],"{'Filter', 'Correlate', 'Summarize'}","['compare', 'compare', 'compare']",[],[],0,3,3,0,0
how does avg (weight) evolve over the years,['Trend'],set(),[],[],[],1,0,0,0,0
how does the acceleration of cars from different countries vary by the number of cylinders,[],"{'correlate', 'dependency'}","['compare', 'compare']",[],[],0,2,2,0,0
how does acceleration vary by weight for cars from different regions,[],{'correlate'},['dependency'],[],[],0,1,1,0,0
what is the average mpg for cars with different cylinders,[],"{'Characterize Distribution', 'Compute Derived Value'}","['dependency', 'dependency']",[],[],0,2,2,0,0
how does mpg vary by the number of cylinders in a car,[],{'correlate'},['Characterize Distribution'],[],[],0,1,1,0,0
how does acceleration change with horsepower,['correlate'],set(),[],['correlate'],['correlate'],1,0,0,1,1
how does acceleration behave compared to horsepower,['correlate'],set(),[],['correlate'],['correlate'],1,0,0,1,1
how many cars are from each region,[],{'summarize'},['characterize distribution'],[],[],0,1,1,0,0
"how does mpg compare to displacement, broken out by region",['compare'],{'correlate'},['compare'],[],[],1,1,1,0,0
"for each region, how does a car's mpg vary with displacement",[],"{'correlate', 'dependency'}","['compare', 'compare']",[],[],0,2,2,0,0
how has horsepower changed over time in each region,['Trend'],set(),[],[],[],1,0,0,0,0
what is the breakdown of cars by the number of cylinders in each region,['characterize distribution'],{'cluster'},['characterize distribution'],['characterize distribution'],['characterize distribution'],1,1,1,1,1
how many cars have various numbers of cylinders in each region,[],"{'summarize', 'dependency'}","['compute derived value', 'compute derived value']",[],[],0,2,2,0,0
what is the average weight of cars by model year,[],{'Compute Derived Value'},['characterize distribution'],[],[],0,1,1,0,0
how has the average weight of cars changed over the years,['Trend'],set(),[],[],[],1,0,0,0,0
how can the population of ashley be illustrated to show distribution across five years,[],{'Characterize Distribution'},"['distribution', ' filter']",[],[],0,2,2,0,0
"how likely is it that, if i was born in 2000, i was born in a county with no less than 20,000 people",['Filter'],"{'Compute Derived Value', 'Summarize'}","['dependency', 'dependency', ' filter', 'dependency', ' filter']",[],[],1,5,5,0,0
give me the average population rating for ashley in the year 2000,[],"{'Retrieve Value', 'Compute Derived Value'}","['summarize', 'summarize']",[],[],0,2,2,0,0
identify the county that has the least population each year,[],"{'Find Minimum', 'Filter'}","['find extremum', 'find extremum']",[],[],0,2,2,0,0
what is the average population in 2000,[],{'Compute Derived Value'},['summarize'],[],[],0,1,1,0,0
is there a regional concentration trend in gdp development,[],"{'Trend', 'Cluster'}","['Trend', 'Trend']",[],[],0,2,2,0,0
how are gdp and mteu correlated,['correlate'],set(),[],[],[],1,0,0,0,0
is there an outlier within the value distribution of albinism that causes the result to be skewed,[],"{'Characterize Distribution', 'Find Anomalies'}","['Find Anomalies', 'Find Anomalies']",[],[],0,2,2,0,0
"find all the types of genetic diseases with greater than 1,000 patients",[],"{'Find Extremum', 'Filter'}","['retrieve value', 'retrieve value']",[],[],0,2,2,0,0
tell me the maximum and minimum number of patients with autism across all regions,[],{'Find Extremum'},[' Find Extremum'],[],[],0,1,1,0,0
what is the spatial and temporal correlation of albinism,['correlate'],set(),[],[],[],1,0,0,0,0
does this data represent outliers in the number of patients,['Find Anomalies'],set(),[],[],[],1,0,0,0,0
take out the regions with a number of patients larger than 500,['Filter'],set(),['compute derived value'],[],[],1,1,1,0,0
"looking at the number of people in all regions with a visual impairment, what is the median",[],{'Compute Derived Value'},['characterize distribution'],[],[],0,1,1,0,0
does the value distribution of albinism look skewed,['Characterize Distribution'],set(),[],['characterize distribution'],['characterize distribution'],1,0,0,1,1
is there an obvious clustering,['cluster'],set(),[],[],[],1,0,0,0,0
kindly rate the regions on the basis of the number of patients,"['sort', 'summarize']",set(),['sort'],['sort'],['sort'],2,1,1,1,1
give me the movie that received the most nominations,[],"{'summarize', 'compute derived value'}","['find extremum', 'find extremum']",[],[],0,2,2,0,0
"out of the winners for best performance by an actor in a motion picture- musical or comedy from 2003 to 2020, the most abnormal age belongs to which actor",[],{'Find Anomalies'},[''],[],[],0,1,1,0,0
can you organize the results of the table by sorting the list according to the age of the stars,['Sort'],set(),[],[],[],1,0,0,0,0
can you list all the results in the table about the movie ' about  ',[],{'Retrieve Value'},['filter'],[],[],0,1,1,0,0
what was the gender of all actors among all the final winners in the 60th ceremony,['Filter'],{'Compute Derived Value'},"['characterize distribution', 'characterize distribution', ' filter']",[],[],1,3,3,0,0
tell me who won the best performance by an actor in a motion picture- drama award at the 60th ceremony,"['Filter', 'Retrieve Value']",set(),['retrieve value'],['retrieve value'],['retrieve value'],2,1,1,1,1
can you list all the results in the table about the movie ' about schmidt ',[],{'Retrieve Value'},['filter'],[],[],0,1,1,0,0
i would like to review the dispersement of the amount of nominations,['Characterize Distribution'],set(),[],['characterize distribution'],['characterize distribution'],1,0,0,1,1
"in the 60th ceremony, the award for best performance by an actor in a motion picture was won by whom",['Retrieve Value'],set(),[],[],[],1,0,0,0,0
which actor was nominated for the most awards,[],"{'Find Extremum', 'Compute Derived Value'}","['retrieve value', 'retrieve value']",[],[],0,2,2,0,0
can the actors nationality impact the outcome,[],{'correlate'},['dependency'],[],[],0,1,1,0,0
what was the number of candidates that were nominated for best performance by an actor in a motion picture-drama at he 60th ceremony,['Filter'],{'Compute Derived Value'},"['retrieve value', 'retrieve value', ' filter']",[],[],1,3,3,0,0
what is the total number of movies released in the year 1998,[],{'compute derived value'},"['summarize', ' filter']",[],[],0,2,2,0,0
can you tell me what movie won best original score in a motion picture in 1997,['Retrieve Value'],set(),[],['retrieve value'],['retrieve value'],1,0,0,1,1
what is the correlation between the nomination and the age of a star,['correlate'],set(),[],[],[],1,0,0,0,0
tell me the distribution for the book ratings,['Characterize Distribution'],set(),[],[],[],1,0,0,0,0
can you rearrange the table by book rating in descending order,['Sort'],set(),[],[],[],1,0,0,0,0
what books have low ratings that seem suspect,['filter'],"{'find anomalies', 'characterize distribution'}","['filter', 'filter']",['filter'],['filter'],1,2,2,1,1
tell me the book ratings distribution,['Characterize Distribution'],set(),[],[],[],1,0,0,0,0
which author has worked with dark horse comics most frequently,[],{'Compute Derived Value'},"['find extremum', ' filter']",[],[],0,2,2,0,0
please go and get all of the books written in english,['Filter'],{'Retrieve Value'},['filter'],['filter'],['filter'],1,1,1,1,1
are there outliers in the book ratings,[],{'Find Anomalies'},['Find Anomalies'],[],[],0,1,1,0,0
"of fiction books, which are written in english",['filter'],set(),['retrieve value'],[],[],1,1,1,0,0
how many books have been released by dark horse comics,[],{'summarize'},['filter'],[],[],0,1,1,0,0
what is the most expensive book and who published it,['Find Extremum'],set(),[],['find extremum'],['find extremum'],1,0,0,1,1
show a list of similarly rated books,[],"{'Retreive Value', 'Filter', 'Compare'}","['similarity', 'similarity', 'similarity']",[],[],0,3,3,0,0
produce a list of book titles published during the current year,['retrieve value'],{'filter'},['retrieve value'],['retrieve value'],['retrieve value'],1,1,1,1,1
dark horse comic has how many books,['Retrieve Value'],set(),[],[],[],1,0,0,0,0
what is the total number of categories,[],{'compute derived value'},['summarize'],[],[],0,1,1,0,0
what's the size of ' kids paint free- drawing fun ',['retrieve value'],set(),[],['retrieve value'],['retrieve value'],1,0,0,1,1
does a app exist that is much different than the others,[],{'Find Anomalies'},['Find Anomalies'],['find anomalies'],['find anomalies'],0,1,1,1,1
what is the total amount of genres,['summarize'],set(),[],['summarize'],['summarize'],1,0,0,1,1
what is the title of the biggest app,['Find Extremum'],set(),[],['find extremum'],['find extremum'],1,0,0,1,1
what apps have a perfect rating and a lot of reviews,['filter'],{'characterize distribution'},['filter'],['filter'],['filter'],1,1,1,1,1
see if you can locate the most recent gaming app,"['Filter', 'Find Extremum']",set(),['find extremum'],[],[],2,1,1,0,0
tell me free or paid apps have a higher mean rating,[],"{'Compute Derived Value', 'Compare'}","['filter', 'filter']",[],[],0,2,2,0,0
which genres are included in the dataset,[],{'Characterize Distribution'},['summarize'],[],[],0,1,1,0,0
which apps have support for versions of android lower than 40,['Filter'],set(),['retrieve value'],[],[],1,1,1,0,0
describe shape of the distribution for the number of installations,['Characterize Distribution'],set(),[],[],[],1,0,0,0,0
show me the app that costs the most,['Find Extremum'],set(),[],[],[],1,0,0,0,0
is there a relationship between the android version of an app and its installations,[],{'correlate'},['dependency'],[],[],0,1,1,0,0
show me the most recent version of androids ' discover color ',['Find Extremum'],{'Retrieve Value'},['find extremum'],['find extremum'],['find extremum'],1,1,1,1,1
"when taking different android versions into account, does that have any impact on installation",[],{'correlate'},['dependency'],[],[],0,1,1,0,0
give me a list of all the free business apps that have received rating that were higher than a 45,['filter'],"{'summarize', 'compute derived value', 'sort'}","['retrieve value', 'retrieve value', ' filter', 'retrieve value', ' filter', 'retrieve value', ' filter']",[],[],1,7,7,0,0
can you tell me the attribute 'rating ' be affected 'installation,[],{'correlation'},['characterize distribution'],[],[],0,1,1,0,0
what's the price distribution in beauty apps,['Characterize Distribution'],set(),[],['characterize distribution'],['characterize distribution'],1,0,0,1,1
"which app has a rating that doesn 't follow a trend between installations, rating and number of reviews",['Find Anomalies'],set(),[],['find anomalies'],['find anomalies'],1,0,0,1,1
what is the app with the most abnormal pattern,['Find Anomalies'],set(),[],[],[],1,0,0,0,0
are there an unusually high number of reviews for any of the apps,['Find Anomalies'],set(),[],['find anomalies'],['find anomalies'],1,0,0,1,1
what is the distribution of the number based on shape of installations,['Characterize Distribution'],set(),[],[],[],1,0,0,0,0
is there an effect on price caused by the app's genre,[],{'correlate'},['dependency'],[],[],0,1,1,0,0
is there a correlation between apps with more installations and higher ratings,['correlate'],set(),[],[],[],1,0,0,0,0
"tell me the most pricey apps by release date, recent to oldest",['Sort'],"{'Compute Derived Value', 'Filter'}","['sort', 'sort']",['sort'],['sort'],1,2,2,1,1
find out any app that is distinctive from the rest,['Find Anomalies'],set(),[],['find anomalies'],['find anomalies'],1,0,0,1,1
list the top 10 gaming apps sorted from highest to lowest installations,"['sort', 'filter']",{'retrieve value'},"['sort', 'sort', ' filter']",[],[],2,3,3,0,0
can you tell me the price distribution of all the beauty apps,['Characterize Distribution'],set(),[],['characterize distribution'],['characterize distribution'],1,0,0,1,1
name any apps that can support any version of android lower than 40,['Filter'],set(),['retrieve value'],[],[],1,1,1,0,0
what differences are there among the students who acquired more than 270 points between 2010-2019,['filter'],{'characterize distribution'},"['compare', 'compare', ' filter']",[],[],1,3,3,0,0
tell me all of the categories of grade types,[],"{'Retreive Value', 'Characterize Distribution'}","['summarize', 'summarize']",[],[],0,2,2,0,0
use the midterm exam and final exam as the 2nd and 1st keywords respectively in order to assign a rank to every one of the students,['Sort'],{'Rank'},['sort'],[],[],1,1,1,0,0
what did the majority of students receive as a grade,[],{'summarize'},['characterize distribution'],[],[],0,1,1,0,0
use the final exam as the first keyword and midterm exam as the second keyword to rank all the students,['Sort'],{'Compare'},['sort'],[],[],1,1,1,0,0
"show me the scope, among all the students, of the cw2 score",['Characterize Distribution'],set(),[],['characterize distribution'],['characterize distribution'],1,0,0,1,1
"in cw1, how many students achieved the feat of 100%, or full marks",['Filter'],set(),[],['filter'],['filter'],1,0,0,1,1
rank the grades from highest to lowest according to the average score,['Sort'],{'Summarize'},['sort'],['sort'],['sort'],1,1,1,1,1
can you tell me the median score of the cw1 class,['compute derived value'],set(),[],['compute derived value'],['compute derived value'],1,0,0,1,1
do you know the median score of all students in cw1,[],{'Characterize Distribution'},['compute derived value '],[],[],0,1,1,0,0
how many students received an a,['Filter'],set(),[],['filter'],['filter'],1,0,0,1,1
select all cw1 scores not less than 80%,['Filter'],set(),[],[],[],1,0,0,0,0
arrange the students by grade and furnish me with a list,['sort'],{'summarize'},['sort'],[],[],1,1,1,0,0
what is the distribution of the total points of the students,['Characterize Distribution'],set(),[],[],[],1,0,0,0,0
was the same midterm exam given to velma paul and glynis caine,[],{'compare'},['retrieve value'],[],[],0,1,1,0,0
what is the relationship between level of education and crime rate,[],{'correlation'},['dependency'],[],[],0,1,1,0,0
what is the most frequent place of violent crime,['characterize distribution'],set(),[],['characterize distribution'],['characterize distribution'],1,0,0,1,1
are there any correlations between crime types and geographic location,['correlate'],set(),[],[],[],1,0,0,0,0
what is the distribution for non-violent crimes based on age,['characterize distribution'],{'filter'},['characterize distribution'],[],[],1,1,1,0,0
are there any correlations in violent or non-violent crimes based on congressional district and year,[],{'correlation'},['correlate'],[],[],0,1,1,0,0
is there a somewhat even distribution between the year and congressional district,['distribution'],"{'correlation', 'dependency'}","['characterize distribution', 'characterize distribution']",[],[],1,2,2,0,0
what city has the highest crime rate,[],{'Retrieving Value'},['compare'],[],[],0,1,1,0,0
what’s the frequency of gun violence incidents with multiple victims,['Characterize Distribution'],set(),[],['characterize distribution'],['characterize distribution'],1,0,0,1,1
how many gun violence incidents are there each year,[],{'Retrieve Value'},['characterize distribution'],[],[],0,1,1,0,0
are there any significant correlations between any 2 variables in the dataset,[],{'correlation'},['correlate'],[],[],0,1,1,0,0
how many incidents of gun violence result in death (ie what proportion are fatal vs non-fatal),[],{'aggregation'},['summarize'],[],[],0,1,1,0,0
what鈥檚 the frequency of gun violence incidents with multiple victims,['Characterize Distribution'],set(),[],['characterize distribution'],['characterize distribution'],1,0,0,1,1
are males or females more likely to die of gun violence,[],{'characterize distribution'},['compare'],[],[],0,1,1,0,0
is one sex more likely to perpetrate gun violence,['Compare'],set(),[],['compare'],['compare'],1,0,0,1,1
how have homicide rates increased over time,['Trend'],set(),[],[],[],1,0,0,0,0
what type of gun violence has seen the most growth over the years,['Trend'],set(),['compare'],[],[],1,1,1,0,0
are most gun death because of suicide,[],{'proportion'},"['compare', ' filter']",[],[],0,2,2,0,0
did most gun violence happen inside home,[],"{'find proportion', 'characterize distribution'}","['compare', ' filter', 'compare', ' filter']",[],[],0,4,4,0,0
what is the correlation between education levels and suicide rates,[],{'correlation'},"['correlate', ' filter']",[],[],0,2,2,0,0
which state/year has the most gun deaths,[],"{'extreme value', 'retrieval'}","['compare', 'compare']",[],[],0,2,2,0,0
"according to population, what is the rank of each of region",['Sort'],set(),[],[],[],1,0,0,0,0
what is the number of hospitals located in manyara,['Retrieve Value'],set(),[],[],[],1,0,0,0,0
which 10 regions have the most health centers,['Find Extremum'],set(),[],['find extremum'],['find extremum'],1,0,0,1,1
look up regions that names start with the letter a,['Filter'],set(),[],[],[],1,0,0,0,0
make a list of the number of total hfs in descending order,['sort'],{'retrieve value'},['sort'],[],[],1,1,1,0,0
what is the average count of hospitals,[],{'compute derived value'},['characterize distribution'],[],[],0,1,1,0,0
what is the number of clinics that are in mara,[],{'Retrieve Value'},"['Filter', ' filter']",[],[],0,2,2,0,0
what's the distribution of the entire hfs,['Characterize Distribution'],set(),[],[],[],1,0,0,0,0
which region has the lowest population ratio of hf,[],{'Find Minimum'},['find extremum'],[],[],0,1,1,0,0
enter the regions from this table,['Retrieve Value'],set(),[],['retrieve value'],['retrieve value'],1,0,0,1,1
look for the region that has the most people living in it,['Find Extremum'],set(),[],['find extremum'],['find extremum'],1,0,0,1,1
remove any regions with a population ratio of hf lower than 15,['Filter'],set(),[],[],[],1,0,0,0,0
the population range needs to be discovered,['Determine Range'],set(),[],[],[],1,0,0,0,0
do any regions have their population ratio over 20 hf,['Filter'],{'Find Extremum'},['filter'],['filter'],['filter'],1,1,1,1,1
"when the score difference is more than 5, please list the extreme matches to this",['Filter'],{'Find Anomalies'},"['filter', ' find extremum']",[],[],1,2,2,0,0
please indicate the friendly tournament matches in which the home team beat the away team,['filter'],{'compute derived value'},['filter'],['filter'],['filter'],1,1,1,1,1
tell me all the tournament matches that the home team won against the away team,['filter'],{'compute derived value'},['filter'],['filter'],['filter'],1,1,1,1,1
which group of nations won the most games,[],{'summarize'},['compare'],[],[],0,1,1,0,0
