Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Filipe Luís,Left-Back,24,Dep. La Coruña,LaLiga,Atlético Madrid,LaLiga,2010-2011,10000000,12000000
Jorge Martínez,Right Winger,27,Catania,Serie A,Juventus,Serie A,2010-2011,8000000,12000000
Aiden McGeady,Right Winger,24,Celtic,Premiership,Spartak Moscow,Premier Liga,2010-2011,8000000,12000000
João Moutinho,Central Midfield,23,Sporting CP,Liga NOS,FC Porto,Liga NOS,2010-2011,14500000,11000000
José Manuel Jurado,Attacking Midfield,24,Atlético Madrid,LaLiga,FC Schalke 04,1.Bundesliga,2010-2011,13000000,11000000
Seydou Doumbia,Centre-Forward,22,BSC Young Boys,Super League,CSKA Moscow,Premier Liga,2010-2011,8000000,11000000
Giuliano,Attacking Midfield,20,Internacional,Série A,Dnipro,Premier Liga,2010-2011,8000000,11000000
Rafael van der Vaart,Attacking Midfield,27,Real Madrid,LaLiga,Spurs,Premier League,2010-2011,15000000,10500000
Roberto Soldado,Centre-Forward,25,Getafe CF,LaLiga,Valencia CF,LaLiga,2010-2011,10000000,10000000
Sandro,Defensive Midfield,21,Internacional,Série A,Spurs,Premier League,2010-2011,9000000,10000000
Pedro León,Right Winger,23,Getafe CF,LaLiga,Real Madrid,LaLiga,2010-2011,8000000,10000000
Jucilei,Defensive Midfield,22,Corinthians,Série A,Anzhi,Premier Liga,2010-2011,6500000,10000000
Nicolás Pareja,Centre-Back,26,Espanyol,LaLiga,Spartak Moscow,Premier Liga,2010-2011,6000000,10000000
Stephen Ireland,Attacking Midfield,24,Man City,Premier League,Aston Villa,Premier League,2010-2011,13000000,9700000
Kenwyne Jones,Centre-Forward,25,Sunderland,Premier League,Stoke City,Premier League,2010-2011,10000000,9700000
Adriano,Left-Back,25,Sevilla FC,LaLiga,FC Barcelona,LaLiga,2010-2011,20000000,9500000
Salvatore Bocchetti,Centre-Back,23,Genoa,Serie A,Rubin Kazan,Premier Liga,2010-2011,6500000,9500000
Zoran Tosic,Right Winger,23,Man Utd,Premier League,CSKA Moscow,Premier Liga,2010-2011,5500000,9500000
Miguel Veloso,Defensive Midfield,24,Sporting CP,Liga NOS,Genoa,Serie A,2010-2011,11500000,9000000
Mamadou Niang,Centre-Forward,30,Marseille,Ligue 1,Fenerbahce,Süper Lig,2010-2011,11000000,9000000
Obafemi Martins,Centre-Forward,25,VfL Wolfsburg,1.Bundesliga,Rubin Kazan,Premier Liga,2010-2011,10500000,9000000
Bebé,Left Winger,20,Vit. Guimarães,Liga NOS,Man Utd,Premier League,2010-2011,100000,8800000
Sebastián Blanco,Attacking Midfield,22,Lanús,Torneo Final,Metalist,Premier Liga,2010-2011,4000000,8700000
Zvjezdan Misimovic,Attacking Midfield,28,VfL Wolfsburg,1.Bundesliga,Galatasaray,Süper Lig,2010-2011,14500000,8500000
Sergio Floccari,Centre-Forward,28,Genoa,Serie A,Lazio,Serie A,2010-2011,10000000,8500000
Víctor Ruiz,Centre-Back,21,Espanyol,LaLiga,SSC Napoli,Serie A,2010-2011,4000000,8500000
Roberto,Goalkeeper,24,Atlético Madrid,LaLiga,Benfica,Liga NOS,2010-2011,2000000,8500000
Nico Gaitán,Left Winger,22,Boca Juniors,Torneo Final,Benfica,Liga NOS,2010-2011,5000000,8400000
Abdul Kader Keita,Right Winger,28,Galatasaray,Süper Lig,Al Sadd, Qatar,2010-2011,10000000,8150000
André,Centre-Forward,19,Santos FC,Série A,Dynamo Kyiv,Premier Liga,2010-2011,4000000,8100000
Ricardo Carvalho,Centre-Back,32,Chelsea,Premier League,Real Madrid,LaLiga,2010-2011,17500000,8000000
Rafinha,Right-Back,24,FC Schalke 04,1.Bundesliga,Genoa,Serie A,2010-2011,12000000,8000000
Diego Godín,Centre-Back,24,Villarreal CF,LaLiga,Atlético Madrid,LaLiga,2010-2011,12000000,8000000
Oleksandr Aliyev,Attacking Midfield,26,Loko Moscow,Premier Liga,Dynamo Kyiv,Premier Liga,2010-2011,10000000,8000000
Moubarak Boussoufa,Attacking Midfield,26,RSC Anderlecht,Jupiler Pro League,Anzhi,Premier Liga,2010-2011,9000000,8000000
Nicolás Burdisso,Centre-Back,29,Inter,Serie A,AS Roma,Serie A,2010-2011,7000000,8000000
Ismaël Bangoura,Centre-Forward,25,Stade Rennais,Ligue 1,Al-Nasr, United Arab Emirates,2010-2011,6000000,8000000
Chris Smalling,Centre-Back,20,Fulham,Premier League,Man Utd,Premier League,2010-2011,2000000,8000000
Luís Fabiano,Centre-Forward,30,Sevilla FC,LaLiga,São Paulo,Série A,2010-2011,8000000,7600000
Heiko Westermann,Centre-Back,26,FC Schalke 04,1.Bundesliga,Hamburger SV,1.Bundesliga,2010-2011,9000000,7500000
Wesley,Central Midfield,23,Santos FC,Série A,Werder Bremen,1.Bundesliga,2010-2011,6000000,7500000
Chicharito,Centre-Forward,22,Chivas,Liga MX Clausura,Man Utd,Premier League,2010-2011,6000000,7500000
James Rodríguez,Attacking Midfield,18,CA Banfield,Torneo Final,FC Porto,Liga NOS,2010-2011,2500000,7350000
Ricardo Quaresma,Right Winger,26,Inter,Serie A,Besiktas,Süper Lig,2010-2011,12000000,7300000
Eduardo,Centre-Forward,27,Arsenal,Premier League,Shakhtar D.,Premier Liga,2010-2011,10500000,7200000
Steven Fletcher,Centre-Forward,23,Burnley,Championship,Wolves,Premier League,2010-2011,4500000,7200000
Yossi Benayoun,Right Winger,30,Liverpool,Premier League,Chelsea,Premier League,2010-2011,10500000,7000000
Stéphane Sessègnon,Attacking Midfield,26,Paris SG,Ligue 1,Sunderland,Premier League,2010-2011,8500000,7000000
Nikola Zigic,Centre-Forward,29,Valencia CF,LaLiga,Birmingham,Premier League,2010-2011,8000000,7000000
Dieumerci Mbokani,Centre-Forward,24,Standard Liège,Jupiler Pro League,Monaco,Ligue 1,2010-2011,8000000,7000000
Jonathan Biabiany,Right Winger,22,Inter,Serie A,Sampdoria,Serie A,2010-2011,7500000,7000000
Mario Mandzukic,Left Winger,24,Dinamo Zagreb,1.HNL,VfL Wolfsburg,1.Bundesliga,2010-2011,7500000,7000000
Elias,Central Midfield,25,Corinthians,Série A,Atlético Madrid,LaLiga,2010-2011,7000000,7000000
Ryan Babel,Left Winger,24,Liverpool,Premier League,TSG Hoffenheim,1.Bundesliga,2010-2011,6500000,7000000
Blerim Dzemaili,Central Midfield,24,Torino,Serie B,Parma,Serie A,2010-2011,5000000,7000000
Marc Janko,Centre-Forward,27,RB Salzburg,Bundesliga,FC Twente,Eredivisie,2010-2011,4500000,7000000
Aleksandar Lukovic,Centre-Back,27,Udinese Calcio,Serie A,Zenit S-Pb,Premier Liga,2010-2011,3800000,7000000
Luca Antonelli,Left-Back,23,Parma,Serie A,Genoa,Serie A,2010-2011,3500000,7000000
Oleksandr Gladky,Centre-Forward,22,Shakhtar D.,Premier Liga,Dnipro,Premier Liga,2010-2011,3000000,7000000
Ben Foster,Goalkeeper,27,Man Utd,Premier League,Birmingham,Premier League,2010-2011,3000000,7000000
Andrea Rispoli,Right-Back,21,Brescia,Serie A,Parma,Serie A,2010-2011,1500000,7000000
Sébastien Squillaci,Centre-Back,30,Sevilla FC,LaLiga,Arsenal,Premier League,2010-2011,8000000,6500000
Issiar Dia,Right Winger,23,AS Nancy,Ligue 1,Fenerbahce,Süper Lig,2010-2011,6500000,6500000
Tino Costa,Central Midfield,25,Montpellier,Ligue 1,Valencia CF,LaLiga,2010-2011,6400000,6500000
Víctor Montaño,Centre-Forward,26,Montpellier,Ligue 1,Stade Rennais,Ligue 1,2010-2011,4000000,6500000
Mattia Destro,Centre-Forward,19,Inter U19,Primavera B,Genoa,Serie A,2010-2011,1000000,6500000
Felipe,Centre-Back,25,Udinese Calcio,Serie A,Fiorentina,Serie A,2010-2011,6500000,6300000
Taison,Left Winger,22,Internacional,Série A,Metalist,Premier Liga,2010-2011,1200000,6300000
Jean II Makoun,Defensive Midfield,27,Olympique Lyon,Ligue 1,Aston Villa,Premier League,2010-2011,7500000,6200000
Marko Arnautovic,Left Winger,21,FC Twente,Eredivisie,Werder Bremen,1.Bundesliga,2010-2011,6500000,6200000
Albert Riera,Left Winger,28,Liverpool,Premier League,Olympiacos,Super League,2010-2011,14000000,6000000
Alex,Attacking Midfield,29,Spartak Moscow,Premier Liga,Corinthians,Série A,2010-2011,8000000,6000000
Jimmy Briand,Centre-Forward,24,Stade Rennais,Ligue 1,Olympique Lyon,Ligue 1,2010-2011,7800000,6000000
Mousa Dembélé,Central Midfield,23,AZ Alkmaar,Eredivisie,Fulham,Premier League,2010-2011,7500000,6000000
Raffaele Palladino,Left Winger,26,Genoa,Serie A,Parma,Serie A,2010-2011,7000000,6000000
Hatem Ben Arfa,Attacking Midfield,23,Marseille,Ligue 1,Newcastle,Premier League,2010-2011,7000000,6000000
César Azpilicueta,Right-Back,20,CA Osasuna,LaLiga,Marseille,Ligue 1,2010-2011,7000000,6000000
Abdoulay Konko,Right-Back,26,Sevilla FC,LaLiga,Genoa,Serie A,2010-2011,6000000,6000000
Sergio Canales,Attacking Midfield,19,Racing,LaLiga,Real Madrid,LaLiga,2010-2011,6000000,6000000
Walter,Centre-Forward,20,Internacional,Série A,FC Porto,Liga NOS,2010-2011,5000000,6000000
Guilherme,Second Striker,22,Dynamo Kyiv,Premier Liga,Atlético-MG,Série A,2010-2011,4800000,6000000
Lacina Traoré,Centre-Forward,20,CFR Cluj,Liga 1,Kuban Krasnodar,Premier Liga,2010-2011,4000000,6000000
Jorge Valdivia,Attacking Midfield,26,Al-Ain FC, United Arab Emirates,Palmeiras,Série A,2010-2011,3000000,6000000
Tomas Kalas,Centre-Back,17,Sigma Olomouc,HET Liga,Chelsea,Premier League,2010-2011,NA,6000000
Rodrigo,Centre-Forward,19,RM Castilla,2ª B - Grupo I,Benfica,Liga NOS,2010-2011,NA,6000000
Henrikh Mkhitaryan,Attacking Midfield,21,Metalurh D.,Premier Liga,Shakhtar D.,Premier Liga,2010-2011,4000000,5850000
Kevin-Prince Boateng,Central Midfield,23,Portsmouth,Championship,Genoa,Serie A,2010-2011,4000000,5700000
Gojko Kacar,Defensive Midfield,23,Hertha BSC,2.Bundesliga,Hamburger SV,1.Bundesliga,2010-2011,8500000,5500000
Mehmet Topal,Defensive Midfield,24,Galatasaray,Süper Lig,Valencia CF,LaLiga,2010-2011,7500000,5500000
Tiberio Guarente,Central Midfield,24,Atalanta,Serie B,Sevilla FC,LaLiga,2010-2011,5500000,5500000
Miroslav Stoch,Left Winger,20,Chelsea,Premier League,Fenerbahce,Süper Lig,2010-2011,4500000,5500000
Franco Jara,Centre-Forward,21,Arsenal FC,Torneo Final,Benfica,Liga NOS,2010-2011,2200000,5500000
Christian Poulsen,Defensive Midfield,30,Juventus,Serie A,Liverpool,Premier League,2010-2011,5500000,5480000
Samuel Inkoom,Right Winger,21,FC Basel,Super League,Dnipro,Premier Liga,2010-2011,4500000,5300000
Gylfi Sigurdsson,Attacking Midfield,20,Reading,Championship,TSG Hoffenheim,1.Bundesliga,2010-2011,5000000,5200000
Nicola Pozzi,Centre-Forward,24,FC Empoli,Serie B,Sampdoria,Serie A,2010-2011,3000000,5200000
Mauricio Pinilla,Centre-Forward,26,Grosseto,Serie B,US Palermo,Serie A,2010-2011,2500000,5100000
Nenê,Attacking Midfield,29,Monaco,Ligue 1,Paris SG,Ligue 1,2010-2011,10000000,5000000
Patrick Helmes,Centre-Forward,26,Bay. Leverkusen,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2010-2011,8500000,5000000
Mounir El Hamdaoui,Centre-Forward,25,AZ Alkmaar,Eredivisie,AFC Ajax,Eredivisie,2010-2011,7500000,5000000
Senijad Ibricic,Attacking Midfield,25,Hajduk Split,1.HNL,Loko Moscow,Premier Liga,2010-2011,6500000,5000000
Alexis,Centre-Back,25,Valencia CF,LaLiga,Sevilla FC,LaLiga,2010-2011,6000000,5000000
Aristide Bancé,Centre-Forward,25,1.FSV Mainz 05,1.Bundesliga,Al-Ahli (UAE), United Arab Emirates,2010-2011,5500000,5000000
Diego Tardelli,Centre-Forward,25,Atlético-MG,Série A,Anzhi,Premier Liga,2010-2011,4500000,5000000
Bogdan Stancu,Centre-Forward,23,FCS Bucharest,Liga 1,Galatasaray,Süper Lig,2010-2011,3700000,5000000
Razak Boukari,Right Winger,23,Lens,Ligue 1,Stade Rennais,Ligue 1,2010-2011,3600000,5000000
Anders Lindegaard,Goalkeeper,26,Aalesund,Eliteserien,Man Utd,Premier League,2010-2011,3200000,5000000
Chico,Centre-Back,23,UD Almería,LaLiga,Genoa,Serie A,2010-2011,3000000,5000000
Jonathan Cristaldo,Centre-Forward,21,Vélez Sarsfield,Torneo Final,Metalist,Premier Liga,2010-2011,3000000,5000000
Ezequiel Muñoz,Centre-Back,19,Boca Juniors,Torneo Final,US Palermo,Serie A,2010-2011,1500000,5000000
Shamil Lakhiyalov,Second Striker,31,Krasnodar,Premier Liga,Anzhi,Premier Liga,2010-2011,1000000,5000000
Pablo González,Centre-Forward,25,Novara,Serie B,US Palermo,Serie A,2010-2011,400000,5000000
Nikica Jelavic,Centre-Forward,24,Rapid Vienna,Bundesliga,Rangers,Premiership,2010-2011,2500000,4900000
Pablo Barrera,Right Winger,23,UNAM Pumas,Liga MX Clausura,West Ham,Premier League,2010-2011,3500000,4800000
Jean Beausejour,Left-Back,26,América,Liga MX Clausura,Birmingham,Premier League,2010-2011,2500000,4800000
Robert Lewandowski,Centre-Forward,21,Lech Poznan,Ekstraklasa,Bor. Dortmund,1.Bundesliga,2010-2011,4500000,4750000
Guido Marilungo,Second Striker,21,Sampdoria,Serie A,Atalanta,Serie B,2010-2011,4000000,4700000
Daniel Osvaldo,Centre-Forward,24,Bologna,Serie A,Espanyol,LaLiga,2010-2011,4000000,4600000
Lorik Cana,Centre-Back,26,Sunderland,Premier League,Galatasaray,Süper Lig,2010-2011,12000000,4500000
Gaetano D'Agostino,Central Midfield,28,Udinese Calcio,Serie A,Fiorentina,Serie A,2010-2011,10000000,4500000
Zvjezdan Misimovic,Attacking Midfield,28,Galatasaray,Süper Lig,Dinamo Moscow,Premier Liga,2010-2011,9000000,4500000
Barreto,Second Striker,24,Udinese Calcio,Serie A,Bari,Serie A,2010-2011,8000000,4500000
Eduardo,Goalkeeper,27,Braga,Liga NOS,Genoa,Serie A,2010-2011,7800000,4500000
Tuncay Sanli,Left Winger,29,Stoke City,Premier League,VfL Wolfsburg,1.Bundesliga,2010-2011,6500000,4500000
Fahid Ben Khalfallah,Right Winger,27,Valenciennes FC,Ligue 1,G. Bordeaux,Ligue 1,2010-2011,5000000,4500000
Sokratis,Centre-Back,22,Genoa,Serie A,AC Milan,Serie A,2010-2011,5000000,4500000
Marco Storari,Goalkeeper,33,AC Milan,Serie A,Juventus,Serie A,2010-2011,1500000,4500000
Jardel,Centre-Back,24,Desp. Brasil, Brazil,Benfica,Liga NOS,2010-2011,200000,4480000
Massimo Maccarone,Centre-Forward,30,Siena,Serie B,US Palermo,Serie A,2010-2011,4500000,4400000
Alberto Paloschi,Centre-Forward,21,Genoa,Serie A,AC Milan,Serie A,2010-2011,4800000,4350000
Aritz Aduriz,Centre-Forward,29,RCD Mallorca,LaLiga,Valencia CF,LaLiga,2010-2011,7000000,4300000
Adriano,Centre-Forward,29,Gamba Osaka,J1 League,El-Jaish, Qatar,2010-2011,1000000,4300000
Cheik Tioté,Defensive Midfield,24,FC Twente,Eredivisie,Newcastle,Premier League,2010-2011,3500000,4280000
Juanfran,Right-Back,25,CA Osasuna,LaLiga,Atlético Madrid,LaLiga,2010-2011,6000000,4250000
Juan Iturbe,Right Winger,17,Quilmes,Torneo Final,FC Porto,Liga NOS,2010-2011,100000,4250000
Jonathan Biabiany,Right Winger,22,Parma,Serie A,Inter,Serie A,2010-2011,7500000,4200000
Jajá,Centre-Forward,24,Metalist,Premier Liga,Trabzonspor,Süper Lig,2010-2011,6000000,4200000
Nadir Belhadj,Left-Back,28,Portsmouth,Championship,Al Sadd, Qatar,2010-2011,5500000,4200000
Éder,Second Striker,23,FC Empoli,Serie B,Brescia,Serie A,2010-2011,3000000,4200000
Winston Reid,Centre-Back,22,FC Midtjylland,Superligaen,West Ham,Premier League,2010-2011,1500000,4200000
Federico Rodríguez,Centre-Forward,19,Peñarol,Primera División,Genoa,Serie A,2010-2011,300000,4200000
Rod Fanni,Right-Back,29,Stade Rennais,Ligue 1,Marseille,Ligue 1,2010-2011,7500000,4000000
Mario Bolatti,Defensive Midfield,25,Fiorentina,Serie A,Internacional,Série A,2010-2011,5500000,4000000
Onyekachi Apam,Centre-Back,23,OGC Nice,Ligue 1,Stade Rennais,Ligue 1,2010-2011,5000000,4000000
Dmitri Kombarov,Left-Back,23,Dinamo Moscow,Premier Liga,Spartak Moscow,Premier Liga,2010-2011,5000000,4000000
Nicolás Otamendi,Centre-Back,22,Vélez Sarsfield,Torneo Final,FC Porto,Liga NOS,2010-2011,5000000,4000000
Igor de Camargo,Centre-Forward,27,Standard Liège,Jupiler Pro League,Bor. M'gladbach,1.Bundesliga,2010-2011,4500000,4000000
Kirill Kombarov,Right-Back,23,Dinamo Moscow,Premier Liga,Spartak Moscow,Premier Liga,2010-2011,4500000,4000000
Maicosuel,Left Winger,24,TSG Hoffenheim,1.Bundesliga,Botafogo,Série A,2010-2011,4500000,4000000
Curtis Davies,Centre-Back,25,Aston Villa,Premier League,Birmingham,Premier League,2010-2011,4500000,4000000
Mémé Tchité,Centre-Forward,26,Racing,LaLiga,Standard Liège,Jupiler Pro League,2010-2011,4000000,4000000
Paul Konchesky,Left-Back,29,Fulham,Premier League,Liverpool,Premier League,2010-2011,3500000,4000000
Ronnie Stam,Right-Back,26,FC Twente,Eredivisie,Wigan,Premier League,2010-2011,3500000,4000000
Cléo,Centre-Forward,25,Partizan,SuperLiga,GZ Evergrande,Super League,2010-2011,3500000,4000000
Mauro Formica,Attacking Midfield,22,Newell's,Torneo Final,Blackburn,Premier League,2010-2011,3500000,4000000
Alessio Cerci,Right Winger,23,AS Roma,Serie A,Fiorentina,Serie A,2010-2011,3500000,4000000
Ivan Strinic,Left-Back,23,Hajduk Split,1.HNL,Dnipro,Premier Liga,2010-2011,3000000,4000000
Wilfried Bony,Centre-Forward,22,Sparta Praha,HET Liga,Vitesse,Eredivisie,2010-2011,2500000,4000000
Juraj Kucka,Central Midfield,23,Sparta Praha,HET Liga,Genoa,Serie A,2010-2011,2300000,4000000
Sebastian Rudy,Defensive Midfield,20,VfB Stuttgart,1.Bundesliga,TSG Hoffenheim,1.Bundesliga,2010-2011,1500000,4000000
Dídac Vilà,Left-Back,21,Espanyol,LaLiga,AC Milan,Serie A,2010-2011,800000,4000000
Wellington Silva,Right Winger,18,Fluminense,Série A,Arsenal,Premier League,2010-2011,800000,4000000
Marco Fossati,Central Midfield,17,Inter U19,Primavera B,Milan U19,Primavera B,2010-2011,300000,4000000
Alípio,Centre-Forward,18,R. Madrid Youth, Spain,Benfica U19, Portugal,2010-2011,NA,4000000
Roberto Firmino,Second Striker,19,Tombense, Brazil,TSG Hoffenheim,1.Bundesliga,2010-2011,NA,4000000
Cristian Molinaro,Left-Back,26,Juventus,Serie A,VfB Stuttgart,1.Bundesliga,2010-2011,5000000,3900000
Damián Álvarez,Left Winger,32,CF Pachuca,Liga MX Clausura,Tigres UANL,Liga MX Clausura,2010-2011,2300000,3900000
Marcelo,Centre-Back,23,Wisla Kraków,Ekstraklasa,PSV Eindhoven,Eredivisie,2010-2011,3200000,3800000
Marek Suchy,Centre-Back,22,Slavia Prag,HET Liga,Spartak Moscow,Premier Liga,2010-2011,2500000,3800000
Lorenzo Ariaudo,Centre-Back,21,Juventus,Serie A,Cagliari Calcio,Serie A,2010-2011,1300000,3800000
Matteo Ardemagni,Centre-Forward,23,Cittadella,Serie B,Atalanta,Serie B,2010-2011,1100000,3800000
Yekta Kurtulus,Central Midfield,25,Kasimpasa,Süper Lig,Galatasaray,Süper Lig,2010-2011,3000000,3750000
Mauro Boselli,Centre-Forward,25,Estudiantes,Torneo Final,Wigan,Premier League,2010-2011,7500000,3700000
Steven Pienaar,Left Winger,28,Everton,Premier League,Spurs,Premier League,2010-2011,9500000,3600000
Stephen Hunt,Left Midfield,28,Hull City,Championship,Wolves,Premier League,2010-2011,5000000,3600000
Cleiton Xavier,Attacking Midfield,27,Desp. Brasil, Brazil,Metalist,Premier Liga,2010-2011,4000000,3600000
Facundo Bertoglio,Attacking Midfield,20,Colón,Torneo Final,Dynamo Kyiv,Premier Liga,2010-2011,4000000,3600000
Sebastián Fernández,Second Striker,25,CA Banfield,Torneo Final,Málaga CF,LaLiga,2010-2011,2500000,3600000
Marc Wilson,Centre-Back,23,Portsmouth,Championship,Stoke City,Premier League,2010-2011,2500000,3600000
Wagner,Attacking Midfield,25,Loko Moscow,Premier Liga,Gaziantepspor,Süper Lig,2010-2011,2000000,3600000
Martyn Waghorn,Centre-Forward,20,Sunderland,Premier League,Leicester,Championship,2010-2011,900000,3600000
Danilinho,Right Winger,23,Chiapas FC,Liga MX Clausura,Tigres UANL,Liga MX Clausura,2010-2011,5000000,3500000
Jelle Van Damme,Left-Back,27,Wolves,Premier League,Standard Liège,Jupiler Pro League,2010-2011,4500000,3500000
Jeremain Lens,Right Winger,22,AZ Alkmaar,Eredivisie,PSV Eindhoven,Eredivisie,2010-2011,4500000,3500000
Bakari Koné,Right Winger,28,Marseille,Ligue 1,Al Duhail, Qatar,2010-2011,4000000,3500000
Nelson Valdez,Centre-Forward,26,Bor. Dortmund,1.Bundesliga,Hércules CF,LaLiga,2010-2011,4000000,3500000
Emir Bajrami,Right Winger,22,Elfsborg,Allsvenskan,FC Twente,Eredivisie,2010-2011,3000000,3500000
Georg Niedermeier,Centre-Back,24,FC Bayern II,3.Liga,VfB Stuttgart,1.Bundesliga,2010-2011,3000000,3500000
Arouca,Defensive Midfield,23,São Paulo,Série A,Santos FC,Série A,2010-2011,2500000,3500000
Anthony Modeste,Centre-Forward,22,OGC Nice,Ligue 1,G. Bordeaux,Ligue 1,2010-2011,2300000,3500000
Ismael Sosa,Right Winger,23,Independiente,Torneo Final,Gaziantepspor,Süper Lig,2010-2011,1800000,3500000
Neto,Goalkeeper,21,Atlético-PR,Série A,Fiorentina,Serie A,2010-2011,1800000,3500000
Alan,Centre-Forward,21,Desp. Brasil, Brazil,RB Salzburg,Bundesliga,2010-2011,1500000,3500000
José Salomón Rondón,Centre-Forward,20,UD Las Palmas,LaLiga2,Málaga CF,LaLiga,2010-2011,1000000,3500000
Edinho,Defensive Midfield,27,Palmeiras,Série A,Fluminense,Série A,2010-2011,2500000,3400000
Marco Torsiglieri,Centre-Back,22,Vélez Sarsfield,Torneo Final,Sporting CP,Liga NOS,2010-2011,700000,3400000
Gastón Ramírez,Attacking Midfield,19,Peñarol,Primera División,Bologna,Serie A,2010-2011,700000,3360000
Jaime Valdés,Central Midfield,29,Atalanta,Serie B,Sporting CP,Liga NOS,2010-2011,4000000,3300000
Jonathan Walters,Right Winger,26,Ipswich,Championship,Stoke City,Premier League,2010-2011,1750000,3300000
Jelle Van Damme,Left-Back,26,RSC Anderlecht,Jupiler Pro League,Wolves,Premier League,2010-2011,4500000,3250000
