Movie,Release Year,Revenue ($),region,type
Saving Private Ryan,1998,479300000,,
Sherlock Holmes: A Game of Shadows,2011,476211057,,
Charlie and the Chocolate Factory,2005,471856431,,
Jaws,1975,470600000,,
Pretty Woman,1990,463400000,,
The Hangover,2009,461613371,,
Bruce Almighty,2003,458900000,,
The Matrix,1999,456300000,,
Gladiator,2000,456200000,,
X-Men: The Last Stand,2006,455260014,,
Shrek,2001,455100000,,
Cars,2006,454752771,,
National Treasure: Book of Secrets,2007,453961501,,
Mission: Impossible,1996,452500000,,
Pearl Harbor,2001,450400000,,
Thor,2011,446015141,,
Ocean's Eleven,2001,444200000,,
Alvin and the Chipmunks: The Squeakquel,2009,441613391,,
The Bourne Ultimatum,2007,440725045,,
The Last Samurai,2003,435400000,,
Tarzan,1999,435200000,,
Meet the Fockers,2004,432667575,,
Mr. & Mrs. Smith,2005,427936103,,
Men in Black II,2002,425600000,,
Die Another Day,2002,424700000,,
Dances with Wolves,1990,424200000,,
The Matrix Revolutions,2003,424000000,,
Cast Away,2000,424000000,,
Mrs. Doubtfire,1993,423200000,,
The Chronicles of Narnia: Prince Caspian,2008,418814023,,
The Mummy Returns,2001,418700000,,
Terminator 3: Rise of the Machines,2003,418200000,,
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,416283624,,
Night at the Museum: Battle of the Smithsonian,2009,414643721,,
The Mummy,1999,413300000,,
Batman,1989,413200000,,
The Bodyguard,1992,410900000,,
Signs,2002,407900000,,
Madagascar,2005,406800000,,
X2,2003,406400000,,
Sex and the City,2008,400637269,,
TRON: Legacy,2010,396951787,,
Mission: Impossible III,2006,395382309,,
Gone with the Wind,1939,390500000,,
Robin Hood: Prince of Thieves,1991,390500000,,
Superman Returns,2006,389569408,,
The Mummy: Tomb of the Dragon Emperor,2008,388876165,,
The King's Speech,2010,386195342,,
Raiders of the Lost Ark,1981,383900000,,
Star Trek,2009,382704099,,
Grease,1978,379800000,,
Happy Feet,2006,378992827,,
Beauty and the Beast,1991,378300000,,
Ice Age,2002,378300000,,
Live Free or Die Hard,2007,377520804,,
Godzilla,1998,375800000,,
X-Men Origins: Wolverine,2009,374883016,,
Monsters vs Aliens,2009,373632128,,
Click,2006,373040146,,
Terminator Salvation,2009,372120003,,
What Women Want,2000,370800000,,
The Fugitive,1993,368700000,,
Hitch,2005,367600000,,
Captain America: The First Avenger,2011,366136816,,
The Adventures of Tintin,2011,366068277,,
True Lies,1994,365200000,,
Die Hard: With a Vengeance,1995,365000000,,
The Golden Compass,2007,364083519,,
Notting Hill,1999,363000000,,
Jurassic Park III,2001,362900000,,
Slumdog Millionaire,2008,362319195,,
Fast & Furious,2009,360322220,,
There's Something About Mary,1998,360000000,,
Planet of the Apes,2001,358900000,,
The Flintstones,1994,358500000,,
Toy Story,1995,358100000,,
Minority Report,2002,358000000,,
A Bug's Life,1998,357900000,,
Alvin and the Chipmunks,2007,357526336,,
The Exorcist,1973,357500000,,
My Big Fat Greek Wedding,2002,356500000,,
Rain Man,1988,354825435,,
X-Men: First Class,2011,352905371,,
Basic Instinct,1992,352700000,,
The World Is Not Enough,1999,352000000,,
Batman Begins,2005,352000000,,
GoldenEye,1995,351500000,,
Twilight,2008,351449475,,
Ocean's Twelve,2004,351331634,,
Back to the Future,1985,350600000,,
Se7en,1995,350100000,,
Who Framed Roger Rabbit,1988,349200000,,
Hannibal,2001,349200000,,
Deep Impact,1998,348600000,,
Dinosaur,2000,347800000,,
Pocahontas,1995,347100000,,
Tomorrow Never Dies,1997,346600000,,
Top Gun,1986,344800000,,
The Karate Kid,2010,343191618,,
"I, Robot",2004,342795350,,
How the Grinch Stole Christmas,2000,340400000,,
Enchanted,2007,339906877,,
Wanted,2008,338794280,,
National Treasure,2004,337605002,,
Catch Me If You Can,2002,337400000,,
American Beauty,1999,336000000,,
Batman Forever,1995,335000000,,
Apollo 13,1995,334100000,,
Indiana Jones and the Temple of Doom,1984,333000000,,
Back to the Future Part II,1989,332000000,,
The Rock,1996,330500000,,
Over the Hedge,2006,329619340,,
Fantastic Four,2005,329295569,,
Rush Hour 2,2001,329100000,,
The Curious Case of Benjamin Button,2008,328890802,,
Black Swan,2010,328152327,,
'Crocodile' Dundee,1986,328000000,,
Prince of Persia: The Sands of Time,2010,327155643,,
The Perfect Storm,2000,327000000,,
The Hunchback of Notre Dame,1996,325500000,,
The Devil Wears Prada,2006,324432962,,
A Christmas Carol,2009,323550096,,
Robin Hood,2010,321619735,,
Schindler's List,1993,321200000,,
The Mask,1994,320900000,,
Inglourious Basterds,2009,320623073,,
Fatal Attraction,1987,320100000,,
Lethal Weapon 3,1992,319700000,,
Megamind,2010,319437537,,
The Last Airbender,2010,317064731,,
Beverly Hills Cop,1984,316400000,,
Air Force One,1997,315000000,,
The Proposal,2009,314647053,,
As Good as It Gets,1997,313300000,,
A Beautiful Mind,2001,312100000,,
Ocean's Thirteen,2007,311144465,,
Austin Powers: The Spy Who Shagged Me,1999,309600000,,
Little Fockers,2010,309383780,,
Ransom,1996,308700000,,
Alvin and the Chipmunks: Chipwrecked,2011,308641507,,
Runaway Bride,1999,307900000,,
Chicago,2002,306400000,,
Liar Liar,1997,306300000,,
Shark Tale,2004,306162022,,
Bolt,2008,305653579,,
101 Dalmatians,1996,304200000,,
Mulan,1998,303500000,,
G.I. Joe: The Rise of Cobra,2009,300867630,,
Hook,1991,300800000,,
Rocky IV,1985,300400000,,
Rambo: First Blood Part II,1985,300400000,,
Beverly Hills Cop II,1987,300000000,,
Close Encounters of the Third Kind,1977,300000000,,
Chicken Little,2005,298181507,,
The Pursuit of Happyness,2006,297986036,,
Stuart Little,1999,297600000,,
Look Who's Talking,1989,297100000,,
Resident Evil: Afterlife,2010,296221566,,
Meet the Parents,2000,295500000,,
Horton Hears a Who!,2008,295429187,,
The Blind Side,2009,294850375,,
Shutter Island,2010,294468405,,
X-Men,2000,294100000,,
Real Steel,2011,292771428,,
Ghostbusters,1984,291600000,,
Salt,2010,291511368,,
Doctor Dolittle,1998,290100000,,
Superman,1978,289400000,,
The Departed,2006,289373442,,
Shakespeare in Love,1998,289100000,,
Austin Powers in Goldmember,2002,289000000,,
Coming to America,1988,288800000,,
Bridesmaids,2011,287276745,,
My Best Friend's Wedding,1997,286900000,,
G-Force,2009,285020252,,
Lethal Weapon 4,1998,284700000,,
Speed,1994,283200000,,
Bee Movie,2007,283197121,,
Batman Returns,1992,282800000,,
Wedding Crashers,2005,282718368,,
Casper,1995,282300000,,
Sex and the City 2,2010,280328937,,
Home Alone 2: Lost in New York,1992,279600000,,
The Tourist,2010,278331157,,
The Polar Express,2004,277810096,,
Fantastic 4: Rise of the Silver Surfer,2007,277520333,,
American Pie 2,2001,276400000,,
What Lies Beneath,2000,275500000,,
Van Helsing,2004,275025245,,
Jerry Maguire,1996,273600000,,
The Silence of the Lambs,1991,272700000,,
The Bourne Supremacy,2004,272549130,,
The Nutty Professor,1996,269300000,,
"10,000 BC",2008,269070548,,
The Green Mile,1999,268700000,,
Bambi,1942,268000000,,
Scooby-Doo,2002,267600000,,
Grown Ups,2010,267501186,,
xXx,2002,267200000,,
Indecent Proposal,1993,266600000,,
American Gangster,2007,264627620,,
Jumanji,1995,264600000,,
The Fifth Element,1997,263600000,,
Lilo & Stitch,2002,262700000,,
The Firm,1993,262300000,,
Gran Torino,2008,262185755,,
Bad Boys II,2003,261900000,,
Knight and Day,2010,261618654,,
Total Recall,1990,261400000,,
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,260405958,,
Scary Movie,2000,259900000,,
Spirited Away,2001,259200000,,
Super 8,2011,259186169,,
Charlie's Angels,2000,258500000,,
The Full Monty,1997,256900000,,
Erin Brockovich,2000,256500000,,
The Village,2004,255395633,,
Waterworld,1995,255200000,,
Cliffhanger,1993,255000000,,
Bridget Jones's Diary,2001,254400000,,
The Incredible Hulk,2008,254218390,,
Charlie's Angels: Full Throttle,2003,252500000,,
This Is It,2009,251844424,,
Lara Croft: Tomb Raider,2001,251600000,,
You've Got Mail,1998,250700000,,
Hercules,1997,250600000,,
High School Musical 3: Senior Year,2008,250356401,,
The Truman Show,1998,249200000,,
Babe,1995,249000000,,
Unbreakable,2000,248900000,,
The Princess and the Frog,2009,247374107,,
True Grit,2010,247131347,,
Dumb & Dumber,1994,246200000,,
Robots,2005,245600000,,
Eragon,2006,245230163,,
Rush Hour,1998,245200000,,
Enemy of the State,1998,245100000,,
The Godfather,1972,244900000,,
Four Weddings and a Funeral,1994,244100000,,
Back to the Future Part III,1990,243700000,,
Wild Hogs,2007,243213584,,
Marley & Me,2008,242751473,,
8 Mile,2002,242300000,,
Hulk,2003,241700000,,
Face/Off,1997,241600000,,
Rango,2011,240707194,,
The Blair Witch Project,1999,240500000,,
Crocodile Dundee II,1988,239600000,,
Out of Africa,1985,239500000,,
Cloudy with a Chance of Meatballs,2009,239470275,,
Love Actually,2003,239200000,,
Gulliver's Travels,2010,238276259,,
Die Hard 2,1990,237700000,,
A Few Good Men,1992,237300000,,
Batman & Robin,1997,237200000,,
Saturday Night Fever,1977,237113184,,
Dead Poets Society,1989,235900000,,
2 Fast 2 Furious,2003,234400000,,
Eraser,1996,234400000,,
Big Daddy,1999,233500000,,
The Mask of Zorro,1998,233400000,,
Bean,1997,232000000,,
Howl's Moving Castle,2004,231710455,,
The English Patient,1996,231700000,,
Sister Act,1992,231600000,,
Journey to the Center of the Earth,2008,230702060,,
American Wedding,2003,230700000,,
Get Smart,2008,230513314,,
Gone in Sixty Seconds,2000,230500000,,
The Day the Earth Stood Still,2008,230363785,,
The Ring,2002,230100000,,
A.I. Artificial Intelligence,2001,230000000,,
Constantine,2005,229500000,,
Life Is Beautiful,1997,228900000,,
Bridget Jones: The Edge of Reason,2004,228203020,,
Sleepless in Seattle,1993,227900000,,
Something's Gotta Give,2003,227500000,,
Lethal Weapon 2,1989,227300000,,
Percy Jackson & the Olympians: The Lightning Thief,2010,227261720,,
The Green Hornet,2011,227180042,,
Juno,2007,226992840,,
Brother Bear,2003,226029248,,
Yes Man,2008,225980195,,
Good Will Hunting,1997,225800000,,
Space Jam,1996,225400000,,
Rocky,1976,225000000,,
101 Dalmatians,1961,224000000,,
The Expendables,2010,223981571,,
Taken,2008,223882658,,
Con Air,1997,223100000,,
"Honey, I Shrunk the Kids",1989,222700000,,
The Little Mermaid,1989,222300000,,
Jumper,2008,221970146,,
Mr. Bean's Holiday,2007,221953210,,
It's Complicated,2009,221703470,,
Presumed Innocent,1990,221300000,,
Interview with the Vampire: The Vampire Chronicles,1994,221300000,,
Fahrenheit 9/11,2004,220078393,,
Green Lantern,2011,219843191,,
Ghost Rider,2007,219702596,,
Elf,2003,219700000,,
Knocked Up,2007,218734225,,
The Prince of Egypt,1998,218400000,,
Flightplan,2005,218306988,,
What Happens in Vegas,2008,218276912,,
Bedtime Stories,2008,217993847,,
The Terminal,2004,217845279,,
Wild Wild West,1999,217700000,,
Twins,1988,216600000,,
Immortals,2011,215994462,,
Ghostbusters II,1989,215400000,,
The Patriot,2000,215300000,,
The Sorcerer's Apprentice,2010,215143812,,
Valentine's Day,2010,214976776,,
Public Enemies,2009,214830725,,
Bad Teacher,2011,214761856,,
Just Go with It,2011,214728109,,
The Social Network,2010,214517897,,
Dirty Dancing,1987,213892689,,
The Bourne Identity,2002,213500000,,
Pulp Fiction,1994,212900000,,
Ace Ventura: When Nature Calls,1995,212300000,,
Vertical Limit,2000,212300000,,
Disclosure,1994,212000000,,
Entrapment,1999,211700000,,
Battle Los Angeles,2011,211443429,,
Master and Commander: The Far Side of the World,2003,210326386,,
The Others,2001,209700000,,
Horrible Bosses,2011,209628646,,
End of Days,1999,209300000,,
"Crouching Tiger, Hidden Dragon",2000,209000000,,
Jaws 2,1978,208900000,,
Red Dragon,2002,208600000,,
Kingdom of Heaven,2005,208300000,,
Collateral,2004,208003492,,
Australia,2008,207551662,,
Clear and Present Danger,1994,207500000,,
Million Dollar Baby,2004,207400000,,
The Fast and the Furious,2001,207283925,,
Miss Congeniality,2000,207000000,,
The Jungle Book,1967,205800000,,
JFK,1991,205400000,,
Traffic,2000,204800000,,
The Help,2011,204213398,,
Braveheart,1995,204000000,,
The Ugly Truth,2009,203115214,,
Moonraker,1979,202700000,,
The Break-Up,2006,202483135,,
Eat Pray Love,2010,202301280,,
Sleepy Hollow,1999,202000000,,
Kindergarten Cop,1990,202000000,,
Teenage Mutant Ninja Turtles,1990,201900000,,
American Pie,1999,201700000,,
Yogi Bear,2010,201584141,,
Philadelphia,1993,201300000,,
Vanilla Sky,2001,201000000,,
Paranormal Activity 3,2011,200907828,,
You Don't Mess with the Zohan,2008,200818837,,
Valkyrie,2008,200276421,,
District 9,2009,200146235,,
