Rank,name,Building/City,Country/Region,Year,Stories,Meters,Feet,
90,Al Kazim Tower 1, Dubai, U.A.E,2008,53,265,871,
91,Al Kazim Tower 2, Dubai, U.A.E,2008,53,265,871,
92,BOCOM Financial Towers, Shanghai,1999,52,265,869,,
93,120 Collins Street, Melbourne,1991,52,265,869,,
94,Triumph Palace, Moscow,2005,57,264,866,,
95,Tower Palace Three, Tower G, Seoul,2004,73,264,865,
96,Trump World Tower, New York,2001,72,262,861,,
97,Shenzhen Special Zone Daily Tower, Shenzhen, China,1998,48,262,860,
98,Water Tower Place, Chicago,1976,74,262,859,,
99,Grand Gateway Plaza I, Shanghai,2005,52,262,859,,
