NAME,REGION,DISTRICT,OWNERSHIP,LATITUDE,LONGITUDE,PASS_RATE,AVG_MARK,CHANGE_PREVIOUS_YEAR,RANK,YEAR_OF_RESULT
 SAINT GASPAR PR. SCHOOL, DODOMA, DODOMA(M), PRIVATE,-6.10373,35.7904,100,209.13,57.24,91,2016
 KICHONDA PR. SCHOOL, LINDI, LIWALE, GOVN,-9.70031,38.0144,100,208.81,7.43,93,2016
 JKIBIRA ENG MEDIUM PR. SCHOOL, KAGERA, MISSENYI, PRIVATE,-1.09554,31.7359,100,208.71,-2.6,94,2016
 COSTIGAN PR. SCHOOL, ARUSHA, KARATU, PRIVATE,-3.55087,35.4294,100,208.54,-3.35,96,2016
 RIGHTWAY PR. SCHOOL, DAR ES SALAAM, KINONDONI(V), PRIVATE,-6.71826,39.214,100,208.5,20.24,97,2016
 KADAMA ENGLISH MEDIUM PR. SCHOOL, GEITA, CHATO, PRIVATE,-2.95971,31.889,100,208.37,-7.43,99,2016
 GITI ENGLISH MEDIUM PR. SCHOOL, KILIMANJARO, SAME, PRIVATE,-4.40265,38.0139,100,208.31,48.54,101,2016
 ANAZAK PR. SCHOOL, DAR ES SALAAM, KINONDONI(V), PRIVATE,-6.78395,39.1353,100,208.14,-1.63,102,2016
 KARUME PR. SCHOOL, KAGERA, BUKOBA MANISPAA, PRIVATE,-1.31455,31.8042,100,208.14,-28.11,103,2016
 TWIBHOKI PR. SCHOOL, MARA, SERENGETI, PRIVATE,-1.86905,34.6774,100,208.07,-28.89,104,2016
 FOUNTAIN GATE ACADEMY PR. SCHOOL, DAR ES SALAAM, ILALA(M), PRIVATE,-6.93074,39.1484,100,207.96,-10.49,105,2016
 PAROMA PR. SCHOOL, MARA, MUSOMA(M), PRIVATE,-1.53382,33.8541,100,207.51,1.33,106,2016
 LWAMGIRA ENGLISH MEDIUM PR. SCHOOL, KAGERA, MISSENYI, PRIVATE,-1.13967,31.4087,100,207.44,15.08,107,2016
 CENTRAL BUHONGWA ENGLISH MEDIUM, MWANZA, MWANZA JIJI, PRIVATE,-2.58519,32.9425,100,207.38,9,108,2016
 NOBLE BRIDGE PR. SCHOOL, GEITA, GEITA MJI, PRIVATE,-2.86507,32.1735,100,207.15,7.24,109,2016
 NKINGA ENGLISH MEDIUM PR. SCHOOL, TABORA, IGUNGA, PRIVATE,-4.34142,33.6872,100,206.74,5.35,111,2016
 GREEN VALLEY PR. SCHOOL, ARUSHA, ARUSHA(M), PRIVATE,-3.40219,36.6638,100,206.63,1.95,112,2016
 AMANI PR. SCHOOL, ARUSHA, MERU, PRIVATE,-3.33264,36.9003,100,206.5,15.61,113,2016
 NDC-NARCO PR. SCHOOL, DODOMA, KONGWA, GOVN,-6.04134,36.4984,100,206.42,-1.28,114,2016
 SIPTO PR. SCHOOL, IRINGA, IRINGA(M), PRIVATE,-7.72523,35.6909,100,206.42,5.42,115,2016
 HERITAGE PR. SCHOOL, DAR ES SALAAM, ILALA(M), PRIVATE,-6.8766,39.1845,100,206.41,-2.39,116,2016
 YAKINI PR. SCHOOL, ARUSHA, ARUSHA, PRIVATE,-3.37983,36.5241,100,206.19,-1.84,117,2016
 MOUNT MORIAH PR. SCHOOL, DAR ES SALAAM, KINONDONI(V), PRIVATE,-6.72625,39.1409,100,206.05,-3.2,120,2016
 GENIUS KINGS' ENGLISH MEDIUM PR. SCHOOL, DAR ES SALAAM, ILALA(M), PRIVATE,-6.83626,39.1704,100,206.03,-0.37,121,2016
 KINGS PR. SCHOOL, DAR ES SALAAM, KINONDONI(V), PRIVATE,-6.72625,39.1409,100,206,7.72,123,2016
 LAKE VIEW PR. SCHOOL, MWANZA, ILEMELA, PRIVATE,-2.45482,32.9793,100,206,-2.06,124,2016
 GOOD HOPE PR. SCHOOL, ARUSHA, ARUSHA(M), PRIVATE,-3.43315,36.6737,100,205.8,22.28,125,2016
 MWANHEGELE PR. SCHOOL, SIMIYU, MASWA, GOVN,-2.97694,33.5326,100,205.65,9.93,127,2016
 KWEMA PR. SCHOOL, SHINYANGA, KAHAMA MJI, PRIVATE,-3.83416,32.6121,100,205.59,5.33,128,2016
 MINGAS PR. SCHOOL, SHINYANGA, KAHAMA MJI, PRIVATE,-3.84126,32.5965,100,205.58,1.98,129,2016
