country,year,sex,age,suicides_no,population,suicides/100k pop,gdp_for_year ($),gdp_per_capita ($)
Albania,1994,female,5-14 years,0,344400,0,"1,985,673,798",697
Albania,1995,male,25-34 years,13,232900,5.58,"2,424,499,009",835
Albania,1995,male,55-74 years,9,178000,5.06,"2,424,499,009",835
Albania,1995,female,75+ years,2,40800,4.9,"2,424,499,009",835
Albania,1995,female,15-24 years,13,283500,4.59,"2,424,499,009",835
Albania,1995,male,15-24 years,11,241200,4.56,"2,424,499,009",835
Albania,1995,male,75+ years,1,25100,3.98,"2,424,499,009",835
Albania,1995,male,35-54 years,14,375900,3.72,"2,424,499,009",835
Albania,1995,female,25-34 years,7,264000,2.65,"2,424,499,009",835
Albania,1995,female,35-54 years,8,356400,2.24,"2,424,499,009",835
Albania,1995,male,5-14 years,6,376500,1.59,"2,424,499,009",835
Albania,1995,female,55-74 years,2,180400,1.11,"2,424,499,009",835
Albania,1995,female,5-14 years,2,348700,0.57,"2,424,499,009",835
Albania,1996,male,75+ years,2,25400,7.87,"3,314,898,292",1127
Albania,1996,male,15-24 years,17,243600,6.98,"3,314,898,292",1127
Albania,1996,male,25-34 years,14,235300,5.95,"3,314,898,292",1127
Albania,1996,female,15-24 years,16,287700,5.56,"3,314,898,292",1127
Albania,1996,female,75+ years,2,41200,4.85,"3,314,898,292",1127
Albania,1996,female,25-34 years,10,267900,3.73,"3,314,898,292",1127
Albania,1996,male,35-54 years,12,379600,3.16,"3,314,898,292",1127
Albania,1996,female,35-54 years,9,362000,2.49,"3,314,898,292",1127
Albania,1996,male,55-74 years,3,179900,1.67,"3,314,898,292",1127
Albania,1996,female,55-74 years,1,183100,0.55,"3,314,898,292",1127
Albania,1996,male,5-14 years,2,380400,0.53,"3,314,898,292",1127
Albania,1996,female,5-14 years,1,354100,0.28,"3,314,898,292",1127
Albania,1997,male,25-34 years,36,236000,15.25,"2,359,903,108",793
Albania,1997,male,15-24 years,33,244400,13.5,"2,359,903,108",793
Albania,1997,male,75+ years,3,25400,11.81,"2,359,903,108",793
Albania,1997,male,35-54 years,30,380800,7.88,"2,359,903,108",793
Albania,1997,female,15-24 years,21,294000,7.14,"2,359,903,108",793
Albania,1997,male,55-74 years,12,180300,6.66,"2,359,903,108",793
Albania,1997,female,25-34 years,16,273900,5.84,"2,359,903,108",793
Albania,1997,female,75+ years,2,42100,4.75,"2,359,903,108",793
Albania,1997,female,35-54 years,7,370100,1.89,"2,359,903,108",793
Albania,1997,female,5-14 years,6,361800,1.66,"2,359,903,108",793
Albania,1997,male,5-14 years,4,381500,1.05,"2,359,903,108",793
Albania,1997,female,55-74 years,0,187000,0,"2,359,903,108",793
Albania,1998,male,75+ years,3,25800,11.63,"2,707,123,772",899
Albania,1998,male,15-24 years,27,248800,10.85,"2,707,123,772",899
Albania,1998,female,15-24 years,32,295600,10.83,"2,707,123,772",899
Albania,1998,male,25-34 years,26,240400,10.82,"2,707,123,772",899
Albania,1998,male,35-54 years,29,388200,7.47,"2,707,123,772",899
Albania,1998,male,55-74 years,9,183800,4.9,"2,707,123,772",899
Albania,1998,female,25-34 years,10,275300,3.63,"2,707,123,772",899
Albania,1998,female,55-74 years,6,188200,3.19,"2,707,123,772",899
Albania,1998,female,35-54 years,9,372100,2.42,"2,707,123,772",899
Albania,1998,male,5-14 years,2,388400,0.51,"2,707,123,772",899
Albania,1998,female,5-14 years,1,363800,0.27,"2,707,123,772",899
Albania,1998,female,75+ years,0,42300,0,"2,707,123,772",899
Albania,1999,male,75+ years,3,25900,11.58,"3,414,760,915",1127
Albania,1999,male,15-24 years,24,250600,9.58,"3,414,760,915",1127
Albania,1999,female,75+ years,4,42400,9.43,"3,414,760,915",1127
Albania,1999,male,35-54 years,31,391100,7.93,"3,414,760,915",1127
Albania,1999,male,25-34 years,19,242300,7.84,"3,414,760,915",1127
Albania,1999,male,55-74 years,14,185200,7.56,"3,414,760,915",1127
Albania,1999,female,15-24 years,19,296800,6.4,"3,414,760,915",1127
Albania,1999,female,25-34 years,13,276500,4.7,"3,414,760,915",1127
Albania,1999,female,55-74 years,6,188800,3.18,"3,414,760,915",1127
Albania,1999,female,35-54 years,5,373600,1.34,"3,414,760,915",1127
Albania,1999,female,5-14 years,1,365200,0.27,"3,414,760,915",1127
Albania,1999,male,5-14 years,0,391300,0,"3,414,760,915",1127
Albania,2000,male,25-34 years,17,232000,7.33,"3,632,043,908",1299
Albania,2000,male,55-74 years,10,177400,5.64,"3,632,043,908",1299
Albania,2000,female,75+ years,2,37800,5.29,"3,632,043,908",1299
Albania,2000,male,75+ years,1,24900,4.02,"3,632,043,908",1299
Albania,2000,female,15-24 years,6,263900,2.27,"3,632,043,908",1299
Albania,2000,male,15-24 years,5,240000,2.08,"3,632,043,908",1299
Albania,2000,female,35-54 years,5,332200,1.51,"3,632,043,908",1299
Albania,2000,female,25-34 years,3,245800,1.22,"3,632,043,908",1299
Albania,2000,male,35-54 years,4,374700,1.07,"3,632,043,908",1299
Albania,2000,male,5-14 years,1,374900,0.27,"3,632,043,908",1299
Albania,2000,female,5-14 years,0,324700,0,"3,632,043,908",1299
Albania,2000,female,55-74 years,0,168000,0,"3,632,043,908",1299
Albania,2001,male,25-34 years,22,206484,10.65,"4,060,758,804",1451
Albania,2001,male,35-54 years,34,378826,8.98,"4,060,758,804",1451
Albania,2001,male,55-74 years,11,196670,5.59,"4,060,758,804",1451
Albania,2001,female,75+ years,2,47254,4.23,"4,060,758,804",1451
Albania,2001,male,15-24 years,10,256039,3.91,"4,060,758,804",1451
Albania,2001,female,15-24 years,9,271359,3.32,"4,060,758,804",1451
Albania,2001,female,35-54 years,12,370191,3.24,"4,060,758,804",1451
Albania,2001,male,75+ years,1,31044,3.22,"4,060,758,804",1451
Albania,2001,female,55-74 years,6,189799,3.16,"4,060,758,804",1451
Albania,2001,male,5-14 years,6,321556,1.87,"4,060,758,804",1451
Albania,2001,female,25-34 years,4,222771,1.8,"4,060,758,804",1451
Albania,2001,female,5-14 years,2,307356,0.65,"4,060,758,804",1451
Albania,2002,male,75+ years,4,31007,12.9,"4,435,078,648",1573
Albania,2002,male,25-34 years,23,206286,11.15,"4,435,078,648",1573
Albania,2002,male,35-54 years,35,382139,9.16,"4,435,078,648",1573
Albania,2002,male,55-74 years,13,198130,6.56,"4,435,078,648",1573
Albania,2002,male,15-24 years,15,263067,5.7,"4,435,078,648",1573
Albania,2002,female,15-24 years,14,275970,5.07,"4,435,078,648",1573
Albania,2002,female,35-54 years,15,375113,4,"4,435,078,648",1573
Albania,2002,female,25-34 years,7,223685,3.13,"4,435,078,648",1573
Albania,2002,female,75+ years,1,47407,2.11,"4,435,078,648",1573
Albania,2002,female,55-74 years,4,191712,2.09,"4,435,078,648",1573
Albania,2002,female,5-14 years,1,304850,0.33,"4,435,078,648",1573
Albania,2002,male,5-14 years,1,319473,0.31,"4,435,078,648",1573
Albania,2003,female,75+ years,6,49088,12.22,"5,746,945,913",2021
Albania,2003,male,55-74 years,16,201520,7.94,"5,746,945,913",2021
Albania,2003,male,35-54 years,28,386196,7.25,"5,746,945,913",2021
Albania,2003,male,15-24 years,15,273235,5.49,"5,746,945,913",2021
Albania,2003,female,15-24 years,14,283709,4.93,"5,746,945,913",2021
Albania,2003,female,55-74 years,9,195699,4.6,"5,746,945,913",2021
Albania,2003,male,25-34 years,9,205433,4.38,"5,746,945,913",2021
Albania,2003,female,25-34 years,9,222941,4.04,"5,746,945,913",2021
Albania,2003,female,35-54 years,13,381760,3.41,"5,746,945,913",2021
Albania,2003,male,75+ years,1,32667,3.06,"5,746,945,913",2021
Albania,2003,male,5-14 years,4,313204,1.28,"5,746,945,913",2021
Albania,2003,female,5-14 years,0,298477,0,"5,746,945,913",2021
Albania,2004,male,75+ years,4,35526,11.26,"7,314,865,176",2544
Albania,2004,male,35-54 years,39,391767,9.95,"7,314,865,176",2544
Albania,2004,male,25-34 years,16,203938,7.85,"7,314,865,176",2544
Albania,2004,female,15-24 years,20,292268,6.84,"7,314,865,176",2544
Albania,2004,male,15-24 years,19,286768,6.63,"7,314,865,176",2544
Albania,2004,female,75+ years,3,50970,5.89,"7,314,865,176",2544
Albania,2004,female,25-34 years,11,222389,4.95,"7,314,865,176",2544
Albania,2004,male,55-74 years,10,207202,4.83,"7,314,865,176",2544
Albania,2004,female,35-54 years,17,391436,4.34,"7,314,865,176",2544
Albania,2004,female,55-74 years,3,203841,1.47,"7,314,865,176",2544
Albania,2004,female,5-14 years,3,286705,1.05,"7,314,865,176",2544
Albania,2004,male,5-14 years,1,302181,0.33,"7,314,865,176",2544
Albania,2005,female,15-24 years,0,281922,0,"8,158,548,717",2931
Albania,2005,female,25-34 years,0,190745,0,"8,158,548,717",2931
Albania,2005,female,35-54 years,0,386513,0,"8,158,548,717",2931
Albania,2005,female,5-14 years,0,276559,0,"8,158,548,717",2931
Albania,2005,female,55-74 years,0,210998,0,"8,158,548,717",2931
Albania,2005,female,75+ years,0,53191,0,"8,158,548,717",2931
Albania,2005,male,15-24 years,0,281675,0,"8,158,548,717",2931
Albania,2005,male,25-34 years,0,177519,0,"8,158,548,717",2931
Albania,2005,male,35-54 years,0,380242,0,"8,158,548,717",2931
Albania,2005,male,5-14 years,0,291367,0,"8,158,548,717",2931
Albania,2005,male,55-74 years,0,214118,0,"8,158,548,717",2931
Albania,2005,male,75+ years,0,38471,0,"8,158,548,717",2931
Albania,2006,female,15-24 years,0,283138,0,"8,992,642,349",3235
Albania,2006,female,25-34 years,0,186391,0,"8,992,642,349",3235
Albania,2006,female,35-54 years,0,388746,0,"8,992,642,349",3235
Albania,2006,female,5-14 years,0,267316,0,"8,992,642,349",3235
Albania,2006,female,55-74 years,0,215907,0,"8,992,642,349",3235
Albania,2006,female,75+ years,0,56011,0,"8,992,642,349",3235
Albania,2006,male,15-24 years,0,286679,0,"8,992,642,349",3235
Albania,2006,male,25-34 years,0,174092,0,"8,992,642,349",3235
Albania,2006,male,35-54 years,0,379076,0,"8,992,642,349",3235
Albania,2006,male,5-14 years,0,282678,0,"8,992,642,349",3235
Albania,2006,male,55-74 years,0,219360,0,"8,992,642,349",3235
Albania,2006,male,75+ years,0,40782,0,"8,992,642,349",3235
Albania,2007,male,75+ years,8,42366,18.88,"10,701,011,897",3863
Albania,2007,male,35-54 years,29,378626,7.66,"10,701,011,897",3863
Albania,2007,male,55-74 years,14,224160,6.25,"10,701,011,897",3863
Albania,2007,female,75+ years,3,57404,5.23,"10,701,011,897",3863
Albania,2007,male,25-34 years,9,172494,5.22,"10,701,011,897",3863
Albania,2007,female,15-24 years,13,281080,4.63,"10,701,011,897",3863
Albania,2007,male,15-24 years,13,288349,4.51,"10,701,011,897",3863
Albania,2007,female,25-34 years,8,183629,4.36,"10,701,011,897",3863
Albania,2007,female,55-74 years,9,221120,4.07,"10,701,011,897",3863
Albania,2007,female,35-54 years,14,391811,3.57,"10,701,011,897",3863
Albania,2007,male,5-14 years,4,272497,1.47,"10,701,011,897",3863
Albania,2007,female,5-14 years,0,256808,0,"10,701,011,897",3863
Albania,2008,male,25-34 years,21,172855,12.15,"12,881,352,688",4672
Albania,2008,male,35-54 years,37,377119,9.81,"12,881,352,688",4672
Albania,2008,male,55-74 years,21,228672,9.18,"12,881,352,688",4672
Albania,2008,female,75+ years,5,59369,8.42,"12,881,352,688",4672
Albania,2008,female,15-24 years,20,276073,7.24,"12,881,352,688",4672
Albania,2008,female,25-34 years,9,182663,4.93,"12,881,352,688",4672
Albania,2008,female,35-54 years,19,393832,4.82,"12,881,352,688",4672
Albania,2008,male,75+ years,2,44574,4.49,"12,881,352,688",4672
Albania,2008,male,15-24 years,11,286702,3.84,"12,881,352,688",4672
Albania,2008,female,55-74 years,7,226448,3.09,"12,881,352,688",4672
Albania,2008,male,5-14 years,7,262464,2.67,"12,881,352,688",4672
Albania,2008,female,5-14 years,1,246288,0.41,"12,881,352,688",4672
Albania,2009,female,15-24 years,0,270003,0,"12,044,212,904",4387
Albania,2009,female,25-34 years,0,182712,0,"12,044,212,904",4387
Albania,2009,female,35-54 years,0,394286,0,"12,044,212,904",4387
Albania,2009,female,5-14 years,0,236174,0,"12,044,212,904",4387
Albania,2009,female,55-74 years,0,233302,0,"12,044,212,904",4387
Albania,2009,female,75+ years,0,61582,0,"12,044,212,904",4387
Albania,2009,male,15-24 years,0,283448,0,"12,044,212,904",4387
Albania,2009,male,25-34 years,0,174955,0,"12,044,212,904",4387
Albania,2009,male,35-54 years,0,374365,0,"12,044,212,904",4387
Albania,2009,male,5-14 years,0,253007,0,"12,044,212,904",4387
Albania,2009,male,55-74 years,0,234570,0,"12,044,212,904",4387
Albania,2009,male,75+ years,0,47331,0,"12,044,212,904",4387
Albania,2010,male,55-74 years,20,241852,8.27,"11,926,953,259",4359
Albania,2010,male,35-54 years,20,371611,5.38,"11,926,953,259",4359
Albania,2010,male,25-34 years,9,179720,5.01,"11,926,953,259",4359
Albania,2010,male,75+ years,2,50767,3.94,"11,926,953,259",4359
Albania,2010,male,15-24 years,10,279508,3.58,"11,926,953,259",4359
Albania,2010,female,25-34 years,6,183579,3.27,"11,926,953,259",4359
Albania,2010,female,75+ years,2,64415,3.1,"11,926,953,259",4359
Albania,2010,female,35-54 years,12,394593,3.04,"11,926,953,259",4359
Albania,2010,female,55-74 years,7,241491,2.9,"11,926,953,259",4359
Albania,2010,female,15-24 years,6,263581,2.28,"11,926,953,259",4359
Albania,2010,female,5-14 years,2,223969,0.89,"11,926,953,259",4359
Albania,2010,male,5-14 years,0,240939,0,"11,926,953,259",4359
Australia,1985,male,75+ years,67,219000,30.59,"180,190,994,861",12374
Australia,1985,male,25-34 years,357,1299100,27.48,"180,190,994,861",12374
Australia,1985,male,55-74 years,282,1177400,23.95,"180,190,994,861",12374
Australia,1985,male,15-24 years,315,1355800,23.23,"180,190,994,861",12374
Australia,1985,male,35-54 years,411,1906800,21.55,"180,190,994,861",12374
Australia,1985,female,75+ years,36,382900,9.4,"180,190,994,861",12374
Australia,1985,female,55-74 years,109,1286900,8.47,"180,190,994,861",12374
Australia,1985,female,35-54 years,143,1832700,7.8,"180,190,994,861",12374
Australia,1985,female,15-24 years,69,1304000,5.29,"180,190,994,861",12374
Australia,1985,female,25-34 years,64,1275900,5.02,"180,190,994,861",12374
Australia,1985,female,5-14 years,4,1231400,0.32,"180,190,994,861",12374
Australia,1985,male,5-14 years,4,1290600,0.31,"180,190,994,861",12374
Australia,1986,male,75+ years,89,233700,38.08,"181,977,476,217",12288
Australia,1986,male,25-34 years,367,1317500,27.86,"181,977,476,217",12288
Australia,1986,male,55-74 years,324,1211800,26.74,"181,977,476,217",12288
Australia,1986,male,35-54 years,487,1972000,24.7,"181,977,476,217",12288
Australia,1986,male,15-24 years,296,1369000,21.62,"181,977,476,217",12288
Australia,1986,female,35-54 years,169,1888100,8.95,"181,977,476,217",12288
Australia,1986,female,55-74 years,105,1306500,8.04,"181,977,476,217",12288
Australia,1986,female,25-34 years,88,1300200,6.77,"181,977,476,217",12288
Australia,1986,female,15-24 years,77,1315000,5.86,"181,977,476,217",12288
Australia,1986,female,75+ years,23,405000,5.68,"181,977,476,217",12288
Australia,1986,male,5-14 years,18,1277100,1.41,"181,977,476,217",12288
Australia,1986,female,5-14 years,1,1213900,0.08,"181,977,476,217",12288
Australia,1987,male,75+ years,111,244800,45.34,"189,041,159,344",12564
Australia,1987,male,25-34 years,374,1345900,27.79,"189,041,159,344",12564
Australia,1987,male,35-54 years,554,2031000,27.28,"189,041,159,344",12564
Australia,1987,male,55-74 years,328,1227000,26.73,"189,041,159,344",12564
Australia,1987,male,15-24 years,354,1383900,25.58,"189,041,159,344",12564
Australia,1987,female,75+ years,38,421200,9.02,"189,041,159,344",12564
Australia,1987,female,55-74 years,110,1318600,8.34,"189,041,159,344",12564
Australia,1987,female,35-54 years,145,1950500,7.43,"189,041,159,344",12564
Australia,1987,female,15-24 years,73,1329700,5.49,"189,041,159,344",12564
Australia,1987,female,25-34 years,70,1327700,5.27,"189,041,159,344",12564
Australia,1987,male,5-14 years,6,1264900,0.47,"189,041,159,344",12564
Australia,1987,female,5-14 years,1,1201300,0.08,"189,041,159,344",12564
Australia,1988,male,75+ years,93,256400,36.27,"235,699,941,793",15393
Australia,1988,male,25-34 years,398,1375100,28.94,"235,699,941,793",15393
Australia,1988,male,15-24 years,366,1395800,26.22,"235,699,941,793",15393
Australia,1988,male,55-74 years,317,1240700,25.55,"235,699,941,793",15393
Australia,1988,male,35-54 years,532,2097100,25.37,"235,699,941,793",15393
Australia,1988,female,75+ years,40,438100,9.13,"235,699,941,793",15393
Australia,1988,female,25-34 years,106,1354700,7.82,"235,699,941,793",15393
Australia,1988,female,35-54 years,157,2019000,7.78,"235,699,941,793",15393
Australia,1988,female,55-74 years,103,1330200,7.74,"235,699,941,793",15393
Australia,1988,female,15-24 years,53,1340300,3.95,"235,699,941,793",15393
Australia,1988,male,5-14 years,6,1264700,0.47,"235,699,941,793",15393
Australia,1988,female,5-14 years,1,1200000,0.08,"235,699,941,793",15393
Australia,1989,male,75+ years,91,266900,34.1,"299,317,645,143",19223
Australia,1989,male,25-34 years,406,1399000,29.02,"299,317,645,143",19223
Australia,1989,male,15-24 years,353,1399300,25.23,"299,317,645,143",19223
Australia,1989,male,55-74 years,309,1255100,24.62,"299,317,645,143",19223
Australia,1989,male,35-54 years,475,2156900,22.02,"299,317,645,143",19223
Australia,1989,female,55-74 years,124,1340300,9.25,"299,317,645,143",19223
Australia,1989,female,75+ years,31,451800,6.86,"299,317,645,143",19223
Australia,1989,female,25-34 years,87,1383800,6.29,"299,317,645,143",19223
Australia,1989,female,35-54 years,130,2086700,6.23,"299,317,645,143",19223
Australia,1989,female,15-24 years,51,1349700,3.78,"299,317,645,143",19223
Australia,1989,male,5-14 years,8,1273300,0.63,"299,317,645,143",19223
Australia,1989,female,5-14 years,1,1207800,0.08,"299,317,645,143",19223
Australia,1990,male,75+ years,87,276900,31.42,"310,838,014,621",19665
Australia,1990,male,25-34 years,418,1415000,29.54,"310,838,014,621",19665
Australia,1990,male,15-24 years,374,1405900,26.6,"310,838,014,621",19665
Australia,1990,male,55-74 years,325,1266400,25.66,"310,838,014,621",19665
Australia,1990,male,35-54 years,549,2220600,24.72,"310,838,014,621",19665
Australia,1990,female,75+ years,37,465600,7.95,"310,838,014,621",19665
Australia,1990,female,25-34 years,109,1401200,7.78,"310,838,014,621",19665
Australia,1990,female,55-74 years,98,1349000,7.26,"310,838,014,621",19665
Australia,1990,female,35-54 years,136,2154800,6.31,"310,838,014,621",19665
Australia,1990,female,15-24 years,64,1354800,4.72,"310,838,014,621",19665
Australia,1990,male,5-14 years,5,1281300,0.39,"310,838,014,621",19665
Australia,1990,female,5-14 years,0,1215500,0,"310,838,014,621",19665
Australia,1991,male,75+ years,114,287600,39.64,"325,358,292,128",20320
Australia,1991,male,25-34 years,427,1416500,30.14,"325,358,292,128",20320
Australia,1991,male,35-54 years,631,2279600,27.68,"325,358,292,128",20320
Australia,1991,male,15-24 years,354,1405900,25.18,"325,358,292,128",20320
Australia,1991,male,55-74 years,273,1282700,21.28,"325,358,292,128",20320
Australia,1991,female,75+ years,39,480900,8.11,"325,358,292,128",20320
Australia,1991,female,35-54 years,169,2219100,7.62,"325,358,292,128",20320
Australia,1991,female,55-74 years,96,1362200,7.05,"325,358,292,128",20320
Australia,1991,female,25-34 years,91,1408900,6.46,"325,358,292,128",20320
Australia,1991,female,15-24 years,84,1354900,6.2,"325,358,292,128",20320
Australia,1991,male,5-14 years,7,1290700,0.54,"325,358,292,128",20320
Australia,1991,female,5-14 years,3,1223100,0.25,"325,358,292,128",20320
Australia,1992,male,75+ years,87,298600,29.14,"324,878,105,053",20050
Australia,1992,male,25-34 years,407,1417200,28.72,"324,878,105,053",20050
Australia,1992,male,15-24 years,384,1405300,27.33,"324,878,105,053",20050
Australia,1992,male,55-74 years,325,1299600,25.01,"324,878,105,053",20050
Australia,1992,male,35-54 years,579,2336200,24.78,"324,878,105,053",20050
Australia,1992,female,75+ years,45,497100,9.05,"324,878,105,053",20050
Australia,1992,female,55-74 years,102,1376100,7.41,"324,878,105,053",20050
Australia,1992,female,25-34 years,96,1412600,6.8,"324,878,105,053",20050
Australia,1992,female,35-54 years,144,2280900,6.31,"324,878,105,053",20050
Australia,1992,female,15-24 years,76,1351300,5.62,"324,878,105,053",20050
Australia,1992,male,5-14 years,4,1298000,0.31,"324,878,105,053",20050
Australia,1992,female,5-14 years,2,1230600,0.16,"324,878,105,053",20050
Australia,1993,male,75+ years,95,307700,30.87,"311,528,948,848",19030
Australia,1993,male,25-34 years,392,1413500,27.73,"311,528,948,848",19030
Australia,1993,male,15-24 years,332,1401500,23.69,"311,528,948,848",19030
Australia,1993,male,55-74 years,293,1320700,22.19,"311,528,948,848",19030
Australia,1993,male,35-54 years,523,2389000,21.89,"311,528,948,848",19030
Australia,1993,female,35-54 years,161,2340600,6.88,"311,528,948,848",19030
Australia,1993,female,75+ years,34,510500,6.66,"311,528,948,848",19030
Australia,1993,female,25-34 years,76,1409500,5.39,"311,528,948,848",19030
Australia,1993,female,55-74 years,75,1392400,5.39,"311,528,948,848",19030
Australia,1993,female,15-24 years,50,1344900,3.72,"311,528,948,848",19030
Australia,1993,male,5-14 years,5,1303300,0.38,"311,528,948,848",19030
Australia,1993,female,5-14 years,2,1236400,0.16,"311,528,948,848",19030
Australia,1994,male,75+ years,100,315900,31.66,"322,201,314,424",19469
Australia,1994,male,25-34 years,426,1414900,30.11,"322,201,314,424",19469
Australia,1994,male,15-24 years,377,1396400,27,"322,201,314,424",19469
Australia,1994,male,35-54 years,648,2441200,26.54,"322,201,314,424",19469
Australia,1994,male,55-74 years,311,1345000,23.12,"322,201,314,424",19469
Australia,1994,female,35-54 years,162,2400300,6.75,"322,201,314,424",19469
Australia,1994,female,75+ years,33,522900,6.31,"322,201,314,424",19469
Australia,1994,female,25-34 years,88,1411500,6.23,"322,201,314,424",19469
Australia,1994,female,55-74 years,79,1411700,5.6,"322,201,314,424",19469
Australia,1994,female,15-24 years,55,1336300,4.12,"322,201,314,424",19469
Australia,1994,male,5-14 years,3,1310100,0.23,"322,201,314,424",19469
Australia,1994,female,5-14 years,1,1243200,0.08,"322,201,314,424",19469
Australia,1995,male,25-34 years,440,1421100,30.96,"367,216,364,716",21902
Australia,1995,male,75+ years,88,328300,26.8,"367,216,364,716",21902
Australia,1995,male,35-54 years,587,2507400,23.41,"367,216,364,716",21902
Australia,1995,male,15-24 years,318,1374600,23.13,"367,216,364,716",21902
Australia,1995,male,55-74 years,274,1366600,20.05,"367,216,364,716",21902
Australia,1995,female,35-54 years,180,2472200,7.28,"367,216,364,716",21902
Australia,1995,female,25-34 years,91,1417500,6.42,"367,216,364,716",21902
Australia,1995,female,15-24 years,81,1321300,6.13,"367,216,364,716",21902
