Station,Air Quality,Longitude,Latitude,O3 Hour,O3 Quality,O3 Value,NO2 Hour,NO2 Quality,NO2 Value,PM10 Hour,PM10 Quality,PM10 Value,Generated
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,3h,Good,20,4h,Good,30,01/11/2018 4:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,3h,Good,83,3h,Good,4,4h,Good,23,01/11/2018 4:00
Barcelona - Sants,--,2.1331,41.3788,NA,NA,NA,2h,--,NA,NA,NA,NA,01/11/2018 5:00
Barcelona - Eixample,Good,2.1538,41.3853,4h,Good,45,4h,Good,26,4h,Good,33,01/11/2018 5:00
Barcelona - Gr_cia,Good,2.1534,41.3987,4h,Good,58,4h,Good,16,NA,NA,NA,01/11/2018 5:00
Barcelona - Ciutadella,Good,2.1874,41.3864,4h,Good,50,4h,Good,26,NA,NA,NA,01/11/2018 5:00
Barcelona - Vall Hebron,Good,2.148,41.4261,4h,Good,69,4h,Good,7,NA,NA,NA,01/11/2018 5:00
Barcelona - Palau Reial,Good,2.1151,41.3875,4h,Good,48,4h,Good,8,5h,Good,21,01/11/2018 5:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,4h,Good,25,5h,Good,27,01/11/2018 5:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,4h,Good,81,4h,Good,2,5h,Good,18,01/11/2018 5:00
Barcelona - Sants,--,2.1331,41.3788,NA,NA,NA,4h,--,NA,NA,NA,NA,01/11/2018 6:00
Barcelona - Eixample,Good,2.1538,41.3853,5h,Good,37,5h,Good,31,6h,Good,27,01/11/2018 6:00
Barcelona - Gr_cia,Good,2.1534,41.3987,5h,Good,51,5h,Good,19,NA,NA,NA,01/11/2018 6:00
Barcelona - Ciutadella,Good,2.1874,41.3864,5h,Good,52,5h,Good,18,NA,NA,NA,01/11/2018 6:00
Barcelona - Vall Hebron,Good,2.148,41.4261,5h,Good,63,5h,Good,8,NA,NA,NA,01/11/2018 6:00
Barcelona - Palau Reial,Good,2.1151,41.3875,5h,Good,41,5h,Good,11,6h,Good,17,01/11/2018 6:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,5h,Good,27,6h,Good,24,01/11/2018 6:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,5h,Good,77,5h,Good,2,5h,Good,18,01/11/2018 6:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,6h,Good,17,NA,NA,NA,01/11/2018 7:00
Barcelona - Eixample,Good,2.1538,41.3853,6h,Good,24,6h,Good,37,7h,Good,25,01/11/2018 7:00
Barcelona - Gr_cia,Good,2.1534,41.3987,6h,Good,45,6h,Good,19,NA,NA,NA,01/11/2018 7:00
Barcelona - Ciutadella,Good,2.1874,41.3864,6h,Good,46,6h,Good,17,NA,NA,NA,01/11/2018 7:00
Barcelona - Vall Hebron,Good,2.148,41.4261,6h,Good,54,6h,Good,11,NA,NA,NA,01/11/2018 7:00
Barcelona - Palau Reial,Good,2.1151,41.3875,6h,Good,28,6h,Good,17,7h,Good,15,01/11/2018 7:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,6h,Good,22,7h,Good,21,01/11/2018 7:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,6h,Good,69,6h,Good,2,7h,Good,10,01/11/2018 7:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,7h,Good,25,NA,NA,NA,01/11/2018 8:00
Barcelona - Eixample,Good,2.1538,41.3853,7h,Good,18,7h,Good,42,7h,Good,24,01/11/2018 8:00
Barcelona - Gr_cia,Good,2.1534,41.3987,7h,Good,39,7h,Good,21,NA,NA,NA,01/11/2018 8:00
Barcelona - Ciutadella,Good,2.1874,41.3864,7h,Good,36,7h,Good,21,NA,NA,NA,01/11/2018 8:00
Barcelona - Vall Hebron,Good,2.148,41.4261,7h,Good,37,7h,Good,26,NA,NA,NA,01/11/2018 8:00
Barcelona - Palau Reial,Good,2.1151,41.3875,7h,Good,10,7h,Good,34,8h,Good,13,01/11/2018 8:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,7h,Good,22,8h,Good,20,01/11/2018 8:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,7h,Good,67,7h,Good,2,8h,Good,8,01/11/2018 8:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,8h,Good,45,NA,NA,NA,01/11/2018 9:00
Barcelona - Eixample,Good,2.1538,41.3853,8h,Good,6,8h,Good,52,9h,Good,21,01/11/2018 9:00
Barcelona - Gr_cia,Good,2.1534,41.3987,8h,Good,17,8h,Good,43,NA,NA,NA,01/11/2018 9:00
Barcelona - Ciutadella,Good,2.1874,41.3864,8h,Good,18,8h,Good,34,NA,NA,NA,01/11/2018 9:00
Barcelona - Vall Hebron,Good,2.148,41.4261,8h,Good,8,8h,Good,59,NA,NA,NA,01/11/2018 9:00
Barcelona - Palau Reial,Good,2.1151,41.3875,8h,Good,7,8h,Good,36,9h,Good,12,01/11/2018 9:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,8h,Good,31,9h,Good,18,01/11/2018 9:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,8h,Good,67,8h,Good,3,8h,Good,8,01/11/2018 9:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,9h,Good,35,NA,NA,NA,01/11/2018 10:00
Barcelona - Eixample,Good,2.1538,41.3853,9h,Good,3,9h,Good,60,10h,Good,20,01/11/2018 10:00
Barcelona - Gr_cia,Good,2.1534,41.3987,9h,Good,14,9h,Good,49,NA,NA,NA,01/11/2018 10:00
Barcelona - Ciutadella,Good,2.1874,41.3864,9h,Good,24,9h,Good,34,NA,NA,NA,01/11/2018 10:00
Barcelona - Vall Hebron,Good,2.148,41.4261,9h,Good,14,9h,Good,51,NA,NA,NA,01/11/2018 10:00
Barcelona - Palau Reial,Good,2.1151,41.3875,9h,Good,21,9h,Good,15,10h,Good,11,01/11/2018 10:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,9h,Good,37,10h,Good,17,01/11/2018 10:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,9h,Good,69,9h,Good,3,10h,Good,6,01/11/2018 10:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,10h,Good,23,NA,NA,NA,01/11/2018 11:00
Barcelona - Eixample,Good,2.1538,41.3853,10h,Good,12,10h,Good,64,10h,Good,19,01/11/2018 11:00
Barcelona - Gr_cia,Good,2.1534,41.3987,10h,Good,32,10h,Good,33,NA,NA,NA,01/11/2018 11:00
Barcelona - Ciutadella,Good,2.1874,41.3864,10h,Good,34,10h,Good,25,NA,NA,NA,01/11/2018 11:00
Barcelona - Vall Hebron,Good,2.148,41.4261,10h,Good,44,10h,Good,15,NA,NA,NA,01/11/2018 11:00
Barcelona - Palau Reial,Good,2.1151,41.3875,10h,Good,33,10h,Good,11,10h,Good,12,01/11/2018 11:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,10h,Good,28,10h,Good,16,01/11/2018 11:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,10h,Good,64,10h,Good,7,11h,Good,6,01/11/2018 11:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,11h,Good,31,NA,NA,NA,01/11/2018 12:00
Barcelona - Eixample,Good,2.1538,41.3853,11h,Good,22,11h,Good,50,12h,Good,18,01/11/2018 12:00
Barcelona - Gr_cia,Good,2.1534,41.3987,11h,Good,30,11h,Good,37,NA,NA,NA,01/11/2018 12:00
Barcelona - Ciutadella,Good,2.1874,41.3864,11h,Good,35,11h,Good,21,NA,NA,NA,01/11/2018 12:00
Barcelona - Vall Hebron,Good,2.148,41.4261,11h,Good,47,11h,Good,13,NA,NA,NA,01/11/2018 12:00
Barcelona - Palau Reial,Good,2.1151,41.3875,11h,Good,38,11h,Good,19,12h,Good,11,01/11/2018 12:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,11h,Good,29,12h,Good,15,01/11/2018 12:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,11h,Good,68,11h,Good,3,12h,Good,7,01/11/2018 12:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,12h,Good,14,NA,NA,NA,01/11/2018 13:00
Barcelona - Eixample,Good,2.1538,41.3853,12h,Good,29,12h,Good,35,13h,Good,18,01/11/2018 13:00
Barcelona - Gr_cia,Good,2.1534,41.3987,12h,Good,46,12h,Good,21,NA,NA,NA,01/11/2018 13:00
Barcelona - Ciutadella,Good,2.1874,41.3864,12h,Good,41,12h,Good,16,NA,NA,NA,01/11/2018 13:00
Barcelona - Vall Hebron,Good,2.148,41.4261,12h,Good,47,12h,Good,15,NA,NA,NA,01/11/2018 13:00
Barcelona - Palau Reial,Good,2.1151,41.3875,12h,Good,44,12h,Good,5,13h,Good,11,01/11/2018 13:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,12h,Good,20,13h,Good,14,01/11/2018 13:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,12h,Good,62,12h,Good,5,13h,Good,6,01/11/2018 13:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,13h,Good,9,NA,NA,NA,01/11/2018 14:00
Barcelona - Eixample,Good,2.1538,41.3853,13h,Good,38,13h,Good,26,14h,Good,17,01/11/2018 14:00
Barcelona - Gr_cia,Good,2.1534,41.3987,13h,Good,54,13h,Good,14,NA,NA,NA,01/11/2018 14:00
Barcelona - Ciutadella,Good,2.1874,41.3864,13h,Good,53,13h,Good,11,NA,NA,NA,01/11/2018 14:00
Barcelona - Vall Hebron,Good,2.148,41.4261,13h,Good,62,13h,Good,10,NA,NA,NA,01/11/2018 14:00
Barcelona - Palau Reial,Good,2.1151,41.3875,13h,Good,54,13h,Good,1,13h,Good,10,01/11/2018 14:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,13h,Good,14,13h,Good,14,01/11/2018 14:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,13h,Good,69,13h,Good,3,14h,Good,6,01/11/2018 14:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,14h,Good,10,NA,NA,NA,01/11/2018 15:00
Barcelona - Eixample,Good,2.1538,41.3853,14h,Good,39,14h,Good,33,15h,Good,16,01/11/2018 15:00
Barcelona - Gr_cia,Good,2.1534,41.3987,14h,Good,54,14h,Good,14,NA,NA,NA,01/11/2018 15:00
Barcelona - Ciutadella,Good,2.1874,41.3864,14h,Good,58,14h,Good,10,NA,NA,NA,01/11/2018 15:00
Barcelona - Vall Hebron,Good,2.148,41.4261,14h,Good,63,14h,Good,9,NA,NA,NA,01/11/2018 15:00
Barcelona - Palau Reial,Good,2.1151,41.3875,14h,Good,54,14h,Good,2,15h,Good,10,01/11/2018 15:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,14h,Good,17,15h,Good,11,01/11/2018 15:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,14h,Good,69,14h,Good,4,15h,Good,6,01/11/2018 15:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,15h,Good,9,NA,NA,NA,01/11/2018 16:00
Barcelona - Eixample,Good,2.1538,41.3853,15h,Good,39,15h,Good,31,16h,Good,16,01/11/2018 16:00
Barcelona - Gr_cia,Good,2.1534,41.3987,15h,Good,55,15h,Good,12,NA,NA,NA,01/11/2018 16:00
Barcelona - Ciutadella,Good,2.1874,41.3864,15h,Good,61,15h,Good,11,NA,NA,NA,01/11/2018 16:00
Barcelona - Vall Hebron,Good,2.148,41.4261,15h,Good,63,15h,Good,8,NA,NA,NA,01/11/2018 16:00
Barcelona - Palau Reial,Good,2.1151,41.3875,15h,Good,56,15h,Good,2,16h,Good,10,01/11/2018 16:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,15h,Good,14,16h,Good,10,01/11/2018 16:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,15h,Good,69,15h,Good,4,16h,Good,6,01/11/2018 16:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,16h,Good,9,NA,NA,NA,01/11/2018 17:00
Barcelona - Eixample,Good,2.1538,41.3853,16h,Good,39,16h,Good,33,17h,Good,15,01/11/2018 17:00
Barcelona - Gr_cia,Good,2.1534,41.3987,16h,Good,51,16h,Good,16,NA,NA,NA,01/11/2018 17:00
Barcelona - Ciutadella,Good,2.1874,41.3864,16h,Good,58,16h,Good,10,NA,NA,NA,01/11/2018 17:00
Barcelona - Vall Hebron,Good,2.148,41.4261,16h,Good,62,16h,Good,9,NA,NA,NA,01/11/2018 17:00
Barcelona - Palau Reial,Good,2.1151,41.3875,16h,Good,54,16h,Good,3,16h,Good,9,01/11/2018 17:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,16h,Good,14,16h,Good,9,01/11/2018 17:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,16h,Good,70,16h,Good,3,17h,Good,6,01/11/2018 17:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,17h,Good,14,NA,NA,NA,01/11/2018 18:00
Barcelona - Eixample,Good,2.1538,41.3853,17h,Good,38,17h,Good,37,18h,Good,14,01/11/2018 18:00
Barcelona - Gr_cia,Good,2.1534,41.3987,17h,Good,49,17h,Good,21,NA,NA,NA,01/11/2018 18:00
Barcelona - Ciutadella,Good,2.1874,41.3864,17h,Good,54,17h,Good,16,NA,NA,NA,01/11/2018 18:00
Barcelona - Vall Hebron,Good,2.148,41.4261,17h,Good,54,17h,Good,15,NA,NA,NA,01/11/2018 18:00
Barcelona - Palau Reial,Good,2.1151,41.3875,17h,Good,54,17h,Good,3,18h,Good,9,01/11/2018 18:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,17h,Good,18,18h,Good,8,01/11/2018 18:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,17h,Good,71,17h,Good,5,18h,Good,6,01/11/2018 18:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,18h,Good,29,NA,NA,NA,01/11/2018 19:00
Barcelona - Eixample,Good,2.1538,41.3853,17h,Good,38,17h,Good,37,19h,Good,13,01/11/2018 19:00
Barcelona - Gr_cia,Good,2.1534,41.3987,18h,Good,49,18h,Good,28,NA,NA,NA,01/11/2018 19:00
Barcelona - Ciutadella,Good,2.1874,41.3864,18h,Good,46,18h,Good,16,NA,NA,NA,01/11/2018 19:00
Barcelona - Vall Hebron,Good,2.148,41.4261,18h,Good,18,18h,Good,58,NA,NA,NA,01/11/2018 19:00
Barcelona - Palau Reial,Good,2.1151,41.3875,18h,Good,30,18h,Good,23,19h,Good,9,01/11/2018 19:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,18h,Good,19,19h,Good,7,01/11/2018 19:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,18h,Good,57,18h,Good,20,19h,Good,6,01/11/2018 19:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,19h,Good,35,NA,NA,NA,01/11/2018 20:00
Barcelona - Eixample,Good,2.1538,41.3853,18h,--,NA,18h,--,NA,20h,Good,13,01/11/2018 20:00
Barcelona - Gr_cia,Good,2.1534,41.3987,19h,Good,38,19h,Good,37,NA,NA,NA,01/11/2018 20:00
Barcelona - Ciutadella,Good,2.1874,41.3864,19h,Good,38,19h,Good,23,NA,NA,NA,01/11/2018 20:00
Barcelona - Vall Hebron,Good,2.148,41.4261,19h,Good,2,19h,Good,72,NA,NA,NA,01/11/2018 20:00
Barcelona - Palau Reial,Good,2.1151,41.3875,19h,Good,15,19h,Good,40,19h,Good,9,01/11/2018 20:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,19h,Good,33,19h,Good,8,01/11/2018 20:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,19h,Good,65,19h,Good,15,19h,Good,6,01/11/2018 20:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,20h,Good,66,NA,NA,NA,01/11/2018 21:00
Barcelona - Eixample,Good,2.1538,41.3853,19h,--,NA,19h,--,NA,21h,Good,12,01/11/2018 21:00
Barcelona - Gr_cia,Good,2.1534,41.3987,20h,Good,8,20h,Good,67,NA,NA,NA,01/11/2018 21:00
Barcelona - Ciutadella,Good,2.1874,41.3864,20h,Good,34,20h,Good,31,NA,NA,NA,01/11/2018 21:00
Barcelona - Vall Hebron,Good,2.148,41.4261,20h,Good,2,20h,Good,73,NA,NA,NA,01/11/2018 21:00
Barcelona - Palau Reial,Good,2.1151,41.3875,20h,Good,23,20h,Good,31,21h,Good,8,01/11/2018 21:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,20h,Good,56,21h,Good,7,01/11/2018 21:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,20h,Good,69,20h,Good,13,21h,Good,6,01/11/2018 21:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,21h,Good,73,NA,NA,NA,01/11/2018 22:00
Barcelona - Eixample,Good,2.1538,41.3853,19h,--,NA,19h,--,NA,21h,Good,12,01/11/2018 22:00
Barcelona - Gr_cia,Good,2.1534,41.3987,21h,Good,5,21h,Good,70,NA,NA,NA,01/11/2018 22:00
Barcelona - Ciutadella,Good,2.1874,41.3864,21h,Good,3,21h,Good,69,NA,NA,NA,01/11/2018 22:00
Barcelona - Vall Hebron,Good,2.148,41.4261,21h,Good,7,21h,Good,66,NA,NA,NA,01/11/2018 22:00
Barcelona - Palau Reial,Good,2.1151,41.3875,21h,Good,18,21h,Good,38,22h,Good,9,01/11/2018 22:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,21h,Good,73,22h,Good,7,01/11/2018 22:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,21h,Good,77,21h,Good,4,22h,Good,6,01/11/2018 22:00
Barcelona - Sants,--,2.1331,41.3788,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/11/2018 23:00
Barcelona - Eixample,Good,2.1538,41.3853,NA,NA,NA,NA,NA,NA,23h,Good,13,01/11/2018 23:00
Barcelona - Gr_cia,--,2.1534,41.3987,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/11/2018 23:00
Barcelona - Ciutadella,--,2.1874,41.3864,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/11/2018 23:00
Barcelona - Vall Hebron,--,2.148,41.4261,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/11/2018 23:00
Barcelona - Palau Reial,Good,2.1151,41.3875,NA,NA,NA,NA,NA,NA,23h,Good,9,01/11/2018 23:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,NA,NA,NA,23h,Good,7,01/11/2018 23:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,22h,Good,61,22h,Good,13,22h,Good,6,01/11/2018 23:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,0h,Good,41,NA,NA,NA,02/11/2018 0:00
Barcelona - Eixample,Good,2.1538,41.3853,0h,Good,13,0h,Good,52,0h,Good,13,02/11/2018 0:00
Barcelona - Gr_cia,Good,2.1534,41.3987,0h,Good,19,0h,Good,42,NA,NA,NA,02/11/2018 0:00
Barcelona - Ciutadella,Good,2.1874,41.3864,0h,Good,14,0h,Good,50,NA,NA,NA,02/11/2018 0:00
Barcelona - Vall Hebron,Good,2.148,41.4261,0h,Good,30,0h,Good,29,NA,NA,NA,02/11/2018 0:00
Barcelona - Palau Reial,Good,2.1151,41.3875,0h,Good,31,0h,Good,19,0h,Good,9,02/11/2018 0:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,0h,Good,53,0h,Good,8,02/11/2018 0:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,0h,Good,66,0h,Good,6,0h,Good,7,02/11/2018 0:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,0h,Good,41,NA,NA,NA,02/11/2018 1:00
Barcelona - Eixample,Good,2.1538,41.3853,0h,Good,4,0h,Good,57,0h,Good,13,02/11/2018 1:00
Barcelona - Gr_cia,Good,2.1534,41.3987,0h,Good,20,0h,Good,38,NA,NA,NA,02/11/2018 1:00
Barcelona - Ciutadella,Good,2.1874,41.3864,0h,Good,11,0h,Good,48,NA,NA,NA,02/11/2018 1:00
Barcelona - Vall Hebron,Good,2.148,41.4261,0h,Good,31,0h,Good,22,NA,NA,NA,02/11/2018 1:00
Barcelona - Palau Reial,Good,2.1151,41.3875,0h,Good,22,0h,Good,25,1h,Good,9,02/11/2018 1:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,0h,Good,47,1h,Good,8,02/11/2018 1:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,0h,Good,72,0h,Good,3,1h,Good,7,02/11/2018 1:00
Barcelona - Sants,--,2.1331,41.3788,NA,NA,NA,0h,--,NA,NA,NA,NA,02/11/2018 2:00
Barcelona - Eixample,Good,2.1538,41.3853,1h,Good,4,1h,Good,65,2h,Good,14,02/11/2018 2:00
Barcelona - Gr_cia,Good,2.1534,41.3987,1h,Good,28,1h,Good,29,NA,NA,NA,02/11/2018 2:00
Barcelona - Ciutadella,Good,2.1874,41.3864,1h,Good,16,1h,Good,40,NA,NA,NA,02/11/2018 2:00
Barcelona - Vall Hebron,Good,2.148,41.4261,1h,Good,40,1h,Good,15,NA,NA,NA,02/11/2018 2:00
Barcelona - Palau Reial,Good,2.1151,41.3875,1h,Good,47,1h,Good,4,2h,Good,9,02/11/2018 2:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,1h,Good,45,2h,Good,9,02/11/2018 2:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,1h,Good,70,1h,Good,3,1h,Good,7,02/11/2018 2:00
Barcelona - Sants,--,2.1331,41.3788,NA,NA,NA,1h,--,NA,NA,NA,NA,02/11/2018 3:00
Barcelona - Eixample,Good,2.1538,41.3853,2h,Good,10,2h,Good,48,3h,Good,14,02/11/2018 3:00
Barcelona - Gr_cia,Good,2.1534,41.3987,2h,Good,32,2h,Good,24,NA,NA,NA,02/11/2018 3:00
Barcelona - Ciutadella,Good,2.1874,41.3864,2h,Good,27,2h,Good,24,NA,NA,NA,02/11/2018 3:00
Barcelona - Vall Hebron,Good,2.148,41.4261,2h,Good,47,2h,Good,9,NA,NA,NA,02/11/2018 3:00
Barcelona - Palau Reial,Good,2.1151,41.3875,2h,Good,50,2h,Good,2,3h,Good,9,02/11/2018 3:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,2h,Good,41,3h,Good,9,02/11/2018 3:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,2h,Good,72,2h,Good,2,3h,Good,7,02/11/2018 3:00
Barcelona - Sants,--,2.1331,41.3788,NA,NA,NA,1h,--,NA,NA,NA,NA,02/11/2018 4:00
Barcelona - Eixample,Good,2.1538,41.3853,3h,Good,3,3h,Good,52,3h,Good,14,02/11/2018 4:00
