year_film,year_award,ceremony,category,nominee,film,win
2002,2003,60,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Catherine Zeta-Jones,Chicago,FALSE
2002,2003,60,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Richard Gere,Chicago,TRUE
2002,2003,60,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Adam Sandler,Punch-Drunk Love,FALSE
2002,2003,60,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Nicolas Cage,Adaptation,FALSE
2002,2003,60,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Kieran Culkin,Igby Goes Down,FALSE
2002,2003,60,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Hugh Grant,About a Boy,FALSE
2002,2003,60,Best Performance by an Actress in a Supporting Role in any Motion Picture,Meryl Streep,Adaptation,TRUE
2002,2003,60,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kathy Bates,About Schmidt,FALSE
2002,2003,60,Best Performance by an Actress in a Supporting Role in any Motion Picture,Cameron Diaz,Gangs of New York,FALSE
2002,2003,60,Best Performance by an Actress in a Supporting Role in any Motion Picture,Queen Latifah,Chicago,FALSE
2002,2003,60,Best Performance by an Actress in a Supporting Role in any Motion Picture,Susan Sarandon,Igby Goes Down,FALSE
2002,2003,60,Best Performance by an Actor in a Supporting Role in any Motion Picture,Chris Cooper,Adaptation,TRUE
2002,2003,60,Best Performance by an Actor in a Supporting Role in any Motion Picture,Ed Harris,The Hours,FALSE
2002,2003,60,Best Performance by an Actor in a Supporting Role in any Motion Picture,Paul Newman,Road to Perdition,FALSE
2002,2003,60,Best Performance by an Actor in a Supporting Role in any Motion Picture,Dennis Quaid,Far From Heaven,FALSE
2002,2003,60,Best Performance by an Actor in a Supporting Role in any Motion Picture,John C. Reilly,Chicago,FALSE
2002,2003,60,Best Director - Motion Picture,Martin Scorsese,Gangs of New York,TRUE
2002,2003,60,Best Director - Motion Picture,Stephen Daldry,The Hours,FALSE
2002,2003,60,Best Director - Motion Picture,Peter Jackson,"Lord of the Rings: The Two Towers, The",FALSE
2002,2003,60,Best Director - Motion Picture,Spike Jonze,Adaptation,FALSE
2002,2003,60,Best Director - Motion Picture,Rob Marshall,Chicago,FALSE
2002,2003,60,Best Director - Motion Picture,Alexander Payne,About Schmidt,FALSE
2002,2003,60,Best Screenplay - Motion Picture,"Alexander Payne, Jim Taylor",About Schmidt,TRUE
2002,2003,60,Best Screenplay - Motion Picture,Charlie Kaufman,Adaptation,FALSE
2002,2003,60,Best Screenplay - Motion Picture,Bill Condon,Chicago,FALSE
2002,2003,60,Best Screenplay - Motion Picture,Todd Haynes,Far From Heaven,FALSE
2002,2003,60,Best Screenplay - Motion Picture,David Hare,The Hours,FALSE
2002,2003,60,Best Motion Picture - Foreign Language,Talk To Her,"Spain, Pedro Almodóvar",TRUE
2002,2003,60,Best Motion Picture - Foreign Language,Balzac and The Little Chinese Seamstress,"France, Sijie Dai",FALSE
2002,2003,60,Best Motion Picture - Foreign Language,City of God,"Brazil, Fernando Meirelles, Kátia Lund",FALSE
2002,2003,60,Best Motion Picture - Foreign Language,The Crime of Padre Amaro,"Mexico, Carlos Carrera",FALSE
2002,2003,60,Best Motion Picture - Foreign Language,Hero,"China, Zhang Yimou",FALSE
2002,2003,60,Best Motion Picture - Foreign Language,Nowhere In Africa,"Germany, Caroline Link",FALSE
2002,2003,60,Best Original Score - Motion Picture,Elliot Goldenthal,Frida,TRUE
2002,2003,60,Best Original Score - Motion Picture,Elmer Bernstein,Far From Heaven,FALSE
2002,2003,60,Best Original Score - Motion Picture,Philip Glass,The Hours,FALSE
2002,2003,60,Best Original Score - Motion Picture,Peter Gabriel,Rabbit-Proof Fence,FALSE
2002,2003,60,Best Original Score - Motion Picture,Terence Blanchard,25th Hour,FALSE
2002,2003,60,Best Original Song - Motion Picture,"""The Hands That Built America"", U2",Gangs of New York,TRUE
2002,2003,60,Best Original Song - Motion Picture,"""Die Another Day"", Madonna, Mirwais Ahmadzaï",Die Another Day,FALSE
2002,2003,60,Best Original Song - Motion Picture,"""Father and Daughter"", Paul Simon",The Wild Thornberrys Movie,FALSE
2002,2003,60,Best Original Song - Motion Picture,"""Here I Am"", Hans Zimmer, Bryan Adams, Gretchen Peters",Spirit: Stallion of the Cimarron,FALSE
2002,2003,60,Best Original Song - Motion Picture,"""Lose Yourself"", Eminem, Jeffrey Bass, Luis Resto",8 Mile,FALSE
2002,2003,60,Best Television Series - Drama,"Shield, The",,TRUE
2002,2003,60,Best Television Series - Drama,Six Feet Under,,FALSE
2002,2003,60,Best Television Series - Drama,"Sopranos, The",,FALSE
2002,2003,60,Best Television Series - Drama,24,,FALSE
2002,2003,60,Best Television Series - Drama,"West Wing, The",,FALSE
2002,2003,60,Best Television Series - Musical or Comedy,Curb Your Enthusiasm,,TRUE
2002,2003,60,Best Television Series - Musical or Comedy,Sex and The City,,FALSE
2002,2003,60,Best Television Series - Musical or Comedy,"Simpsons, The",,FALSE
2002,2003,60,Best Television Series - Musical or Comedy,Will & Grace,,FALSE
2002,2003,60,Best Television Series - Musical or Comedy,Friends,,FALSE
2002,2003,60,Best Television Limited Series or Motion Picture Made for Television,The Gathering Storm,,TRUE
2002,2003,60,Best Television Limited Series or Motion Picture Made for Television,Live from Baghdad,,FALSE
2002,2003,60,Best Television Limited Series or Motion Picture Made for Television,Path to War,,FALSE
2002,2003,60,Best Television Limited Series or Motion Picture Made for Television,Shackleton,,FALSE
2002,2003,60,Best Television Limited Series or Motion Picture Made for Television,Taken,,FALSE
2002,2003,60,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Uma Thurman,Hysterical Blindness,TRUE
2002,2003,60,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Helena Bonham Carter,Live from Baghdad,FALSE
2002,2003,60,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Shirley MacLaine,Hell on Heels: The Battle of Mary Kay,FALSE
2002,2003,60,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Helen Mirren,Door To Door,FALSE
2002,2003,60,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Vanessa Redgrave,The Gathering Storm,FALSE
2002,2003,60,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Albert Finney,The Gathering Storm,TRUE
2002,2003,60,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Michael Gambon,Path to War,FALSE
2002,2003,60,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Michael Keaton,Live from Baghdad,FALSE
2002,2003,60,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,William H. Macy,Door To Door,FALSE
2002,2003,60,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Linus Roache,Rfk,FALSE
2002,2003,60,Best Performance by an Actress In A Television Series - Drama,Edie Falco,"Sopranos, The",TRUE
2002,2003,60,Best Performance by an Actress In A Television Series - Drama,Marg Helgenberger,C. S. I.: Crime Scene Investigation,FALSE
2002,2003,60,Best Performance by an Actress In A Television Series - Drama,Allison Janney,"West Wing, The",FALSE
2002,2003,60,Best Performance by an Actress In A Television Series - Drama,Jennifer Garner,Alias,FALSE
2002,2003,60,Best Performance by an Actress In A Television Series - Drama,Rachel Griffiths,Six Feet Under,FALSE
2002,2003,60,Best Performance by an Actor In A Television Series - Drama,Michael Chiklis,"Shield, The",TRUE
2002,2003,60,Best Performance by an Actor In A Television Series - Drama,James Gandolfini,"Sopranos, The",FALSE
2002,2003,60,Best Performance by an Actor In A Television Series - Drama,Peter Krause,Six Feet Under,FALSE
2002,2003,60,Best Performance by an Actor In A Television Series - Drama,Martin Sheen,"West Wing, The",FALSE
2002,2003,60,Best Performance by an Actor In A Television Series - Drama,Kiefer Sutherland,24,FALSE
2002,2003,60,Best Performance by an Actress in a Television Series - Musical or Comedy,Jennifer Aniston,Friends,TRUE
2002,2003,60,Best Performance by an Actress in a Television Series - Musical or Comedy,Bonnie Hunt,Life With Bonnie,FALSE
2002,2003,60,Best Performance by an Actress in a Television Series - Musical or Comedy,Jane Kaczmarek,Malcolm In The Middle,FALSE
2002,2003,60,Best Performance by an Actress in a Television Series - Musical or Comedy,Debra Messing,Will & Grace,FALSE
2002,2003,60,Best Performance by an Actress in a Television Series - Musical or Comedy,Sarah Jessica Parker,Sex and The City,FALSE
2002,2003,60,Best Performance by an Actor in a Television Series - Musical or Comedy,Tony Shalhoub,Monk,TRUE
2002,2003,60,Best Performance by an Actor in a Television Series - Musical or Comedy,Larry David,Curb Your Enthusiasm,FALSE
2002,2003,60,Best Performance by an Actor in a Television Series - Musical or Comedy,Matt LeBlanc,Friends,FALSE
2002,2003,60,Best Performance by an Actor in a Television Series - Musical or Comedy,Bernie Mac,"Bernie Mac Show, The",FALSE
2002,2003,60,Best Performance by an Actor in a Television Series - Musical or Comedy,Eric McCormack,Will & Grace,FALSE
2002,2003,60,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Kim Cattrall,Sex and The City,TRUE
2002,2003,60,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Gena Rowlands,Hysterical Blindness,FALSE
2002,2003,60,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Megan Mullally,Will & Grace,FALSE
2002,2003,60,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Cynthia Nixon,Sex and The City,FALSE
2002,2003,60,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Parker Posey,Hell on Heels: The Battle of Mary Kay,FALSE
2002,2003,60,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Donald Sutherland,Path to War,TRUE
2002,2003,60,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jim Broadbent,The Gathering Storm,FALSE
2002,2003,60,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Bryan Cranston,Malcolm In The Middle,FALSE
2002,2003,60,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Sean P. Hayes,Will & Grace,FALSE
2002,2003,60,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Dennis Haysbert,24,FALSE
2002,2003,60,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Michael Imperioli,"Sopranos, The",FALSE
2002,2003,60,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",John Spencer,"West Wing, The",FALSE
2002,2003,60,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Bradley Whitford,"West Wing, The",FALSE
2002,2003,60,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Alec Baldwin,Path to War,FALSE
2002,2003,60,Cecil B. deMille Award,Gene Hackman,,FALSE
2003,2004,61,Best Motion Picture - Drama,The Lord of the Rings: The Return of the King,,TRUE
2003,2004,61,Best Motion Picture - Drama,Cold Mountain,,FALSE
2003,2004,61,Best Motion Picture - Drama,Master and Commander: The Far Side of the World,,FALSE
2003,2004,61,Best Motion Picture - Drama,Mystic River,,FALSE
2003,2004,61,Best Motion Picture - Drama,Seabiscuit,,FALSE
2003,2004,61,Best Motion Picture - Musical or Comedy,Lost in Translation,,TRUE
2003,2004,61,Best Motion Picture - Musical or Comedy,Bend It Like Beckham,,FALSE
2003,2004,61,Best Motion Picture - Musical or Comedy,Big Fish,,FALSE
2003,2004,61,Best Motion Picture - Musical or Comedy,Finding Nemo,,FALSE
2003,2004,61,Best Motion Picture - Musical or Comedy,Love Actually,,FALSE
2003,2004,61,Best Performance by an Actress in a Motion Picture - Drama,Charlize Theron,Monster,TRUE
2003,2004,61,Best Performance by an Actress in a Motion Picture - Drama,Scarlett Johansson,Girl With a Pearl Earring,FALSE
2003,2004,61,Best Performance by an Actress in a Motion Picture - Drama,Nicole Kidman,Cold Mountain,FALSE
2003,2004,61,Best Performance by an Actress in a Motion Picture - Drama,Uma Thurman,Kill Bill (Vol. 1),FALSE
2003,2004,61,Best Performance by an Actress in a Motion Picture - Drama,Evan Rachel Wood,Thirteen,FALSE
2003,2004,61,Best Performance by an Actress in a Motion Picture - Drama,Cate Blanchett,Veronica Guerin,FALSE
2003,2004,61,Best Performance by an Actor in a Motion Picture - Drama,Sean Penn,Mystic River,TRUE
2003,2004,61,Best Performance by an Actor in a Motion Picture - Drama,Russell Crowe,Master and Commander: The Far Side of the World,FALSE
2003,2004,61,Best Performance by an Actor in a Motion Picture - Drama,Tom Cruise,The Last Samurai,FALSE
2003,2004,61,Best Performance by an Actor in a Motion Picture - Drama,Ben Kingsley,House of Sand and Fog,FALSE
2003,2004,61,Best Performance by an Actor in a Motion Picture - Drama,Jude Law,Cold Mountain,FALSE
2003,2004,61,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Diane Keaton,Something's Gotta Give,TRUE
2003,2004,61,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Jamie Lee Curtis,Freaky Friday (2003),FALSE
2003,2004,61,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Scarlett Johansson,Lost in Translation,FALSE
2003,2004,61,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Diane Lane,Under The Tuscan Sun,FALSE
2003,2004,61,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Helen Mirren,Calendar Girls,FALSE
2003,2004,61,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Bill Murray,Lost in Translation,TRUE
2003,2004,61,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Billy Bob Thornton,Bad Santa,FALSE
2003,2004,61,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jack Black,"School of Rock, The",FALSE
2003,2004,61,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl,FALSE
2003,2004,61,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jack Nicholson,Something's Gotta Give,FALSE
2003,2004,61,Best Performance by an Actress in a Supporting Role in any Motion Picture,Renée Zellweger,Cold Mountain,TRUE
2003,2004,61,Best Performance by an Actress in a Supporting Role in any Motion Picture,Patricia Clarkson,Pieces of April,FALSE
2003,2004,61,Best Performance by an Actress in a Supporting Role in any Motion Picture,Hope Davis,American Splendor,FALSE
2003,2004,61,Best Performance by an Actress in a Supporting Role in any Motion Picture,Holly Hunter,Thirteen,FALSE
2003,2004,61,Best Performance by an Actress in a Supporting Role in any Motion Picture,Maria Bello,"Cooler, The",FALSE
2003,2004,61,Best Performance by an Actor in a Supporting Role in any Motion Picture,Tim Robbins,Mystic River,TRUE
2003,2004,61,Best Performance by an Actor in a Supporting Role in any Motion Picture,Ken Watanabe,The Last Samurai,FALSE
2003,2004,61,Best Performance by an Actor in a Supporting Role in any Motion Picture,Alec Baldwin,"Cooler, The",FALSE
2003,2004,61,Best Performance by an Actor in a Supporting Role in any Motion Picture,Albert Finney,Big Fish,FALSE
2003,2004,61,Best Performance by an Actor in a Supporting Role in any Motion Picture,William H. Macy,Seabiscuit,FALSE
2003,2004,61,Best Performance by an Actor in a Supporting Role in any Motion Picture,Peter Sarsgaard,Shattered Glass,FALSE
2003,2004,61,Best Director - Motion Picture,Peter Jackson,The Lord of the Rings: The Return of the King,TRUE
2003,2004,61,Best Director - Motion Picture,Sofia Coppola,Lost in Translation,FALSE
2003,2004,61,Best Director - Motion Picture,Clint Eastwood,Mystic River,FALSE
2003,2004,61,Best Director - Motion Picture,Anthony Minghella,Cold Mountain,FALSE
2003,2004,61,Best Director - Motion Picture,Peter Weir,Master and Commander: The Far Side of the World,FALSE
2003,2004,61,Best Screenplay - Motion Picture,Sofia Coppola,Lost in Translation,TRUE
2003,2004,61,Best Screenplay - Motion Picture,Anthony Minghella,Cold Mountain,FALSE
2003,2004,61,Best Screenplay - Motion Picture,Jim Sheridan,In America,FALSE
2003,2004,61,Best Screenplay - Motion Picture,Richard Curtis,Love Actually,FALSE
2003,2004,61,Best Screenplay - Motion Picture,Brian Helgeland,Mystic River,FALSE
2003,2004,61,Best Motion Picture - Foreign Language,Osama,"Afghanistan, Siddiq Barmak",TRUE
2003,2004,61,Best Motion Picture - Foreign Language,Good Bye Lenin!,"Germany, Wolfgang Becker",FALSE
2003,2004,61,Best Motion Picture - Foreign Language,Monsieur Ibrahim,"France, François Dupeyron",FALSE
2003,2004,61,Best Motion Picture - Foreign Language,The Return,"Russia, Andrey Zvyagintsev ",FALSE
2003,2004,61,Best Motion Picture - Foreign Language,The Barbarian Invasions,"Canada, Denys Arcand",FALSE
2003,2004,61,Best Original Score - Motion Picture,Howard Shore,The Lord of the Rings: The Return of the King,TRUE
2003,2004,61,Best Original Score - Motion Picture,Gabriel Yared,Cold Mountain,FALSE
2003,2004,61,Best Original Score - Motion Picture,Alexandre Desplat,Girl With a Pearl Earring,FALSE
2003,2004,61,Best Original Score - Motion Picture,Hans Zimmer,The Last Samurai,FALSE
2003,2004,61,Best Original Score - Motion Picture,Danny Elfman,Big Fish,FALSE
2003,2004,61,Best Original Song - Motion Picture,"""Into the West"", Annie Lennox, Howard Shore, Fran Walsh",The Lord of the Rings: The Return of the King,TRUE
2003,2004,61,Best Original Song - Motion Picture,"The Heart of Every Girl, Elton John, Bernie Taupin",Mona Lisa Smile,FALSE
2003,2004,61,Best Original Song - Motion Picture,"Man of the Hour, Eddie Vedder",Big Fish,FALSE
2003,2004,61,Best Original Song - Motion Picture,"""You Will Be My Ain True Love"", Sting",Cold Mountain,FALSE
2003,2004,61,Best Original Song - Motion Picture,"""Time Enough For Tears"", Bono, Gavin Friday, Maurice Seezer",In America,FALSE
2003,2004,61,Best Television Series - Drama,24,,TRUE
2003,2004,61,Best Television Series - Drama,C. S. I.: Crime Scene Investigation,,FALSE
2003,2004,61,Best Television Series - Drama,Nip/Tuck,,FALSE
2003,2004,61,Best Television Series - Drama,Six Feet Under,,FALSE
2003,2004,61,Best Television Series - Drama,"West Wing, The",,FALSE
2003,2004,61,Best Television Series - Musical or Comedy,"Office, The (UK)",,TRUE
2003,2004,61,Best Television Series - Musical or Comedy,Monk,,FALSE
2003,2004,61,Best Television Series - Musical or Comedy,Sex and The City,,FALSE
2003,2004,61,Best Television Series - Musical or Comedy,Will & Grace,,FALSE
2003,2004,61,Best Television Series - Musical or Comedy,Arrested Development,,FALSE
2003,2004,61,Best Television Limited Series or Motion Picture Made for Television,Angels in America,,TRUE
2003,2004,61,Best Television Limited Series or Motion Picture Made for Television,My House in Umbria,,FALSE
2003,2004,61,Best Television Limited Series or Motion Picture Made for Television,Normal,,FALSE
2003,2004,61,Best Television Limited Series or Motion Picture Made for Television,Soldier's Girl,,FALSE
2003,2004,61,Best Television Limited Series or Motion Picture Made for Television,The Roman Spring Of Mrs. Stone,,FALSE
2003,2004,61,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Meryl Streep,Angels in America,TRUE
2003,2004,61,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Judy Davis,"Reagans, The",FALSE
2003,2004,61,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Jessica Lange,Normal,FALSE
2003,2004,61,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Helen Mirren,The Roman Spring Of Mrs. Stone,FALSE
2003,2004,61,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Maggie Smith,My House in Umbria,FALSE
2003,2004,61,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Al Pacino,Angels in America,TRUE
2003,2004,61,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Antonio Banderas,And Starring Pancho Villa as Himself,FALSE
2003,2004,61,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,James Brolin,"Reagans, The",FALSE
2003,2004,61,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Troy Garity,Soldier's Girl,FALSE
2003,2004,61,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Tom Wilkinson,Normal,FALSE
2003,2004,61,Best Performance by an Actress In A Television Series - Drama,Frances Conroy,Six Feet Under,TRUE
2003,2004,61,Best Performance by an Actress In A Television Series - Drama,Amber Tamblyn,Joan of Arcadia,FALSE
2003,2004,61,Best Performance by an Actress In A Television Series - Drama,Jennifer Garner,Alias,FALSE
2003,2004,61,Best Performance by an Actress In A Television Series - Drama,Allison Janney,"West Wing, The",FALSE
2003,2004,61,Best Performance by an Actress In A Television Series - Drama,Joely Richardson,Nip/Tuck,FALSE
2003,2004,61,Best Performance by an Actor In A Television Series - Drama,Anthony LaPaglia,Without a Trace,TRUE
2003,2004,61,Best Performance by an Actor In A Television Series - Drama,Kiefer Sutherland,24,FALSE
2003,2004,61,Best Performance by an Actor In A Television Series - Drama,Michael Chiklis,"Shield, The",FALSE
2003,2004,61,Best Performance by an Actor In A Television Series - Drama,William L. Petersen,C. S. I.: Crime Scene Investigation,FALSE
2003,2004,61,Best Performance by an Actor In A Television Series - Drama,Martin Sheen,"West Wing, The",FALSE
2003,2004,61,Best Performance by an Actress in a Television Series - Musical or Comedy,Sarah Jessica Parker,Sex and The City,TRUE
2003,2004,61,Best Performance by an Actress in a Television Series - Musical or Comedy,Bonnie Hunt,Life With Bonnie,FALSE
2003,2004,61,Best Performance by an Actress in a Television Series - Musical or Comedy,Reba McEntire,Reba,FALSE
2003,2004,61,Best Performance by an Actress in a Television Series - Musical or Comedy,Debra Messing,Will & Grace,FALSE
2003,2004,61,Best Performance by an Actress in a Television Series - Musical or Comedy,Bitty Schram,Monk,FALSE
2003,2004,61,Best Performance by an Actress in a Television Series - Musical or Comedy,Alicia Silverstone,Miss Match,FALSE
2003,2004,61,Best Performance by an Actor in a Television Series - Musical or Comedy,Ricky Gervais,"Office, The (UK)",TRUE
2003,2004,61,Best Performance by an Actor in a Television Series - Musical or Comedy,Eric McCormack,Will & Grace,FALSE
2003,2004,61,Best Performance by an Actor in a Television Series - Musical or Comedy,Tony Shalhoub,Monk,FALSE
2003,2004,61,Best Performance by an Actor in a Television Series - Musical or Comedy,Matt LeBlanc,Friends,FALSE
2003,2004,61,Best Performance by an Actor in a Television Series - Musical or Comedy,Bernie Mac,"Bernie Mac Show, The",FALSE
2003,2004,61,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Mary-Louise Parker,Angels in America,TRUE
2003,2004,61,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Cynthia Nixon,Sex and The City,FALSE
2003,2004,61,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Kim Cattrall,Sex and The City,FALSE
2003,2004,61,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Kristin Davis,Sex and The City,FALSE
2003,2004,61,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Megan Mullally,Will & Grace,FALSE
2003,2004,61,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jeffrey Wright,Angels in America,TRUE
2003,2004,61,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Sean P. Hayes,Will & Grace,FALSE
2003,2004,61,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Lee Pace,Soldier's Girl,FALSE
2003,2004,61,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Ben Shenkman,Angels in America,FALSE
2003,2004,61,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Patrick Wilson,Angels in America,FALSE
2003,2004,61,Cecil B. deMille Award,Michael Douglas,,FALSE
2004,2005,62,Best Motion Picture - Drama,The Aviator,,TRUE
2004,2005,62,Best Motion Picture - Drama,Closer,,FALSE
2004,2005,62,Best Motion Picture - Drama,Finding Neverland,,FALSE
2004,2005,62,Best Motion Picture - Drama,Hotel Rwanda,,FALSE
2004,2005,62,Best Motion Picture - Drama,Kinsey,,FALSE
2004,2005,62,Best Motion Picture - Drama,Million Dollar Baby,,FALSE
2004,2005,62,Best Motion Picture - Musical or Comedy,Sideways,,TRUE
2004,2005,62,Best Motion Picture - Musical or Comedy,Eternal Sunshine of The Spotless Mind,,FALSE
2004,2005,62,Best Motion Picture - Musical or Comedy,"Incredibles, The",,FALSE
2004,2005,62,Best Motion Picture - Musical or Comedy,Ray,,FALSE
2004,2005,62,Best Motion Picture - Musical or Comedy,The Phantom of the Opera,,FALSE
2004,2005,62,Best Performance by an Actress in a Motion Picture - Drama,Hilary Swank,Million Dollar Baby,TRUE
2004,2005,62,Best Performance by an Actress in a Motion Picture - Drama,Scarlett Johansson,"Love Song For Bobby Long, A",FALSE
2004,2005,62,Best Performance by an Actress in a Motion Picture - Drama,Nicole Kidman,Birth,FALSE
2004,2005,62,Best Performance by an Actress in a Motion Picture - Drama,Imelda Staunton,Vera Drake,FALSE
2004,2005,62,Best Performance by an Actress in a Motion Picture - Drama,Uma Thurman,Kill Bill (Vol. 2),FALSE
2004,2005,62,Best Performance by an Actor in a Motion Picture - Drama,Leonardo DiCaprio,The Aviator,TRUE
2004,2005,62,Best Performance by an Actor in a Motion Picture - Drama,Javier Bardem,The Sea Inside,FALSE
