Rank,Place,State,"July 1, 2002 Population","July 1, 2001 Population","July 1, 2000 Population","April 1, 2000 Population Estimates Base",Census 2000 Population
189,Topeka city,Kansas,"122,103","122,576","122,698","122,685","122,377"
190,Flint city,Michigan,"121,763","123,450","124,728","124,943","124,943"
191,El Monte city,California,"119,918","117,853","116,322","115,965","115,965"
192,Stamford city,Connecticut,"119,850","118,846","117,514","117,083","117,083"
193,Vallejo city,California,"119,798","119,342","117,445","116,760","116,760"
194,Evansville city,Indiana,"119,081","119,569","121,174","121,582","121,582"
195,Lansing city,Michigan,"118,588","118,891","119,111","119,213","119,128"
196,Joliet city,Illinois,"118,423","112,066","107,462","106,334","106,221"
197,Columbia city,South Carolina,"117,394","117,110","116,349","116,278","116,278"
198,Simi Valley city,California,"116,562","114,482","112,014","111,365","111,351"
199,Waco city,Texas,"115,749","114,620","114,056","113,880","113,726"
200,Abilene city,Texas,"115,225","115,012","115,841","115,930","115,930"
201,Ann Arbor city,Michigan,"115,213","114,861","114,336","114,111","114,024"
202,Carrollton city,Texas,"115,107","113,359","110,259","109,578","109,576"
203,Inglewood city,California,"114,959","113,780","112,801","112,580","112,580"
204,McAllen city,Texas,"113,877","109,388","107,041","106,419","106,414"
205,Independence city,Missouri,"113,027","113,194","113,298","113,288","113,288"
206,Cape Coral city,Florida,"112,899","107,743","103,221","102,286","102,286"
207,Bellevue city,Washington,"112,894","112,748","112,595","112,638","109,569"
208,Beaumont city,Texas,"112,871","113,047","113,694","113,866","113,866"
209,Peoria city,Illinois,"112,670","112,493","112,901","112,970","112,936"
210,Springfield city,Illinois,"111,834","111,665","111,482","111,486","111,454"
211,Lafayette city,Louisiana,"111,272","110,929","110,863","111,385","110,257"
212,West Valley City city,Utah,"111,254","110,351","109,199","108,896","108,896"
213,Costa Mesa city,California,"110,126","109,350","108,888","108,756","108,724"
214,Downey city,California,"109,840","108,717","107,583","107,323","107,323"
215,Manchester city,New Hampshire,"108,398","108,186","107,203","107,006","107,006"
216,Clearwater city,Florida,"108,313","108,698","108,773","108,789","108,787"
217,Waterbury city,Connecticut,"107,883","107,574","107,306","107,271","107,271"
218,West Covina city,California,"107,694","106,530","105,352","105,080","105,080"
219,South Bend city,Indiana,"106,558","106,851","107,764","107,919","107,789"
220,Allentown city,Pennsylvania,"106,105","106,450","106,532","106,632","106,632"
221,Norwalk city,California,"106,084","105,140","103,643","103,298","103,298"
222,Clarksville city,Tennessee,"105,898","104,524","103,952","103,478","103,455"
223,Provo city,Utah,"105,170","105,495","105,117","105,168","105,166"
224,Lowell city,Massachusetts,"104,901","105,280","105,250","105,167","105,167"
225,Berkeley city,California,"103,640","104,155","103,085","102,743","102,743"
226,San Buenaventura (Ventura) city,California,"103,619","101,813","101,123","100,920","100,916"
227,Westminster city,Colorado,"103,599","102,415","101,325","100,928","100,940"
228,Pueblo city,Colorado,"103,411","102,675","102,119","102,129","102,121"
229,Wichita Falls city,Texas,"102,926","103,373","103,917","104,197","104,197"
230,Burbank city,California,"102,913","101,515","100,538","100,316","100,316"
231,Athens-Clarke County (balance),Georgia,"102,663","101,755","100,566","100,266","100,266"
232,Richmond city,California,"102,553","102,216","99,712","99,216","99,216"
233,Arvada city,Colorado,"102,190","102,310","102,309","102,271","102,153"
234,Erie city,Pennsylvania,"102,122","102,843","103,492","103,717","103,717"
235,Fairfield city,California,"101,935","99,144","96,894","96,178","96,178"
236,Daly City city,California,"101,901","102,990","103,654","103,621","103,621"
237,Santa Clara city,California,"101,867","102,324","102,461","102,361","102,361"
238,Cambridge city,Massachusetts,"101,807","102,281","101,579","101,355","101,355"
239,Green Bay city,Wisconsin,"101,515","101,809","102,263","102,313","102,313"
240,Olathe city,Kansas,"101,413","96,312","93,765","92,998","92,962"
241,Gary city,Indiana,"100,945","101,738","102,522","102,746","102,746"
242,Livonia city,Michigan,"100,341","100,570","100,564","100,545","100,545"
