gemini_query,gemini_positive matches,gemini_positive matches count,gemini_llm only matches,gemini_llm only matches count,gemini_gt only matches,gemini_gt only matches count,gemini_correct column inferences,gemini_correct column inferences count,gemini_incorrect column inferences,gemini_incorrect column inferences count,gemini_correct column keyword match,gemini_correct column keyword match count,gemini_incorrect column keyword match,gemini_incorrect column keyword match count,gemini_correct data value classifications,gemini_correct data value classifications count,gemini_incorrect data value classifications,gemini_incorrect data value classifications count
what month has the strongest hurricanes,['month'],1,['wind'],1,"['hu_diameter', 'status']",2,[],0,['hu_diameter'],1,[],0,['month'],1,[],0,['status'],1
how has wind speed changed over time,['wind'],1,['time'],1,"['year', 'month', 'day']",3,[],0,"['year', 'month', 'day']",3,['wind'],1,[],0,[],0,[],0
what is the maximum pressure of a certain hurricane,"['pressure', 'name']",2,[],0,['status'],1,[],0,[],0,['pressure'],1,[],0,[],0,['status'],1
relationship between position and the strength of the hurricane,"['lat', 'long']",2,"['wind', 'category']",2,"['hu_diameter', 'status']",2,[],0,[],0,[],0,[],0,[],0,['lat'],1
average time for each hurricane status,"['status', 'day']",2,[],0,"['year', 'month']",2,['day'],1,"['year', 'month']",2,['status'],1,[],0,[],0,[],0
which hurricane lasted the longest,"['year', 'month', 'day', 'hour']",4,['name'],1,['status'],1,"['year', 'month', 'day', 'hour']",4,[],0,[],0,[],0,[],0,['status'],1
can you tell me the sales distribution of type 4046 in 2015,[],0,"['type', 'total volume', 'year']",3,"['4046', 'date']",2,[],0,[],0,[],0,['4046'],1,['year'],1,['date'],1
what are the groups of regions according to three types of avocados sales ratio,['region'],1,['type'],1,"['4046', '4225', '4770']",3,[],0,"['4046', '4225', '4770']",3,[],0,['region'],1,[],0,[],0
"using the three types of avocado's sales ratio, provide the groups of regions",[],0,[],0,"['region', '4046', '4225', '4770']",4,[],0,"['4046', '4225', '4770']",3,[],0,['region'],1,[],0,[],0
provide the distribution of the sales in 2015 of type 4046,['4046'],1,['total volume'],1,['date'],1,[],0,[],0,[],0,['4046'],1,[],0,['date'],1
the oldest user was born in what year,[],0,['birthyear'],1,['year'],1,[],0,[],0,[],0,['year'],1,[],0,[],0
indicate all the travels taking more than 1000 minutes,['tripduration'],1,[],0,[],0,[],0,['tripduration'],1,[],0,[],0,[],0,[],0
"show me a list of the tripe that take longer than 1,000 minutes",['tripduration'],1,[],0,[],0,['tripduration'],1,[],0,[],0,[],0,[],0,[],0
tell me the distribution of travel times between wells st & elm st and lake shore dr & ohio st,"['tripduration', 'from_station_name', 'to_station_name']",3,[],0,[],0,[],0,[],0,[],0,[],0,[],0,"['from_station_name', 'to_station_name']",2
do you know of any trip that would take longer than 1000 minutes,['tripduration'],1,[],0,[],0,['tripduration'],1,[],0,[],0,[],0,[],0,[],0
show me a list of neighborhoods with the number of male births from least to most,"['number', 'neighborhood name']",2,['district name'],1,['gender'],1,[],0,"['gender', 'neighborhood name']",2,['number'],1,[],0,[],0,[],0
show me the distribution of births across all districts in 2017,"['number', 'district name']",2,[],0,['year'],1,[],0,['number'],1,[],0,[],0,[],0,['year'],1
let me know if there are groups of neighborhoods with similar birth gender ratios,"['neighborhood name', 'number']",2,[],0,['gender'],1,['number'],1,[],0,[],0,['gender'],1,[],0,[],0
retrieve the neighborhood with more than 100 female births in ciutat vella in 2013,"['number', 'district name', 'year', 'neighborhood name']",4,[],0,['gender'],1,['number'],1,[],0,[],0,[],0,[],0,"['gender', 'year', 'district name']",3
which neighborhood in ciutat vella has more than 100 females born in the year 2013,[],0,"['district name', 'gender', 'number']",3,['year'],1,[],0,[],0,[],0,[],0,[],0,['year'],1
"barcelona's districts, please list each",['district name'],1,[],0,['neighborhood name'],1,[],0,[],0,[],0,[],0,[],0,['neighborhood name'],1
what is the distribution of all births in all districts between 2013 and 2017,['number'],1,[],0,"['district name', 'year']",2,[],0,['number'],1,[],0,[],0,[],0,['year'],1
what neighborhood had 56 boys born in 2017,"['neighborhood name', 'number']",2,[],0,"['gender', 'year']",2,[],0,[],0,[],0,[],0,[],0,"['number', 'gender', 'year']",3
is there a correlation between acceleration and horsepower,"['timeto60', 'hp']",2,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0
how many heavy cars are in the dataset,['weightlbs'],1,[],0,[],0,['weightlbs'],1,[],0,[],0,[],0,[],0,[],0
are there any american 5 cylinder cars,"['cylinders', 'country']",2,[],0,[],0,['country'],1,[],0,['cylinders'],1,[],0,[],0,[],0
how does displacement relate to fuel economy for cars from europe v usa,"['mpg', 'cubicinches', 'country']",3,[],0,[],0,[],0,['mpg'],1,[],0,[],0,[],0,[],0
which cylinder cars have the highest fuel economy,"['cylinders', 'mpg']",2,[],0,[],0,[],0,['mpg'],1,['cylinders'],1,[],0,[],0,[],0
which countries have the most cars in this dataset,['country'],1,[],0,[],0,[],0,[],0,[],0,"['country', 'country']",2,[],0,[],0
which countries have the highest acceleration for cars of different cylinders,"['country', 'cylinders', 'timeto60']",3,[],0,[],0,[],0,[],0,"['country', 'cylinders']",2,[],0,[],0,[],0
how do the horsepowers of the cars from different regions change with years,"['hp', 'year', 'country']",3,[],0,[],0,[],0,['hp'],1,[],0,['year'],1,[],0,[],0
the distribution of the number of cylinders of cars based on different origins,"['cylinders', 'country']",2,[],0,[],0,[],0,[],0,['cylinders'],1,[],0,[],0,[],0
what is the correlation between displacement and mpg of cars with different origins,"['mpg', 'cubicinches', 'country']",3,[],0,[],0,[],0,[],0,['mpg'],1,[],0,[],0,[],0
count the number of cars based on their origins,['country'],1,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0
what is the correlation between horsepower and acceleration,"['hp', 'timeto60']",2,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0
is there a correlation between cars' horsepower and acceleration,"['hp', 'timeto60']",2,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0
"how does displacement relate to mpg for individual models, partitioned by country","['mpg', 'cubicinches']",2,[],0,['country'],1,['cubicinches'],1,[],0,[],0,"['mpg', 'country']",2,[],0,[],0
"how does weight relate to acceleration for car models, small multiples by origin","['weightlbs', 'timeto60', 'country']",3,[],0,[],0,[],0,"['weightlbs', 'country']",2,[],0,[],0,[],0,[],0
how does horsepower relate to acceleration for individual car models,"['hp', 'timeto60']",2,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0
"compare the number of models in usa, japan and europe",['country'],1,[],0,[],0,[],0,[],0,[],0,[],0,[],0,['country'],1
does higher horsepower mean lower acceleration,"['hp', 'timeto60']",2,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0
how many cylinders do cars manufactured in different countries have,"['cylinders', 'country']",2,[],0,[],0,[],0,[],0,[],0,"['cylinders', 'country']",2,[],0,[],0
compare car cylinder count against acceleration across countries,"['cylinders', 'timeto60', 'country']",3,[],0,[],0,[],0,[],0,['cylinders'],1,['country'],1,[],0,[],0
how many cars do each country manufacture,['country'],1,[],0,[],0,[],0,[],0,[],0,['country'],1,[],0,[],0
what's the mileage for cars based on the number of cylinders present,['cylinders'],1,['mpg'],1,[],0,[],0,[],0,['cylinders'],1,[],0,[],0,[],0
does higher cylinder count mean mean lower mileage,['cylinders'],1,['mpg'],1,[],0,[],0,[],0,['cylinders'],1,[],0,[],0,[],0
how does mileage relate to cylinder count,['cylinders'],1,['mpg'],1,[],0,[],0,[],0,[],0,['cylinders'],1,[],0,[],0
what is the average mpg for different cylinders,"['mpg', 'cylinders']",2,[],0,[],0,[],0,[],0,"['mpg', 'cylinders']",2,[],0,[],0,[],0
what is the relation between horsepower and acceleration,"['hp', 'timeto60']",2,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0
how weight varies each year,['year'],1,['weightlbs'],1,['weightlb'],1,[],0,[],0,['year'],1,['weightlb'],1,[],0,[],0
how is acceleration related to horsepower,"['timeto60', 'hp']",2,[],0,[],0,[],0,[],0,[],0,['hp'],1,[],0,[],0
how has horsepower changed over time by country,"['hp', 'year', 'country']",3,[],0,[],0,[],0,['year'],1,['country'],1,[],0,[],0,[],0
have cars gotten lighter over time,"['weightlbs', 'year']",2,[],0,[],0,['year'],1,['weightlbs'],1,[],0,[],0,[],0,[],0
how many models are proudced by each country,['country'],1,[],0,[],0,[],0,[],0,[],0,['country'],1,[],0,[],0
what is the average weight of cars over time,"['weightlbs', 'year']",2,[],0,[],0,['year'],1,[],0,['weightlbs'],1,[],0,[],0,[],0
what is the distribution of weight across all cars,['weightlbs'],1,[],0,[],0,[],0,[],0,[],0,['weightlbs'],1,[],0,[],0
how much do various cars weigh,['weightlbs'],1,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0
what is the range of weights for all cars,['weightlbs'],1,[],0,[],0,[],0,[],0,[],0,['weightlbs'],1,[],0,[],0
where do the cars originate from,['country'],1,[],0,[],0,['country'],1,[],0,[],0,[],0,[],0,[],0
how has avg (horsepower) evolved over time | segregate it by the car origin,"['hp', 'country', 'year']",3,[],0,[],0,['year'],1,['country'],1,['hp'],1,[],0,[],0,[],0
compare avg (acceleration) with cylinders | segregate the cylinders by their origin,"['cylinders', 'country']",2,['acceleration'],1,['timeto60'],1,['country'],1,[],0,['cylinders'],1,[],0,[],0,[],0
how does avg (weight) evolve over the years,"['weightlbs', 'year']",2,[],0,[],0,[],0,[],0,['weightlbs'],1,['year'],1,[],0,[],0
how does the acceleration of cars from different countries vary by the number of cylinders,"['country', 'cylinders', 'timeto60']",3,[],0,[],0,[],0,[],0,"['country', 'cylinders']",2,[],0,[],0,[],0
how does acceleration vary by weight for cars from different regions,"['timeto60', 'weightlbs', 'country']",3,[],0,[],0,['country'],1,[],0,[],0,['weightlbs'],1,[],0,[],0
what is the average mpg for cars with different cylinders,"['mpg', 'cylinders']",2,[],0,[],0,[],0,[],0,"['mpg', 'cylinders']",2,[],0,[],0,[],0
how does mpg vary by the number of cylinders in a car,"['mpg', 'cylinders']",2,[],0,[],0,[],0,[],0,"['mpg', 'cylinders']",2,[],0,[],0,[],0
how does acceleration change with horsepower,"['hp', 'timeto60']",2,[],0,[],0,[],0,[],0,['hp'],1,[],0,[],0,[],0
how does acceleration behave compared to horsepower,"['timeto60', 'hp']",2,[],0,[],0,[],0,[],0,['hp'],1,[],0,[],0,[],0
how many cars are from each region,['country'],1,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0
"how does mpg compare to displacement, broken out by region","['mpg', 'cubicinches', 'country']",3,[],0,[],0,[],0,[],0,"['mpg', 'cubicinches']",2,[],0,[],0,[],0
"for each region, how does a car's mpg vary with displacement","['mpg', 'cubicinches', 'country']",3,[],0,[],0,['country'],1,['cubicinches'],1,['mpg'],1,[],0,[],0,[],0
how has horsepower changed over time in each region,"['hp', 'year', 'country']",3,[],0,[],0,"['year', 'country']",2,[],0,[],0,['hp'],1,[],0,[],0
what is the breakdown of cars by the number of cylinders in each region,"['cylinders', 'country']",2,[],0,[],0,['country'],1,[],0,['cylinders'],1,[],0,[],0,[],0
how many cars have various numbers of cylinders in each region,"['cylinders', 'country']",2,[],0,[],0,[],0,['country'],1,['cylinders'],1,[],0,[],0,[],0
what is the average weight of cars by model year,"['year', 'weightlbs']",2,[],0,[],0,[],0,[],0,['weightlbs'],1,['year'],1,[],0,[],0
how has the average weight of cars changed over the years,"['weightlbs', 'year']",2,[],0,[],0,[],0,[],0,['weightlbs'],1,['year'],1,[],0,[],0
how can the population of ashley be illustrated to show distribution across five years,[],0,"['population july 1, 2002', 'population july 1, 2001', 'population july 1, 2000', 'population april 1, 2000', 'population estimates', 'base census 2000', 'population']",7,['country'],1,[],0,[],0,[],0,[],0,"['population july 1, 2002', 'population july 1, 2001', 'population july 1, 2000', 'population april 1, 2000', 'population estimates', 'base census 2000', 'population']",7,['country'],1
"how likely is it that, if i was born in 2000, i was born in a county with no less than 20,000 people",[],0,"['population july 1, 2000']",1,"['county', 'year', 'population']",3,[],0,[],0,[],0,"['county', 'year', 'population']",3,[],0,[],0
give me the average population rating for ashley in the year 2000,[],0,"['population july 1, 2000', 'county']",2,['census 2000 population'],1,[],0,['census 2000 population'],1,[],0,[],0,[],0,[],0
identify the county that has the least population each year,,,,,,,,,,,,,,,,,,
what is the average population in 2000,[],0,"['population july 1, 2000']",1,"['population', 'census 2000 population']",2,[],0,['census 2000 population'],1,[],0,['population'],1,[],0,[],0
is there a regional concentration trend in gdp development,['gdp'],1,[],0,['country'],1,[],0,[],0,[],0,['gdp'],1,[],0,[],0
how are gdp and mteu correlated,"['mteu', 'gdp']",2,[],0,[],0,[],0,[],0,"['mteu', 'gdp']",2,[],0,[],0,[],0
is there an outlier within the value distribution of albinism that causes the result to be skewed,['albino'],1,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0
"find all the types of genetic diseases with greater than 1,000 patients","['autism', 'deaf-mute', 'deaf-blind', 'mentally impaired', 'physical impaired', 'visually impaired']",6,[],0,['albino'],1,[],0,"['albino', 'autism', 'deaf-mute', 'deaf-blind', 'mentally impaired', 'physical impaired', 'visually impaired']",7,[],0,[],0,"['autism', 'deaf-mute', 'deaf-blind', 'mentally impaired', 'physical impaired', 'visually impaired']",6,[],0
tell me the maximum and minimum number of patients with autism across all regions,['autism'],1,[],0,['region'],1,[],0,[],0,['autism'],1,['region'],1,[],0,[],0
what is the spatial and temporal correlation of albinism,"['region', 'albino']",2,['year'],1,[],0,['region'],1,[],0,[],0,[],0,[],0,[],0
does this data represent outliers in the number of patients,"['albino', 'autism', 'deaf-mute', 'deaf-blind', 'mentally impaired', 'physical impaired', 'visually impaired']",7,[],0,[],0,[],0,"['albino', 'autism', 'deaf-mute', 'deaf-blind', 'mentally impaired', 'physical impaired', 'visually impaired']",7,[],0,[],0,[],0,[],0
take out the regions with a number of patients larger than 500,['region'],1,[],0,"['albino', 'autism', 'deaf-mute', 'deaf-blind', 'mentally impaired', 'physical impaired', 'visually impaired']",7,[],0,"['albino', 'autism', 'deaf-mute', 'deaf-blind', 'mentally impaired', 'physical impaired', 'visually impaired']",7,[],0,['region'],1,[],0,[],0
"looking at the number of people in all regions with a visual impairment, what is the median",['region'],1,['visually impaired'],1,['visual impairment'],1,[],0,[],0,[],0,"['visual impairment', 'region']",2,[],0,[],0
does the value distribution of albinism look skewed,['albino'],1,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0
is there an obvious clustering,[],0,[],0,"['albino', 'region', 'autism', 'deaf-mute', 'deaf-blind', 'mentally impaired', 'physical impaired', 'visually impaired']",8,[],0,"['albino', 'region', 'autism', 'deaf-mute', 'deaf-blind', 'mentally impaired', 'physical impaired', 'visually impaired']",8,[],0,[],0,[],0,[],0
kindly rate the regions on the basis of the number of patients,"['albino', 'autism', 'deaf-mute', 'deaf-blind', 'mentally impaired', 'physical impaired', 'visually impaired']",7,[],0,['region'],1,[],0,"['albino', 'autism', 'deaf-mute', 'deaf-blind', 'mentally impaired', 'physical impaired', 'visually impaired']",7,[],0,['region'],1,[],0,[],0
give me the movie that received the most nominations,['film'],1,[],0,['nominee'],1,[],0,[],0,[],0,[],0,[],0,[],0
"out of the winners for best performance by an actor in a motion picture- musical or comedy from 2003 to 2020, the most abnormal age belongs to which actor",['win'],1,"['year_award', 'category', 'nominee film']",3,[],0,[],0,[],0,['win'],1,[],0,[],0,[],0
can you organize the results of the table by sorting the list according to the age of the stars,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0
can you list all the results in the table about the movie ' about  ',[],0,"['nominee film', 'year_film', 'year_award', 'win']",4,['film'],1,[],0,[],0,[],0,[],0,[],0,['film'],1
what was the gender of all actors among all the final winners in the 60th ceremony,[],0,[],0,"['ceremony', 'win']",2,[],0,[],0,[],0,"['ceremony', 'win']",2,[],0,[],0
tell me who won the best performance by an actor in a motion picture- drama award at the 60th ceremony,"['category', 'win']",2,['nominee film'],1,"['ceremony', 'nominee']",2,[],0,['nominee'],1,['win'],1,['ceremony'],1,[],0,['category'],1
can you list all the results in the table about the movie ' about schmidt ',[],0,"['nominee film', 'year_film', 'year_award', 'win']",4,['film'],1,[],0,[],0,[],0,[],0,[],0,['film'],1
i would like to review the dispersement of the amount of nominations,[],0,['film'],1,['nominee'],1,[],0,[],0,[],0,[],0,[],0,[],0
"in the 60th ceremony, the award for best performance by an actor in a motion picture was won by whom","['category', 'win']",2,['nominee film'],1,"['ceremony', 'nominee']",2,[],0,['nominee'],1,['win'],1,['ceremony'],1,[],0,['category'],1
which actor was nominated for the most awards,['nominee'],1,['category'],1,[],0,[],0,[],0,[],0,['nominee'],1,[],0,[],0
can the actors nationality impact the outcome,[],0,[],0,"['nominee', 'win']",2,[],0,['nominee'],1,[],0,[],0,[],0,[],0
what was the number of candidates that were nominated for best performance by an actor in a motion picture-drama at he 60th ceremony,['ceremony'],1,"['category', 'nominee film']",2,['nominee'],1,[],0,[],0,[],0,"['ceremony', 'nominee']",2,['ceremony'],1,[],0
what is the total number of movies released in the year 1998,['year_film'],1,[],0,[],0,[],0,[],0,[],0,[],0,[],0,['year_film'],1
can you tell me what movie won best original score in a motion picture in 1997,"['year_film', 'win']",2,"['year_award', 'nominee film']",2,"['film', 'category']",2,[],0,[],0,['win'],1,[],0,[],0,"['year_film', 'category']",2
what is the correlation between the nomination and the age of a star,[],0,"['year_film', 'year_award', 'nominee film', 'win']",4,['nominee'],1,[],0,[],0,[],0,['nominee'],1,[],0,[],0
tell me the distribution for the book ratings,['averagerating'],1,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0
can you rearrange the table by book rating in descending order,['averagerating'],1,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0
what books have low ratings that seem suspect,['averagerating'],1,[],0,['title'],1,[],0,['title'],1,[],0,[],0,[],0,[],0
tell me the book ratings distribution,['averagerating'],1,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0
which author has worked with dark horse comics most frequently,['authors'],1,[],0,['categories'],1,[],0,[],0,['authors'],1,[],0,[],0,['categories'],1
please go and get all of the books written in english,['language'],1,[],0,['title'],1,[],0,"['title', 'language']",2,[],0,[],0,[],0,[],0
are there outliers in the book ratings,['averagerating'],1,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0
"of fiction books, which are written in english","['title', 'language']",2,[],0,['catogories'],1,['title'],1,['language'],1,[],0,[],0,[],0,['catogories'],1
please review this dataset and tell me which authors it includes,['authors'],1,[],0,[],0,[],0,[],0,['authors'],1,[],0,[],0,[],0
how many books have been released by dark horse comics,['title'],1,[],0,['publisher'],1,['title'],1,['publisher'],1,[],0,[],0,[],0,[],0
what is the most expensive book and who published it,[],0,['pagecount'],1,['publisher'],1,[],0,[],0,[],0,[],0,[],0,[],0
show a list of similarly rated books,"['title', 'averagerating']",2,[],0,[],0,[],0,['title'],1,[],0,[],0,[],0,[],0
produce a list of book titles published during the current year,['publisheddate'],1,[],0,['title'],1,[],0,['publisheddate'],1,[],0,['title'],1,[],0,[],0
dark horse comic has how many books,,,,,,,,,,,,,,,,,,
what is the total number of categories,['category'],1,[],0,[],0,[],0,[],0,['category'],1,[],0,[],0,[],0
can you tell me the total number of categories,['category'],1,[],0,[],0,[],0,[],0,[],0,['category'],1,[],0,[],0
what's the size of ' kids paint free- drawing fun ',"['app', 'size']",2,[],0,[],0,[],0,[],0,['size'],1,[],0,[],0,[],0
does a app exist that is much different than the others,['app'],1,"['category', 'rating', 'reviews', 'size', 'installs', 'type', 'price', 'content rating', 'genres']",9,[],0,[],0,[],0,[],0,['app'],1,[],0,[],0
what is the total amount of genres,['genres'],1,[],0,[],0,[],0,[],0,[],0,['genres'],1,[],0,[],0
what is the title of the biggest app,['app'],1,['installs'],1,['size'],1,[],0,['size'],1,[],0,['app'],1,[],0,[],0
what apps have a perfect rating and a lot of reviews,"['rating', 'reviews']",2,[],0,['app'],1,[],0,[],0,[],0,['app'],1,[],0,[],0
see if you can locate the most recent gaming app,['category'],1,['last updated'],1,"['lastupdated', 'app']",2,[],0,['lastupdated'],1,[],0,['app'],1,[],0,['category'],1
tell me free or paid apps have a higher mean rating,"['rating', 'type']",2,[],0,['app'],1,[],0,[],0,[],0,"['app', 'rating']",2,[],0,['type'],1
which genres are included in the dataset,['genres'],1,[],0,[],0,[],0,[],0,[],0,['genres'],1,[],0,[],0
